place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,화장실,오디오 가이드,review,판매 품목,점자 홍보물,이용가능시설,주차요금,입장료,지정현황,지체장애 기타 상세,시설이용료,체험가능 연령,대중 교통,규모,개장기간,주차 요금,이용 시기,부대시설,주요시설,대여안내,객실,할인 정보,수용인원,시각장애 기타상세,영업시간,좌석수,대표메뉴,취급메뉴,보유장비,보조견 동반,점자 블록,코스안내,관람석,매표소,안내 요원,입점브랜드,청각 장애 기타상세,입실시간,퇴실시간,객실내 취사 여부,객실수,예약안내,예약안내 홈페이지,식음료장,객실유형,사우나실 여부,캠프파이어 여부,바비큐장여부,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,유아용보조의자,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
염포해수욕장,"염포해수욕장은 나로도 동쪽 끝자락에 위치한 소박한 해수욕장으로 은빛 모래 대신 검은빛 자잘한 예쁜 몽돌이 해변을 이루고 있다. 다도해 해상국립공원 지구에 포함되며, 경치가 뛰어나고 물이 깨끗하다. 몽돌에 앉아 해넘이를 보면서 마음속 짐을 털어 낼 수 있는 아늑한 해수욕장이다.",,,전라남도 고흥군 봉래면 외초리,상시 개방,연중무휴,가능,,,,,,,,,있음,,거은몽돌 해수욕장의 소리가 너무도 정겨워요. 남해바다의 몽돌소리에가을이 깊어가네요 곧 찾아가 참한 사진 첨부할께요 모래사장이 아니라 검은 자갈 해변이라 더 이국적이고 멋지게 느껴져요 색다른 해수욕장을 가보고 싶었는데 꿀정보 감사합니다 여름휴가 계획해야되는데 캠핑하고싶네요~^-^ 운치있고 한적한 해수욕장에서 힐링하고 싶어요~,,,급수대,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
익금해수욕장,"백사장 길이 900m, 너비 50m로 거금도의 금산면 남쪽에 있는 익금해수욕장은 모래가 가득한 해변도 아름답지만 주변 시설이 가장 잘되어 있는 곳이다. 해수욕장은 경사가 거의 없이 평탄하며 모래가 곱고, 현대식 샤워장과 화장실을 갖추고 있어 이용에 큰 불편이 없는 데다 백사장에서 가까운 곳에 마을이 있어 민박을 하기에 좋다.
샤워장, 화장실, 급수대와 몽골텐트 30동, 캠핑장 등이 준비되어 있고 차박 이용에 큰 불편이 없는 곳이다. 익금해수욕장은 여름철 피서지로 인기가 많으며 시간대에 따라 뻘이 드러났다가 물이 들어오므로 고운 모래사장과 뻘을 볼 수 있다. 주변 자연경관이 아름다우며 오염되지 않은 깨끗한 청정해역에서 바다낚시도 함께 즐길 수 있는 곳이다.
약 34km의 거금도 해안일주도로는 거금도를 한 바퀴 도는데 차량으로 약 40분 정도 소요된다.",,http://tour.goheung.go.kr/tour,전라남도 고흥군 금산면 익금해변길 32,10:00~18:00,,가능 (60대),,,,,,,,,있음,,,,,"텐트촌, 화장실, 샤워장, 급수대 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연소해수욕장,"연소해수욕장은 100년생 소나무로 이우어진 울창한 송림이 해변을 감싸고 있고 경사도가 완만하며 썰물 때면 갯벌이 드넓게 드러나 조개잡이 등 갯벌체험을 하기에 좋다. 화장실, 샤워장 등 편의시설이 잘 조성되어 있어 가족 야영장으로 각광받고 있다. 주변 관광지로 신양선착장, 송광암, 연홍도 등이 있다.
(출처: 고흥군 문화관광)",,https://tour.goheung.go.kr,전라남도 고흥군 금산면 연소양지길 70,상시 개방,연중무휴,가능,,,,,,,,,,,사진속의 여행지는정말청정지역같네요당장가보고싶네요,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나로도항,"나로도항은 고흥반도 최남단 외나로도에 있는 연안항이다. 1923년부터 어항의 역할을 하기 시작했고, 1965년 어업 전진기지와 1970년 연안항으로 지정됐다. 연안항으로 지정될 당시 이곳은 삼치어장으로는 전북 위도항과 함께 전국 2대 파시 어장을 이루었고, 일일 최대 조업 어선이 500여 척 정도였다고 한다. 나로도항은 여수와 거문도 등을 오가는 카페리호가 운항하는 해상 교통의 거점이다. 하루 평균 250여 척의 어선이 나로도항을 입·출항하며, 바로 인근에 수협 회센터와 봉래시장이 있다. 또한 배를 타고 쑥섬으로도 오갈 수 있다.
특히 나로도항은 낚시 좋아하는 강태공들이 고흥에서 가장 선호하는 월척 장소다. 낚시꾼들은 주로 갯바위 낚시터와 목섬 등을 자주 오가는데, 해송을 비롯한 고유 식물들과 푸른 고흥 바다가 절묘하게 어우러진 광경 속에서 낚시를 즐길 수 있으며, 감성돔과 볼락 등이 많이 잡힌다.
항구 인근에는 수협 회센터와 나로도해변, 나로우주센터 등이 있다. 회센터에서는 고흥에서 잡힌 각종 해산물을 즉석에서 맛보고 사갈 수 있는데, 돔 종류와 광어, 도다리, 갑오징어, 갯장어 등을 주로 판다. 어린이를 동반한 여행객이라면 나로우주센터를 방문해 보는 것도 좋다.",,,전라남도 고흥군 봉래면 나로도항길 128,상시 개방,연중무휴,가능,,,,,,,,,가능,,쑥섬에 가기위해 나로도항에 방문했습니다. 거문도로 가는 배편은 운항을 안했어요. 쑥섬까지 5분밖에 안걸려요. 출발전에 해설사님께서 쑥섬 대해 설명도 해주십니다. 나로도항에서 쑥섬이 잘 보입니다.^^ 쑥섬에 가려고 여객선터미널에 왔는데 주변이 나로도항 이네요 이쪽은. 삼치가 유명해서 삼치 정식으로 점심도 먹고 주변에 나로우주과학관이 있어서 잠시 들려서 구경하고 삼치도 먹기 좋은 위치인듯 하네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남열마을,"내몰이라고 불리던 남열마을은 마을 주변에 무성한 노송과 해안가 용바위 등이 어우러져 뛰어난 경관을 즐기러 오는 관광객들의 발길이 끊이지 않는 곳이다. 앞바다는 외양으로 넓게 터져 있어 바람이 세게 불면 높은 파도를 구경할 수 있다. 경사진 차도를 따라 오르다 뒤를 돌아보면 멀리 우주발사전망대가 보인다. 전망대에 서서 다도해의 넓은 바다와 섬들을 내려다보면 왜 고흥을 지붕 없는 미술관이라고 했는지 알 수 있다
남도의 아침을 여는 해돋이의 명소로 동쪽 바다에서 떠오르는 일출을 만날 수 있는 곳이다. 탁 트인 남해바다에 크고 작은 섬들이 점점이 떠 있어 해돋이뿐만 아니라 다도해의 신비스러운 절경까지 한눈에 감상할 수 있는 곳이다. 해양수산부가 아름다운 어촌 중에 하나로 선정한 남열 마을에 가면 고운 모래사장이 펼쳐진 남열 해수욕장에서 자연이 만들어 놓은 작품들을 바다 곳곳에서 볼 수 있다. 마을을 찾아온 누구에게나 자연그대로의 모습과 남도의 아름다움을 보여주고 있다. 떠오르는 태양의 아름다움뿐만 아니라 긴 세월 자연의 신비로움을 간직해 온 남열 앞바다에는 해맞이 손님들과 함께 갯바위에서 짜릿한 손맛을 느끼려는 낚시객들도 많이 찾아온다.",,,전라남도 고흥군 영남면 남열메뚝길 24,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소록도,"소록도는 전남 고흥반도의 끝자락인 녹동항에서 1㎞가 채 안되는 곳에 위치하고 있으며, 섬의 모양이 어린 사슴과 비슷하다고 하여 소록도라고 불리운다. 이 섬은 한센병 환자를 위한 국립소록도병원이 들어서 있는 섬으로 유명하다. 과거 한센병 환자들의 애환이 깃들어 있는 섬이지만, 현재는 700여명의 환자들이 애환을 딛고 사랑과 희망을 가꾸고 있다.

섬의 면적은 4.42㎢에 불과하지만 깨끗한 자연환경과 해안절경, 역사적 기념물 등으로 인해 고흥군의 새로운 관광명소로 떠오르고 있다. 고흥반도를 가로질러 녹동항 부둣가에 서면 600m 전방에 작은 사슴처럼 아름다운 섬 ‘소록도’가 한눈에 들어온다. 2009년도 개통된 소록대교는 국도 27호선을 이용하여 소록도까지 이동 가능하며 이로 인해 섬을 찾는 관광객이 늘어나고 소록도 주민들이 섬 밖으로 왕래하기가 편리해졌다. 국립소록도병원은 1916년 설립된 소록도 자혜의원에서 시작되는데, 이 병원은 당시 조선 내의 유일한 한센병 전문의원이었다. 이곳의 중앙공원은 1936년 12월부터 3년 4개월 동안 연인원 6만여 명의 환자들이 강제 동원되어 19,834.8m²(6천평) 규모로 조성되었다. 지금도 공원 안에 들어서면 환자들이 직접 가꾸어 놓은 갖가지 모양의 나무들과 함께 전체적으로 잘 정돈되어 있다.

그리고 공원 곳곳에는 환자들의 아픔을 간직한 역사기념물들이 잘 보존되어 있다. 공원 입구에는 일제 때의 원장이 이곳에 수용된 한센병 환자들을 불법감금하고 출감하는 날에는 예외없이 강제로 정관수술을 시행했던 감금실과 검시실이 있다. 이 검시실 앞에는 25세 젊은 나이에 강제로 정관수술을 받은 환자의 애절한 시가 남아 있어 보는 이의 마음을 아프게 한다. 또한 소록도병원의 역사와 환자들의 생활상을 보여주는 갖가지 자료가 전시된 생활자료관이 있다. 녹동항에서 운항되는 유람선을 이용하면 추위가 느껴질 정도로 시원한 바닷바람을 맞으며 활개바위, 거북바위 등 갖가지 기묘한 바위들과 함께 다도해의 절경을 감상할 수 있으며, 인근에 있는 나로도 해수욕장은 완만한 해안선과 얕은 수심으로 가족휴양객들의 피서지로 많이 이용되고 있다.

또한 녹동에서 승용차로 50분 정도 거리에 위치한 팔영산자연휴양림을 찾으면 산과 계곡, 일출의 장관을 즐길 수 있고, 숙박시설로 휴양림 내 산막시설을 이용할 수도 있다.이 밖에도 공원내에는 나환자 시인 한하운의 보리피리 시비, 일본인이면서 조선 환자들을 가족처럼 아껴주며 헌신적으로 보살핌으로써 소록도의 슈바이처라 일컬어지는 ‘하나이젠키치 원장’의 창덕비, 그리고 “한센병은 낫는다” 라는 글귀가 새겨져 있는 구라탑 등 환자들의 애환과 박애정신을 엿볼 수 있는 기념물들이 세워져 있다. 또한, 섬내에는 울창한 송림과 백사장이 잘 어우러져 있는 소록도해수욕장이 있다.",,,전라남도 고흥군 도양읍 소록리,,연중무휴,가능,,,,,,,,,,,들어갈때는 평화롭고 경치좋은 곳이지만.. 막상 소록도를 마주하게 되면 듣던거 보다는 더 많은 아픔이 느껴지는 곳이다. 누구나 꼭 방문하면 좋겠다 소록도는 아픈 역사의 현장이에요 소록도는 아픈 과거가 있는 섬이예요~~~하지만 너무 이쁘고 착한 섬이죠~~~,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거금대교,"고흥군 금산면의 거금도와 고흥군 도양읍 소록리의 소록도 사이를 연결하는 연도교(連島橋)로 일명 금빛 대교라고도 하는데 멀리서 거금대교를 보면 햇빛에 반사되는 다리의 모습이 금빛으로 번쩍인다고 해서 붙여진 별명이다. 세상의 모든 다리는 그저 다리(橋)가 아니라 사람과 사람을 잇고, 마음과 마음을 잇는 메신저(Messenger)다.

거금대교는 고흥과 금산면(金山面) 주민들의 애환과 삶을 짊어지며 고흥의 가장 아름다운 명소가 되었으며 메신저가 되었다. 거금대교와 이어진 소록대교 구간은 우리나라 해상 드라이브 코스 중 가장 아름답고 청정한 드라이브 코스이다. 자동차와 자전거, 도보로도 갈 수 있는 이 길은, 당신이 만약 사랑하는 사람이 있다면 그와 함께 가는 고흥 거금-소록대교 드라이브 코스는 잊지 못할 추억을 만들어 줄 것이다.

(출처 : 고흥관광)",,https://tour.goheung.go.kr/tour,전라남도 고흥군 도양읍,상시 개방,,,,,,,,,,,,,"거금대교 휴게소에서 잠시 커피 마시면서 본 조형물이에요. 고흥 거금도, 거금대교 광장, 거금휴게소, 고흥 상징조형물 '꿈을 품다' 거인 조형물, 두원 운석, 절이도 해전 승전탑, 거금대교 등을 금방 둘러볼 수 있어요. 거금대교 휴게소쪽 전망대쪽이 포토존이라 하여 겸사겸사 들렸는데 전망대를 막아둬서 아쉽더라구요 그래도 위에서 바로보는 경치가 멋있네요 전라도 섬 여행하며 가봤었는데... 다리가 깔끔하고 이쁩니다. 소록도에서 바라보면 이뻐요~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구고사 및 김완장군부조묘,"김완(1577~1635)은 영암 출신의 조선 후기 무신으로 정유재란과 이괄의 난 때 공을 세운 인물이다. 구고사는 김완 장군의 위훈을 기리는 사당으로 김완 장군의 신위가 모셔져 있고, 부조묘는 보물로 지정된 김완의 영정이 봉안되어 있다. 구고사는 김완 장군의 충절을 추모하기 위해 인조 18년(1640)에 처음 창건되었다. 이후 문중 선조이자 고려 말 대제학인 김진문과 조카 김여준, 김여옥을 함께 모시게 되었다. 1889년 불에 탄 뒤 1946년 향내 유림의 발의로 중건되었고, 1979년과 1983년에 보수되었다.
부조묘는 국가에서 사당을 짓도록 허락하고 전답과 노비를 내려 후손들로 하여금 제사를 모시고 4대가 넘는 조상의 신주는 사당에서 꺼내 묻어야 하는 것이 관례였다. 그러나 나라에 공훈이 있는 사람의 신위는 왕의 허락으로 옮기지 않아도 되었다. 김완 장군 부조묘는 장군 사후 왕명으로 창건되었으며, 한때 소실된 것을 1979년에 복원되었다.",,,전라남도 영암군 서호면 화소길 20,"상시 개방
※ 시설 부분개방 중이므로 사당 내부관람은 사전연락 및 협의 필수",연중무휴,가능,,,,,,,,,,,,,,,무료,,전라남도 기념물 구고사 및 김완장군부조묘 (1981.10.20. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭도,"낭도란 뜻은 섬의 형세가 여우를 닮았다고 하여 이리 낭(狼)자를 써 낭도라 하였으나, 주민들은 낭도의 모든 산이 수려하다 하여 고울 여(麗)자와 뫼 산(山)자를 써서 여산마을이라 부른다. 세계 최장 공룡보행렬 발자국 화석으로 유명한 사도가 인접해 있고 낭도 해안가에도 공룡발자국을 찾아볼 수 있는 갯바위가 있다. 높지 않은 산과 해안탐방로가 잘 조성되어 해안절경을 조망할 수 있고, 방파제로 넓게 둘러싸여 안전한 해수욕장, 인접한 곳에는 야영장이 위치하여 캠핑과 물놀이를 함께 즐길 수 있는 천혜의 자연휴양지가 마련되어 있다.

대표적인 관광자원으로 낭도해수욕장이 있다.",,http://tour.yeosu.go.kr/,전라남도 여수시 화정면 (낭도리),,연중무휴,없음,,,,,,,,,,,여수시를 여행하며 낭도를 방문하였습니다. 아름다운 낭도를 잘 보고 왔습니다. 여수 낭도의 가을에 떠난 여행에서 만난 해안가 코스모스가 아름다웠던 날이었습니다. 빨간등대까지 걸으면 주변을 조망하는 기분도 좋았고요. 전망대까지 사부작 걸어보니 가을바람이 시원했네요. 벽화도 구경하고 싶었는데 공사중이라 못본게 아쉬웠습니다. 친구와 부부동반으로 남도 여행 시 방문한 여수 낭도 입니다. 차를 타고 한바퀴 돌았습니다. 조용하고 아름다운 섬입니다. 조용하고 아름다운섬 해안 산책과 전망대의 절경이 좋습니다 생생정보에서 나오는데 넘 좋아보여서 검색해보러 왔네요. 여수 여행에 꼭 넣어놓고 가보고 싶은 곳이네요. 산호색의 바다와 파란 7개의 섬들이 TV 화면에 한폭의 그림이네요. 꼭 가봐야할곳 리스트에 담고 가요.^^ 경관이 멋진곳이네요 남도의 해안풍경과 섬의 비경도 기대 되네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방죽포해변,"방죽포해변은 돌산도의 동쪽 해안에 항아리 속처럼 오목하게 자리 잡은 길이 150m, 폭 30m의 작은 해변이다. 이곳은 조선시대에 간척지를 만들기 위해 둑으로 둘러막고 방풍림을 조성하게 되면서 모래가 쌓인 것이 해수욕장이 된 곳이다. 파도가 세지 않고 수심과 경사도가 낮아 가족 단위 이용에 좋다. 또한 해수욕장 주변은 바다낚시의 포인트로 잘 알려져 있는 곳으로 장어, 돔, 노래미 등을 낚을 수 있다. 해변 주변으로는 200여 년생 해송 150여 그루가 울창한 숲을 이루고 있어 그늘에서 휴식을 취할 수 있으며, 대형 주차장과 화장실 등 편의 시설도 잘 갖추어져 있다.",,https://www.yeosu.go.kr/tour/,전라남도 여수시 돌산읍 향일암로 804-6,"상시 개방
※ 해수욕장 개장 시 09:00~18:00 물놀이 가능",연중무휴,가능(승용차 400대 / 대형차 50대),,해변입구에 경사로가 설치되어 있음,,,,,,,장애인 화장실 있음(방죽포 공중화장실),,,,,"샤워장, 민박, 해수욕장 관리사무소 등",,,,,,,,,,,7월~8월 해수욕장 개장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장등해변,"여수시 화양면 장수리의 남쪽 해안에 위치한 장등해수욕장은 여수 시내에서 남쪽으로 약 32km쯤 떨어져 있으며, 마을 뒷산 봉화산 자락이 만들어내는 산등성의 다양한 모양이 어우러진 아름다운 해수욕장이다. 백야도, 상화도, 하화도 등의 섬들이 해변을 감싸고 있다.
해수욕장으로 별로 알려지지 않은 곳이라 조용하게 피서를 즐기기에 알맞은 곳이다. 백사장의 모래가 매우 곱고, 부드러우며, 수심이 얕고, 완만한 경사를 이루고 있어 아이들과 함께 해수욕을 즐기기에도 부담이 없다. 해수욕장 주변의 조그만 갯바위에서 낚시를 즐길 수도 있고, 아침이면 섬 사이로 떠오르는 해돋이를 즐기기에도 좋은 곳이다.
장등해수욕장은 사유지여서 이곳을 이용할 경우 주차료, 텐트설치료 등 토지 사용료를 내야 한다.",,http://tour.yeosu.go.kr/,전라남도 여수시 화양면 장수리,,연중무휴,주차가능,,,,,,,,,장애인 화장실 있음,,이국적 푸른바다 좋아요,,,"샤워장, 탈의장","승용차 3,000원 / 중형 5,000원 / 대형 10,000원
※ 취사시5,000원 추가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여수 진남관,"국보 진남관은 이순신이 작전 계획을 세우고 군령을 내린 곳으로, 호국역사의 성지로 일컫는 곳이다. 임진왜란 당시 이순신이 전라좌수영 겸 삼도수군통제영의 본영으로 사용했던 이곳은 원래 진해루라는 누각이 있었다. 이후 1599년 이순신 후임인 통제사 겸 전라좌수사 이시언이 정유재란 때 불타버린 진해루 터에 75칸의 대규모 객사를 세우고, 진남관(鎭南館)이라 이름 지었다. 1716년 화마를 입은 진남관은 2년 후 전라좌수사 이제면에 의해 중건돼 지금까지 이어지고 있다.

진남관은 정면 15칸, 측면 5칸, 건평 748.39㎡의 단층 팔작지붕으로 된 거대하고 웅장한 건물로 현존하는 단층 지방관아 건물 중 가장 크다. 부대시설로 진남관의 역사와 임진왜란에 대해 한눈에 볼 수 있는 유물 전시관이 있다. 경내에 전남 유형문화유산 여수 석인상과 일제강점기에 철거된 것을 1991년 4월 중건한 2층 누각 망해루가 있다. 이곳은 여수 앞바다까지 보이는 풍경이 아름다운 명승지이며, 주변에 자산공원, 오동도, 돌산대교, 충민사, 만성리해수욕장 등 관광지가 있다.",,http://tour.yeosu.go.kr,전라남도 여수시 동문로 11,"- 하절기 09:00~18:00
- 동절기 09:00~17:00",연중무휴,가능,,,정문은 계단이 있어 뒷문으로 돌아가야함,장애인 주차장 있음(1대)_무장애 편의시설,,,,,장애인 화장실 있음(유물전시관 내),,진남관 보수공사 중이라 관람할수 없었어요. 밖에서나마 잠시 둘러보았습니다. 오동도시티투어 버스 이용하여 진남관 유물전시관 방문 하였읍니다 점심식사 서울해장국 추천합니다,,,,,무료,국보 여수 진남관 (2001.04.17 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조발도,"조발도는 여수시 화정면에 딸린 섬이다. ‘말의 등처럼 평지 없이 얕은 구릉이 이어져 있으며 아침 해가 일찍 떠서 밝게 비춘다’는 뜻을 담아 조발도가 되었다. 둔병도와 육지로 이어지는 화양대교, 둔병대교가 생기면서 조발도 방문이 더욱 편리해졌다. 조발도에 위치한 전망공원에 오르면 여수와 고흥 사이 5개 해상교량을 한눈에 볼 수 있고 조발 섬 둘레길도 산책하기 좋게 조성되어 있다.
조발도의 주민들은 주로 밭농사와 어업, 양식업에 종사하고 있다. 주요 농산물로는 주로 맥주보리와 고구마를 생산하며, 그밖에 쌀, 마늘, 무 등이 생산된다. 연근해에서는 멸치, 장어, 농어, 볼락, 피조개, 새꼬막, 굴 등이 주로 잡힌다.",,https://www.yeosu.go.kr/tour/,전라남도 여수시 화정면 조발도길 8,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장보고공원,"청해진유적 입구에 위치한 장보고공원은 4,500여 평의 면적에 완도군의 265개의 섬에서 채집된 기묘한 수석 200여 점이 상록활엽수와 어우러져 전시되어 있는 공원이다.
공원 내에는 수석 이외에 청해사, 장보고 흉상, 기념탑, 소나무·동백나무 군락지, 잔디광장, 화장실 등 관광·편의 시설이 잘 갖추어져 있으며 인접하여 장보고기념관, 청해진 유적지와 해양생태전시관, 완도관광정보센터가 위치해 있어 장보고공원은 한마디로 장보고 테마공원이다. 어린이 놀이터와 잔디밭이 잘 되어 있어 텐트 설치가 가능하고 정자가 있어 고기를 구워 먹으며 한가롭게 하루를 보내기 좋은 곳이다.
만조시 장좌리 해안도로 바로 앞까지 바닷물이 들어와 장관을 이룬다.",,https://www.wando.go.kr,전라남도 완도군 완도읍 청해진로 1380-138,09:00~18:00,연중무휴,"가능(소형 30여대 주차 가능)
요금(무료)",,출입구까지 단차가 없어 휠체어 접근 가능함(잔디구간 있음),주출입구는 단차가 없어 휠체어 접근 가능함,,,,,,장애인 전용 화장실 있음(해안산책로 끝 쪽),,완도군의 201개 섬이라고 했는데 265개의 섬입니다. 바로잡아주셨으면 합니다.,,,"완도관광정보센터, 기념탑, 소나무/동백나무 군락지, 잔디광장 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왕인박사유적지·성기동국민관광지,"왕인박사는 백제 근초고왕 때 일본으로 건너가 백제의 선진문화를 전파하여 일본의 문화 시조로 숭상받는 인물이다. 왕인박사유적지는 구림마을의 동쪽 문필봉 기슭에 자리 잡고 있으며 왕인이 새롭게 조명되면서 그의 자취를 복원해 놓은 곳이다. 왕인묘, 내삼문, 외삼문, 문산재, 양사재, 전시관, 왕인상, 책굴 등으로 이루어져 있다. 이 중 왕인묘에는 영정과 위패가 봉안되어 해마다 제사를 지낸다. 문산재와 양사재는 왕인이 공부하고 후진을 양성하였다는 곳으로 월출산 서쪽 산 중턱에 터만 남아 있던 것을 복원하였다. 책굴은 왕인이 학문을 수련할 때 쓰던 석굴이다. 전시관에는 탄생도, 수학도, 도일도, 학문전수도 등이 걸려 있다. 이 외에도 왕인박사가 마셨다고 전해오고 있는 성천이 있으며 탄생지 옆에는 유허비가 세워져 있다. 성기동 서쪽에 있는 돌정고개는 박사가 일본으로 떠날 때 동료, 문하생들과의 작별을 아쉬워하면서 정든 고향을 뒤돌아 보았다 하여 돌정고개가 되었다 한다.
왕인박사의 전설이 서려 있는 성기동은 1986년 6월 23일 성기동 국민 관광지로 개발되었다. 봄이 되면 왕인박사 유적지는 벚꽃 나들이 명소로 유명하다.",,영암군청 https://www.yeongam.go.kr,전라남도 영암군 군서면 왕인로 440,"[야외 시설]
상시 개방
[전시관]
09:00~18:00",연중무휴,가능,,"출입구까지 턱이 없어 휠체어 접근 가능함
전시관 및 화장실 출입구는 경사로가 설치되어 있음",,장애인 주차장 있음(6대)_무장애 편의시설,,대여가능,,,"장애인 화장실 있음(전시관,매점 옆)",,"규모가 생각보다 커서 둘러보는 데 시간이 조금 걸립니다.연못 앞 정자에서 보는 풍경이 멋졌고요, 산책로가 잘 조성되어 여유 있게 자연을 감상하며 산책할 수 있게 되어 있었습니다.전시실에서 유물들과 왕인박사에 대한 이야기가 잘 안내되어 있었고요, 위엄있게 서 있는 왕인박사의 상도 인상적이었습니다. 친구와 부부동반으로 영암여행 중에 방문한 곳입니다. 규모가 매우 크네요. 박물관등을 잘 보았습니다. 역사가 있는 곳이죠~ 봄마다하는 왕인벚꽃축제도 너무예쁘고 멋져요~ 꼭 한번 가보세요 :) 왕인박사유적지 벚꽃구경은 최고에요. 드라이브하기 좋고 기분도 상쾌해져요. 잔디밭에서 피크닉도 즐기고 산책하기 좋네요.",,,,,무료,전라남도 기념물 왕인박사유적 (1976.09.30. 지정),"데크로드 구간 있음
일부 계단으로 되어 있어 휠체어 접근 불가 구간 있음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에어로마스터 담양,"국내 최대 항공기 대수를 보유하고 있는 에어로마스터 비행클럽은 비행교육은 물론 체험비행, 항공촬영, 이벤트지원 등 다양한 서비스를 제공하고 있다. 특히 비행교육에 있어서는 외국 현지의 전문화된 Pilot Training과정을 도입 1대1 대화식 교육으로 교육효과를 극대화시키고 많은 현지경험과 체험을 바탕으로 완벽한 이론 및 실기교육을 진행한다. 경기도 화성과 전라남도 담양에 비행장이 위치하고 있다.",,http://www.aeromaster.co.kr/,전라남도 담양군 담순로 156-46,예약 별로 상이함,예약 별로 상이함,,"[체험비행 A코스]
- 평일 85,000원
- 주말 100,000원
[비행교육]
- 특수비행과정 400,000원
- 자가용항공기로의 전환교육 200,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한빛에너지팜,"1987년에 문을 연 이후 지역 관광명소로 자리 잡은 한빛에너지팜은 한빛원자력본부에서 운영하는 체험형 에너지 교육 및 홍보 시설이다. 이곳은 다양한 에너지 체험 프로그램을 통해 방문객들이 에너지의 중요성과 원자력에 대한 이해를 높일 수 있도록 설계되어 있으며 뿐만 아니라 카페, 키즈존 등의 휴게공간이 마련되어, 모든 세대가 소통할 수 있는 개방형 커뮤니티 문화공간으로 재탄생했다.",,,전라남도 영광군 홍농읍 홍농로 846,"- 월요일~금요일 09:00~17:00
- 토요일 10:00~16:00",매주 일요일 / 법정공휴일,가능,,,,,,,,,,,방학을 맞이하여 다녀왔는데 아이들이들 넘 좋아했어요. 실내라서 아이들과 시원하게 놀다왔습니다. 체험을 통해 신나하는 아이들모습을 보니 방학 끝나기전에 한번 더 다녀와야겠어요. 재단장하면서 시설도좋아지고 키즈존도 생겨서 아이들도재미있어하네요 원자력에너지관을 신기해했고 상상놀이터와 에너지놀이터를 가장좋아하긴했습니다 방학이니 한번더 다녀와야겠네요^^ 알차게보낼수있는 시설입니다~~ 전기의 역사를 배울수있고 이번에 문화공간을 새롭게 조성되어 무인카페 키즈존까지 새로운 시설이 생겼더라구요.무료로 이용할수 있다니 더더더 안가볼수 없더라구요. 모든 체험이 화면터치와 아이들 이해하기 쉽게 게임처럼 참여할수있어서 좋았어요. 아이가 점점 에너지에 대해 궁금해하고 관심있어서 방문후 많은 도움이 되었어요~ 이번에 가보니 재단장하면서 너무 좋아졌어요~ 시설도 깨끗해져서 좋고 아이들이 책읽을공간도 있고 과학체험하면서 체험학습하기에 너무 좋아요. 방학되면 더 자주 가볼생각입니다~ 다양한 체험하면서 에너지에 대해 배울 수 있고 아이들과 함께 가기 너무 좋은 곳입니나. 아이들과 에너지에대해 공부하고 체험하기 좋아요 아이들과 방문했는데 주차도 편하고 다양한 체험도 즐길 수 있어서 좋았습니다.,,,,무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과학교육 콘텐츠
