place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,주차 요금,이용요금,화장실,시설이용료,접근로,지체장애 기타 상세,유모차,출입통로,장애인 주차 안내,휠체어,수유실,대중 교통,지정현황,이용가능시설,판매 품목,주차요금,엘리베이터,점자 홍보물,오디오 가이드,시각장애 기타상세,객실,청각 장애 기타상세,체험가능 연령,이용 시기,수용인원,규모,관람석,할인 정보,주요시설,입실시간,퇴실시간,식음료장,객실수,예약안내,객실유형,부대시설,개장기간,대여안내,객실내 취사 여부,예약안내 홈페이지,바비큐장여부,자전거 대여 여부,노래방 여부,세미나실 여부,입점브랜드,강습안내,유아용보조의자,보유장비,큰활자 홍보물,청각장애 기타상세,점자 블록,안내 요원,보조견 동반,매표소,코스안내,영업시간,대표메뉴,취급메뉴,유도안내 설비,스포츠 시설 여부,좌석수,영유아가족 기타상세,체험
양구 산양·사향노루센터,"2007년 6월 28일 개장한 양구 산양·사향노루센터는 양구군 동면 팔랑리 일대 17만 5237㎡의 자연 암벽지대에 사육장과 그늘막, 치료센터 등을 갖추어 생태계 파괴와 밀렵 등으로 멸종위기에 처한 천연기념물산양 복원기술을 자체 개발하고 산양의 유전자원 보호, 증식기술 확보, 야생동물 생장모델 및 사료개발 등의 추진으로 산양의 개체수를 늘리기 위해 건립되었다. 자연 속에 있는 산양들의 모습을 만날 수 있는 양구 산양·사향노루센터에서는 환경 보호의 중요성과 생태계의 신비에 대해 다시금 한 번 생각할 수 있는 계기를 제공한다. 물 한 모금을 마시면서도 사람들을 경계하며 야생성을 잃지 않은 그들의 모습에 감탄하며, 아이들에게 자연의 소중함을 일깨워 줄 수 있는 특별한 공간이다. 철장이 아닌 들에서, 바위 위에서 살아가고 있는 산양을 바라보며 자연으로 돌아가기까지의 과정을 둘러볼 수 있다.
(출처 : 강원특별자치도청)",,https://www.ygtour.kr/,강원특별자치도 양구군 동면 펀치볼로 266-60,09:00~18:00,매주 월요일,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강릉시립미술관 교동,"강릉시립미술관은 2006년 9월 강릉미술관에서 2014년 4월 시립미술관으로 재개관하였다. 강릉시립미술관은 2층 건물의 160여 평의 전시공간을 갖추며 강릉 시내의 모습을 감상할 수 있다. 미술인뿐만 아니라 모든 사람이 작품을 통해 소통할 수 있는 전시를 기획하며, 다양한 체험 프로그램 제공을 통해 문화예술교육을 확대해 가고 있다.",,http://www.gn.go.kr/mu/index.do,강원특별자치도 강릉시 화부산로40번길 46 (교동),10:00~18:00 (입장 마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우 정상 개관) / 1월 1일 / 설·추석 당일",가능,,"강릉에 놀러갔다가 특별한곳이 없을까 찾다가 강릉시에서 운영한다는 미술관이 있어서 방문했습니다. 시설도 퀘적하고 구경할것도 많고 좋았습니다. 강릉에서 특별한 경험을 하고싶으면 추천합니다: 아담하고 깔끔하게 꾸며져 있는 미술관입니다. 주차장도 따로 있어서 편리하게 이용했습니다! 전시도 좋고 강릉 시내가 한눈에 보이는 위치라, 강릉 여행 오신 분들에게 강추드려요~! 국내여행갈때 지역마다 미술관은 꼭 찾아서 가보는 편입니다. 규모가 크지는 않지만 내실있는 곳예요^^ 꾸준히 개인전이 열리는 것 같아서 갈때마다 들르려고 합니다. 아무래도 오르막이라서 차를 가지고 가야 조금 편하긴 하실거예요. 좋은 작품 눈에 많이 담아왔습니다. 너무 좋았어요 강릉갈 때마다 들르는 곳입니다. 개인전 등 소규모 전시 위주로 기획되지만 내용이 알차서 잠깐 들르기 괜찮습니다. 여름에는 더위 피하기도 좋아요! 오르막길을 올라가야 나오는 공간입니다. 주차 공간은 5칸 정도로 많지는 않지만 자리가 없지는 않아요. 미술관 직원분들이 동선안내를 아주 친절하게 해주십니다. 강릉 구경하다가 들어가보기 좋은 곳입니다. 특히 아이들과 함께라면 여러 체험 프로그램이 많아서 더 좋은 것 같아요 휴양만 즐기다가 가본곳인데 작지만 작품이나 이런건 알차더라고요 추천해요 예술도 가까운 강릉이란 도시에 어울리는 미술관 규모는 작지만 지역사회연계 프로그램으로 적극적인 참여를 유도해 자칫 어려울수있는 미술관을 쉽게 접할수있게 도와주는곳이라 분기마다 프로그램 체크해보세요! 미술을 사랑하는 모든 사람들과 소통하는 미술관 강릉시립미술관 좋아요 다양한 체험 프로그램 제공을 통해 문화예술교육을 확대해 가고 있어 가족과 가기 좋습니다.",,무료,장애인 화장실 있음,,출입구까지 경사로 설치되어 있음,,,경사로 있음,"위치 : 주출입구 근처, 개수 : 1대","대여위치 : 안내 데스크, 휠체어 종류 : 수동 휠체어, 개수 : 1대",수유실 있음,"300번 버스, 강릉제일고역 하차 후 도보 6분",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의암공원,춘천 공지천 산책로를 따라 의암호 쪽의 공지천교 아래에 위치한 공원으로 저녁노을과 단풍이 예쁜 곳이다. 조각공원과 가까워서 뚜벅이 여행객들도 쉽게 찾을 수 있다. 넓은 부지 내에 나무가 많고 산책로도 잘 조성되어 있어 현지인들에게도 인기가 많은 공원이다. 산책로 끝에는 강변을 따라 걸을 수 있는 둘레길이 연결되어 있다. 산책로 주변에는 벤치가 많이 설치되어 있어 공지천과 의암호를 바라보며 휴식할 수 있는 공간도 마련되어 있다. 넓은 야외공연장도 마련되어 있어 춘천의 행사에 자주 이용된다.,,https://www.chuncheon.go.kr/tour/,강원특별자치도 춘천시 수변공원길 18 (삼천동),상시 개방,연중무휴,가능,무료,,,,미닫이 문 휠체어가 충분히 들어갈 수 있는 공간 대변기 손잡이 있음 유아용 보호의자 있음,,주 출입구 경사로 완만함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대성산지구 전적비,"대성산지구전투전적비는 6·25 전쟁 중 대성산지구 전투에서 활약한 장병들의 전공을 기리고, 나라를 위해 희생한 호국영령을 추모하기 위해 세운 기념비이다. 이 비는 1983년 10월 1일 화천군에 위치한 육군 제8305부대에서 건립했으며, 현재는 보병 제15사단에서 관리하고 있다. 대성산지구 전투는 1951년 6월 9일 국군 제2사단 제2·3대대가 1041 고지 일대의 중공군 병력을 섬멸하기 위해 벌인 전투였다. 국군은 선제공격을 통해 1041 고지, 신월동, 865 고지를 탈취하는 전과를 거두었다. 이 전투는 국군의 용맹함과 전술적 성과를 보여준 대표적인 사례로 평가된다.",,https://tour.ihc.go.kr/hb/portal/,강원특별자치도 화천군 상서면 다목리 산1-1,09:00~18:00,연중무휴,가능,무료,"""대성산지구 전적비""는 한북정맥 종주 중 새벽 시간대에 지나가면서 사진으로 남겼습니다. 호국영령들의 영면을 기원하며 묵념하고 왔습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화음동 정사지,"화천 화음동 정사지는 조선 중 후기의 문신이자 성리학자인 곡운 김수증이 은거하며 성리학적 이상향을 구현한 곳이다. 김수증은 1668년 평강 현감으로 부임하며 화악산 북쪽 계곡의 수려한 자연을 알게 되었고, 1670년 사내면 영당동에 곡운정사를 짓고 곡운구곡을 경영하였다. 그는 이후 중앙 정치에도 참여했으나, 1689년 기사환국으로 인해 벼슬을 버리고 낙향하였다. 이후 화음동에 정사를 세우고 자신의 철학과 세계관을 바탕으로 후학을 양성하며 이상향을 실현하고자 했다. 현재는 당시 존재하던 건물 중 복원된 삼일정과 송풍정이 남아 있다.",,https://www.khs.go.kr/,강원특별자치도 화천군 사내면 화악산로 652,상시 개방,연중무휴,불가능,무료,,,,,,,,,,,,,,강원특별자치도 기념물 화천화음동정사지 (1990.05.31. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거례리사랑나무,"거례리사랑나무는 북한강을 따라 조성된 아를테마수목원에 위치한 400년 된 보호수로, '나 홀로 나무'라고도 불린다. 나무는 꽃밭과 잔디밭이 어우러진 북한강변 풍경 속에서 뛰어난 경관을 이룬다. 사랑나무 주변은 대규모 생태경관 숲으로 조성되어 있으며, 사계패랭이와 꽃무릇 등 다년생 초화류가 식재되어 있다. 원형광장 주변에는 해바라기 7만 그루가 심어져 독특한 풍경을 제공한다. 경관숲에는 암석초 화원, 수변 잔디공원, 전망데크, 목교, 부유 분수 등이 조성되어 생태학습 공간으로 활용된다.",,,강원특별자치도 화천군 하남면 거례리 484-2,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
토마토조각공원,"화천은 국내 토마토의 대표 산지로, 매년 7월 화악산 일대에서 토마토축제가 열린다. 토마토조각공원은 이 축제를 기념하고 화천 토마토의 우수성을 알리기 위해 조성되었다. 공원에는 유명 조각가들이 참여해 제작한 16점의 토마토 조각 작품이 설치되어 있다. 이외에도 토마토를 형상화한 조형물, 벤치, 포토존 등이 마련되어 있다. 화천을 여행하며 들러 휴식과 기념촬영을 즐기기에 좋은 장소이다.",,,강원특별자치도 화천군 사내면 수피령로 75,상시 개방,연중무휴,가능,무료,주차가 너무 힘들었어요 땡볕에 앉아서 쉴만한 곳이 없어서 축제를 충분히 즐기기 힘들었던 거 같아요,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
향호해변,‘향호해변’은 주문진 해변과 이어져 있는 곳으로 소나무가 빽빽한 솔밭 야영장을 뒤로하고 깨끗한 백사장으로 걸어 나가면 맑은 바다가 펼쳐진 바닷가에 넓은 벤치가 놓여있어 조용하게 바다를 바라볼 수 있다. 이곳은 2017년도 발매된 BTS 정규 2집 리패키지 'YOU NEVER WALK ALONE' 앨범 재킷 촬영 장소로 ‘BTS 버스정류장’이라는 유명한 포토존이 존재하는데 이곳은 강릉 여행에서 빼놓을 수 없는 장소가 되었다. 정류장은 촬영을 위해 임시로 만들어졌다가 철거된 후 관광객들을 위해 현재 포토존으로 재현해 놓은 곳이다. 이곳에 앉아 사진을 찍으면 파도치는 바다가 배경이 되어준다. 주문진의 이색 볼거리로 국내뿐만 아니라 세계에서도 찾아오는 명소이기도 하다.,,https://www.gn.go.kr/,강원특별자치도 강릉시 주문진읍 주문북로 222-30 (향호리),00:00 ~ 24:00,연중무휴,가능,,BTS 버스정류장이 있다는 향호해변입니다 외국인 아미(army)부터 다양한 연령층의 팬들이 기념샷을 찍으러 오는데 그냥 해변도 넓고 좋아서 단독 사진 찍기 좋아요! A Must visit place for Army’s!! Can also play on the beach in front of the bus stop!,,,장애인 화장실 있음,,출입구에 턱이 없어 휠체어 접근 가능,,,출입구에 턱이 없음,"위치 : 지상주차장, 개수 : 5대",,,주문진해변 정류장에서 361m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해피아워크루즈,"해피아워크루즈는 2015년 주문진항에서 첫 운항을 시작한 대형 유람선이다. 선박 기준법에 따라 안전에 최우선 가치를 두고 건조했으며, 다양한 볼거리와 놀 거리가 가득하다. 선박은 총 3개의 층으로 이루어져 있다. 1층은 대연회장으로 호텔급 인테리어가 돋보이며, 디너 만찬, 외국인 공연, 각종 이벤트가 펼쳐지는 공간이다. 2층 라이브홀에서는 창을 통해 바다 풍경을 감상하며 낭만적인 라이브 공연을 즐길 수 있으며, 최상층인 3층은 야외 전망대와 선상카페가 있으며, 불꽃쇼와 선상파티가 펼쳐진다.",,https://visitgangneung.net/,강원특별자치도 강릉시 주문진읍 해안로 1730,"[해상관광 크루즈]
- 11:30
- 14:00
- 16:00
[음악불꽃 크루즈]
- 하절기 19:30
- 동절기 18:30",1 월~2 월 / 기상 악화 시,가능,"[해상관광크루즈]
- 대인 22,000원
- 소인 15,000원
[음악불꽃크루즈]
- 대인 40,000원
- 소인 35,000원
※ 강릉시민 50% 할인",예매정보가 없네요. 예매는 여기서 하세요. https://wellnessgru.com/%ec%a3%bc%eb%ac%b8%ec%a7%84/,,,있음,,출입구까지 경사로 설치되어 있음,,,,,,,주문진 수산시장 정류장에서 45m,,대연회장 / 전망대 / 선상카페 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주문리마을,"주문리마을은 주문진읍에서 가장 중심이 되는 마을이다. 상권이 형성되어 인구가 가장 많이 밀집되어 있는 곳으로 현재 12개의 행정리로 이루어져 있다. 원래 강릉군 신리면 지역으로 ‘주문을’이라 하다가 물품을 주문받아 나르는 나루터가 있어 ‘주문진’이라 하였다. 1916년 행정 구역 개편에 따라 거물이, 방꼴, 봉꾸미, 오릿나루, 약물골, 용소동, 소돌을 합하여 주문리라 하였고 이후 새로운 항구가 생기면서 1937년 신리면이 주문진면이 되었다. 1940년 11월에 주문진읍으로 승격되면서 1995년 1월 1일에 통합 강릉시에 편입되어 지금의 주문리마을이 되었다.
인근에는 주문진항, 주문진회센터, 주문진어민수산시장, 주문진좌판풍물시장이 있어 갓 잡아올린 활어와 해산물을 맛볼 수 있는 즐거움이 있다. 그뿐만 아니라 배호 노래비, 아들바위 등 다양한 볼거리를 갖춘 관광어촌마을의 대표 명소로 자리 잡고 있다.",,,강원특별자치도 강릉시 주문진읍 주문로 102 주문리마을,점포 별로 상이함,연중무휴,가능,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
