place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
을왕리해수욕장,"인천 을왕동에 있는 을왕리해수욕장은 초승달처럼 반원으로 생긴 백사장이 유명한 주변 소나무 숲과 바위들이 어우러져 있어 시원한 광경을 자랑하는 곳이다. 반원 모양을 이루고 있는 을왕리해수욕장은 늘목 또는 얼항으로도 불리고 있으며, 많은 사람들이 즐겨 찾는 장소로 1986년 국민관광지로 지정된 곳으로 꽤 큰 규모를 자랑한다. 울창한 송림과 해수욕장 양쪽 옆으로 기암괴석이 늘어서 있어 경관이 매우 아름다우며, 특히 낙조가 아름답기로 서해안에서 손꼽힌다. 해수욕장으로는 드물게 넓은 잔디밭과 충분한 숙박시설이 갖춰져 있어 각종 스포츠를 즐길 수 있으며, 청소년들의 단체 수련을 위한 학생야영장, 수련장 등이 마련되어 있고 배를 빌려 바다로 나가면 망둥어와 우럭·노래미·병어·준치 등도 많이 잡을 수 있다.",,https://www.icjg.go.kr/tour,인천광역시 중구 용유서로302번길 16-15 (을왕동),상시 개방,연중무휴,가능,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,"을왕리해수욕장 방문했습니다.시원하고 드넓은 바다를 바라보는자체가 힐링을 줍니다. 더운데 바다라 그런지 바람이 솔솔불고 하니 시원하네요.해수욕장 분위가 물씬품깁니다. 여름의 끝자락 을왕리해수욕장은 많이 붐비진 않지만 바다가 주는 청량함이 너무 좋습니다 수도권과 가까운 거리에 위치해 있어 접근성이 좋고 주변에 해물맛집도 많이 있습니다 갑자기 바다보고 싶어서 을왕리 해수욕장 다녀왔습니다 역시 여름엔 바다가 좋더라구요 시원한 파도소리에 바람도 좋고 백사장 한참 걸으면서 사진도 많이 찍었습니다 신선한 해물 칼국수도 먹고 차도 마시고 즐거운 데이트햐고 왔습니다 수도권에서 가까운 해수욕장이라 가기 편하고, 주변에 식당들도 있어서 한번 바람쐬고 오기 좋아요 집에서 멀지않아서 당일치기로 다녀오기 좋아요 해변에서 아이들과 모래놀이도 너무 신나요 놀고나서 근처에서 칼국수한그릇먹고 카페에서 음료마시기도 좋은곳이라 추천드려요",,장애인 화장실 있음(공영화장실 내부)_무장애 편의시설,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논현포대근린공원,"인천광역시 남동구 논현동에 위치해 있는 논현포대(論峴砲臺)는 1879년(고종 16년)에 쌓은 포대로 인천과 부평 연안의 군사방어시설이다. 인천광역시 유형문화재 제6호로 등록되어 있다. 논현포대 근린공원은 이러한 포대가 있던 군사시설에 조성된 공원이다 어린이 놀이터와 산책로가 있으며, 체육시설로는 농구장, 테니스장, 배드민턴장, X-GAME 장이 있고, 문화 시설로 야외공연장이 있다. 겨울철에는 한시적으로 무료 야외 얼음 썰매장을 운영하기도 한다. 수인 분당선 호구포역 2번 출구를 통해 쉽게 이용할 수 있다.",,https://itour.incheon.go.kr/,인천광역시 남동구 은봉로166번길 63 (논현동) 논현포대 근린공원(유수지) 공중화장실,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,장애인 화장실 있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"기저귀 교환대, 영유아 거치대 있음",
잠진도,"인천 잠진도는 영종도와 무의도를 이어주는 무의대교 중간에 위치한 작은 섬이다. 밀물 때 물이 차오르면 섬이 잠길 듯 말 듯 한다고 하여 잠진도라고 이름이 붙여졌다. 갯벌을 붉게 물들이는 낙조가 아름답기로 유명하여 사진 촬영을 하려고 찾아오는 관광객이 많다. 물이 빠진 뒤에는 갯벌에서 조개를 캐는 사람들도 많다. 주변 가까운 곳에는 을왕리해수욕장, 덕교해수욕장, 하나개해수욕장 등이 있어 함께 둘러보기 좋다.",,https://www.icjg.go.kr/tour/index,인천광역시 중구 을왕동,상시 개방,연중무휴,불가능,,,,,무의도 가면서 잠진도 들렀는데 바다가 예쁘더라구요 사람이 많지 않아서 더 낭만있던 시간이었습니다,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연안부두,"연안부두는 해양도시로 인천 중구의 상징이며 섬으로 떠나고 싶은 사람들이 많이 방문하는 곳이기도 하다. 연안부두에 있는 인천종합어시장은 사시사철 늘 사람들이 붐비는 곳으로 싱싱하고 저렴한 가격에 생선을 사려는 사람들이 많이 찾는 곳이다. 연안부두 해양광장은 해양광장 전망대 타워가 있는데 이 건물에는 팔미도로 가는 유람선 매표소, 카페, 전망대가 있다. 전망대에 오르면 연안부두의 전경과 서해바다를 한 눈에 볼 수 있다. 또한 러일전쟁 100주년을 맞이하여 러시아 군인들을 추모하는 추모비와 마트료시카 인형 조형물과 야외 공연장도 있어 볼 거리가 풍부하다.",,https://www.icjg.go.kr/tour,인천광역시 중구 연안부두로 36 (항동7가),상시 개방,연중무휴,가능,,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,연안부두에서 회식당을 많이 이용하는데 다른곳은 안가봤었거든요. 그런데 수산시장을 처음 이용하니 진짜 가격도 싸고 종류도 많고 정말 좋더라구요. 초밥포장하는곳도 갈만해요 연안부두에서는 유람선도 탈수있고 바다낚시를 즐길수 있는 철선도 탈수있어서 좋았습니다. 가까운곳에서 뱃놀이를 할수 있어서 자주 가게 되구요.. 좋아요 당장 떠나고 싶네여,,장애인 전용 화장실 있음.(연안부두 전망대 1층),무료,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음.(연안부두 전망대),유아차 대여 가능.(연안부두 전망대),수유실 있음,휠체어 대여 가능(연안부두 전망대),,,,,"대중교통 이용 가능 : 연안여객터미널 정류장
저상버스 운행 : 36번","휠체어 사용자 눈높이 고려한 망원경 비치.
키오스크 통한 파노라믹 전시 컨텐츠 이용 가능.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잠진도선착장,"잠진도선착장은 인천광역시 중구 덕교동에 위치한 항구로, 인천과 잠진도를 연결하는 중요한 교통 거점이다. 이 선착장은 작은 규모의 어촌 마을과 연결되어 있어, 낚시나 바다 여행을 즐기는 사람들에게 인기가 많다. 또한, 이곳은 섬 여행의 출발점으로, 잠진도와 인근 섬들로 향하는 여객선이 운행된다. 잠진도의 아름다운 자연경관을 즐기기 위한 관광객들이 자주 찾는 명소이며, 특히 해양 스포츠와 낚시를 좋아하는 사람들에게 많은 관심을 받는 장소이다.",,,인천광역시 중구 덕교동 103-22,상시 개방,연중무휴,가능,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선녀바위 해수욕장,"선녀바위해변은 해변에서 보이는 선녀바위와 기암들이 매력적인 곳이다. 바다가 탁 트이고 다른 해변보다 상대적으로 조용하고 차분한 분위기이다. 인근의 유명한 을왕리 해수욕장, 왕산 해수욕장과 연계해서 둘러보기에도 좋다. 용유 3경 선녀바위를 보고, 일몰 시각을 맞추어 아름다운 낙조도 함께 감상하기에 좋은 해변이다. 을왕리 해수욕장이나 왕산 해수욕장에 비해 한적해서 캠핑을 즐기기에 좋다. 선녀바위 위쪽으로 난 골목을 따라 언덕 위로 올라가면 언덕 끝에 예쁜 카페가 있어, 조용히 차를 마시며 카페 창가에 앉거나 야외테라스에서 바라보는 바다의 절경이 일품이다.",,https://www.icjg.go.kr,인천광역시 중구 을왕동,상시 개방,연중무휴,가능,,,,,"서울에서 바다 바고 싶을 때 가는 곳인데 겨울에는 한적하니 사람도 없고 바다를 온몸으로 느낄 수 있어요. 주차하기도 좋고 주차장에서 바다까지도 가까워서 이동하기 좋아요. 선녀바위도 특이해서 사진찍기 좋아요. 선녀풍 예약하고 해수욕장에서 바람쐬다 먹기 딱 좋은코스 날좋을때 갯벌 체험도 하고 텐트치고 쉬기도 하고 북적이지도 사람이 적지도 않은 관광명소예요 주변에 맛있는 베이커리 카페, 칼국수, 조개구이집도 많고~ 해질녘 방문하면 인생 사진도 찍을 수 있는 곳입니다 영종도에서 가장 방문하기 좋은 해변으로 추천드려여 코로나전에 캠핑에 재미가 들려서 자주 가던 곳이 바로 을왕리 선녀 바위예요. 텐트도 칠 곳도 마련 되어 있고 주차할곳도있어요 물론 붐비긴해서 늦으면 자리가 없을수도 있지만…사람들도 캠핑으로 많이 오더라구요. 식당도많고 캠핑하는분들위에 마트도 잘되어있더라구요 해수욕장도 바로 앞이라서 캠핑 족들이 자주 가서 주말마다 엄청 잘 놀더가 오곤했어요 한쪽은 바위가많아서 조심해서 놀면 여러가지 게종류...
더보기 수도권이라서 가깝게 다녀올수 있어요 저녁 노을질때 너무 예쁩니다 바닷바위 아래에 작은 물고기랑 게들 엄청 많아서 어린이들 있는집 추천드려요 서해바다의 일몰이 아름다운 해수욕장 선녀바위해수욕장 가셔서 힐링하시고 즐거운 추억 많이 만드세요 추천합니다. 여긴 노을질때 사진맛집 주변에 맛집도 많고 애들놀기 인천바다에 이만한곳이 없엉ㅅ",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영종도 마시안해변,"마시안해변은 긴 해변길을 자랑하는 곳이다. 긴 해변의 모래사장과 소나무의 조화가 아름다워 용유팔경 중 제 4경 명사십리에 꼽힌다. 해변 주변으로 잠진도, 무의도, 실미도 등의 섬들이 많아 해변을 산책하며 주변 경관을 즐길 수 있다. 해변 모양이 마치 말안장처럼 생겼다고 하여 말안장의 옛말인 ‘마시안’이라고 불리었는데 공식 명칭은 ‘마시란’이다. 이곳은 물이 들어왔을 때는 모래사장이고, 물이 빠질 때는 드넓은 갯벌이 펼쳐지는데, 해수욕을 즐긴 뒤에 갯벌 체험도 할 수 있는 두 가지 매력의 해변이다. 마시안해변의 갯벌은 끝이 보이지 않을 정도로 광활하게 펼쳐지는 것으로 유명하며 땅이 비옥하고 갯벌생태계가 잘 조성되어 있어 많은 바다생물이 서식하고 있다. 마시안해변을 따라 하나, 둘 대형 카페가 들어서면서 카페거리가 조성되고 있는데, 카페마다 특색 있는 인테리어, 맛있는 음료와 베이커리 메뉴로 손님들이 많다. 해 질 무렵 전망 좋은 카페에서 커피와 함께 아름다운 노을을 감상하기 좋다.",,,인천광역시 중구 마시란로 118 (덕교동),상시 개방,연중무휴,가능,,,,,"갯벌체험을 하고싶어서 찾다가 갔는데 앞에 카페도 많아서 아빤 쉬라하고 저희끼리 놀아서 편했네요 금액도 안 비싸고 발도 씻을 수 있게 되어있어서 딱히 불편한 건 없었지만 그래도 하나 고르자면 장화대여 같은 건 늦게가면 못 빌려요 빌린다해도 개인 신발이 더 편합니다 ㅜㅠ 인천국제공항 근처에 위치해 있어 접근성이 좋았고, 해변에 도착하니 소나무 숲과 갯벌이 어우러진 독특한 풍경이 눈앞에 펼쳐디고 특히 썰물 때 드러나는 검은 갯벌과 아이보리빛 모래사장은 정말 이뻐용 !! 해변에서는 갯벌 체험을 즐길 수 있었는데, 조개잡이와 맨손 물고기 잡기 같은 프로그램이 마련되어 있어 가족 단위로 방문하기에 좋았습니다. 갯벌은 발이 깊게 빠지지 않아 활동하기 편했고, 체험 ...
더보기 석양이 정말 멋진곳입니다. 해변도 넓고 접근하기도 좋으네요. 일몰시간에 맞춰가시면 근사한 해넘이를 보실수 있습니다. 해변길 멋잇어요 가까워서 접근성도 좋아요 주변에 카페도 많음~~^^ 해수욕과 갯벌 체험이 가능한 해변 용유도 마시안해변을 추천합니다.해수욕을 즐긴 뒤에 갯벌 체험도 할 수 있는 두 가지 매력의 해변으로 노을이 너무나 아름답습니다. 조개껍데기 가득깔린 모래사장 밟는 느낌이 참 좋은 곳이에요. 한적해서 간이의자놓고 바다 구경하기도 좋구 고민있을때 바람쐬러 혼자 와도 좋을것 같더라구요. 그리고 해변 바로 건너편에 주차할수있는 공터가 있어서 자차로 방문해도 괜찮아요 :) 썰물때 마시안해변도 예쁘네요",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남항근린공원,"남항근린공원은 인천환경공단 남항사업소에서 조성된 공원이다. 하수처리시설을 지하에 설치해 상부 공간을 공원으로 조성했다. 넓은 공간과 시설을 깨끗하게 관리하고 있는 대형 공원이다. 물을 형상화한 체험 및 놀이 구조물이 있는 환경 놀이터, 팔레트 모양의 팔레트공원, 생태연못과 나무다리, 데크 산책로와 해양 산책로, 하늘공원 등으로 구성되어 있다. 역사의 현장이었던 갯골을 따라 산책로와 자전거길이 조성되어 있으며, 운동시설로는 인조잔디구장, 족구장, 농구장이 있다.",,,인천광역시 중구 서해대로94번길 93 (신흥동3가),상시 개방,연중무휴,가능,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바람숲그림책도서관,"바람숲그림책도서관은 자연 속에서 동심으로 돌아가 볼 수 있는 그림책 전문 도서관이다. 양질의 그림책 1만 권을 소장하고 있으며 음악회, 북토크, 그림자극 등 그림책을 활용한 다양한 문화 프로그램도 진행하고 있다. 책 구입도 가능하며 유기농 재료로 직접 만든 피자와 빵, 음료를 즐길 수 있는 작은 북카페도 함께 운영하고 있다. 책으로 둘러싸인 공간에서의 하룻밤을 보내는 북스테이와 그림책 원화 전시도 기획 중에 있다. 예약제로 운영하고 있다.",,https://blog.naver.com/baramsupai,인천광역시 강화군 덕진로159번길 66-34 바람숲그림책도서관,"10:00~17:00
※ 예약제로 운영함으로 예약 후 방문 요망",매주 월요일~화요일,가능,,,,,아이와 함께하기 좋아요 딸과 함께 방문하렵니다^^ 그림책방 가보고싶어요 숲과 독서를 함께 즐길 수 있는 곳이라니 바람숲그림책도서관에 꼭 가족들과 방문해보고 싶어요 굿 아이와 함께 가기 너무너무 좋은곳 ^^ 평화롭고 여유로운 힐링이 가능한곳!,,,,,,,,,,,"5,000원",도서관 / 북카페 / 갤러리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,그림책 작가교실 / 도서관 캠프 / 책놀이 프로그램
월미짱랜드,"인천에 위치한 월미도의 대형 놀이체험 테마파크이다. 아케이드 게임, 물총놀이, 물놀이보트, 미니 후룸라이드 등 다양한 놀이기구와 체험이 준비되어 있어 남녀노소 누구나 즐길 수 있는 공간이다. 특히 아이들과 함께 방문하기에 좋으며, 연인과의 데이트 장소로도 안성맞춤이다. 테마파크 내에는 커피숍, 햄버거 가게, 편의점 등 다양한 먹거리와 편의시설이 마련되어 있다. 월미짱랜드에서 가장 눈에 띄는 놀이기구는 대관람차로, 밤이 되면 화려한 조명이 켜지며 아름다운 야경을 감상할 수 있는 명소이다.",,,인천광역시 중구 월미문화로 81 (북성동1가),"- 평일 12:00~22:00
- 주말 11:00~24:00
※ 자세한 사항은 전화문의 요망",연중무휴,가능,,"[대인]
- 대관람차 9,500원
- 라이드 6,500원
[소인]
- 대관람차 6,500원
- 라이드 5,500원
※ 자세한 사항은 전화문의 요망",,,"인천역에 내려 버스를타면 금방도착하는 미니테마파크~ 바닷가라 겨울엔 너무 추워요. 수도권에서 가깝고 교통이 좋아 가족끼리 친구끼리 연인끼리 가기 좋은 곳. 꽃피는 봄이 더욱 기다려지네요. 놀이기구도 타고 맛나는 간식도 먹을수 있어 더욱 좋아요 인천역에서 버스 타고 월미도 테마파크역에서 내리면 놀이공원이 바로 보여요! 바이킹이 제일 재밌고 스릴 넘칩니다. 올라가는 각도가 어마무시하니 무서운거 잘 못타시는 분들은 구경으로만 만족하길 추천드려요 ㅎㅎ 놀이기구 티켓은 키오스크로 발권했어요 놀이시구 타려면 최소 2명 이상은 모여야 태워줍니다! 월미도테마파크가기전에 월미바다열차로타고 들어가면 색다른 경험이 됩니다~ 아이들도 너무 좋아하구요 ! 가서 그냥 구경해도 너무좋고 간단하게 놀이기구 한두개타도 너무좋은 경험이예요 제가 방문해봤을때 월미도테마파크는 근교로 떠나기 좋은 곳이에요. 여러 놀이기구를 가족,친구 등 편하게 가서 타고 즐길수 있어요. 너무 붐비는 곳이 싫다, 대기시간 짧은 놀이기구 원한다 하면 월미도테마파크가 제격이더라구요",,장애인 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실미도,"인천의 실미도는 영종도 하단 무의도의 부속 섬인 무인도이다. 영화 ‘실미도'를 통해 인지도가 높아진 섬으로 무의도와는 하루 두 번 썰물 때 개펄로 연결된다. 실미도는 1968년 중앙정보부가 창설한 북파 부대원이 지옥훈련을 했던 장소였다. 이후 실미도의 실상을 파헤친 백동호의 소설 ‘실미도’가 발표된 후 강우석 감독의 영화 ‘실미도’가 개봉하면서 역사적 사실이 알려지게 되었다. 지금은 무의대교를 통해 자동차를 타고 역사의 현장을 직접 느껴보기 위해 많은 사람이 실미도를 찾고 있으며, 차박 캠핑지로도 인기 있다.",,https://itour.incheon.go.kr/,인천광역시 중구 무의동,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,가능,,,,,"무작정 서울 근교에 가볼만한 곳을 찾다가 픽! 된 곳! 어쩌다 타이밍이 잘 맞아 신비의 물길이 열려 그 유명한 실미도에 발을 디딜 수 있었어요! 신기방기! 주변에 데크길도 잘 되어 있어서 산책하기도 너무 좋았고, 캠핑이 되는 거 같아서 다음엔 캠핑도 도전해 보려구요! 또 갈래요 :) 오늘은 바닷물이 있어서 실미도안으로 들어갈수가없네요 ㅜㅜ 토요일 이여서 캠핑하는분들이 많으시네요~ 조개잡이 체험 도 할수있어서 나중에 다시 와봐야겠어요 영화 <실미도>촬영지로 유명한 실미도. 바다도 아름답고, 바닷길도 멋져요. 산책길이 잘되어있구요~ 캠핑장도 잘 조성되어있어요",,,"2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씨사이드파크 영종진,"씨사이드파크 영종진은 인천 중구에 위치한 도시 테마공원으로 바닷길, 문화마당, 산책길 등 다양한 테마를 간직하고 있다. 산책길이 조성되어 있고, 어린이들이 놀기 적합한 숲 속 유치원도 있다. 조선말 일본 군함에 의해 발생한 운요호사건으로 사라졌다가 복원된 태평루와 성곽, 이때 숨진 수병들의 넋을 기리기 위한 추모비도 볼 수 있다. 영종도 역사를 간직한 공원으로 공원 내 영종진 역사관을 방문하면 선사시대부터 현재까지 영종도의 역사와 생활문화를 체험해 볼 수 있다. 공원 가까이 구읍나루터가 있어 월미도까지 다니는 배가 있고 성벽을 따라 바닷가를 보며 거닐 수 있어 연인들의 데이트 코스로도 좋다. 고인돌과 빗살무늬 토기 모형이 있어 선사시대를 기억하는 포토존 역할을 해주고 있으며 월미도의 야경과 인천대교의 일몰, 일출을 볼 수 있다. 가까운 곳에 레일바이크도 운행 중이며 영종 역사관 앞으로 시내버스 정거장이 있어 접근성도 뛰어난 공원이다.",,https://www.insiseol.or.kr/park/,인천광역시 중구 구읍로 63 (중산동),상시 개방,연중무휴,가능,,,,,"아기랑 산책하기좋네요~ 러닝하기 좋습니당!!! 시원하게 달리기~ 영종진 공원 추천드립니다. 주변에 맛집과 카페가 있었는데 그 사이에 좀 공백이 있어서 영종진 공원을 방문 하였습니다. 박물관이 있어서 따뜻하게 구경하면서 가족들과 힐링의 시간을 가졌네요. 추운 겨울에 정말 가볼만 합니다. 바다도 볼 수 있어 너무 좋은 곳입니다. ^^ 영종진공원은 아이들과 산책로에서 걷기도 좋고, 밤에는 인천대교와 월미도 야경까지 감상할 수 있어 훌륭한 여행코스로 추천합니다. 영종진공원은 에어스카이호텔 뒤 계단으로 이어지고요 고인돌 등 선신시대유적 등 전시되어 있고 숲체험 썬 나무베드 등 산림욕하기도 좋아요 영종진공원은 성곽과 누각 추모비등으로 구성되어 있고요 지대가 높아 탁트인 바다를 볼 수 있어요 집 앞이라 자주 가는 공원이에요 넓게 잘 조성되어 있어서 산책하기가 좋아요 조금만 올라가면 뻥 뚫린 서해바다뷰를 감상 할 수 있어요 봄엔 벚꽃길이 예쁘게 열리는데 밤에 가면 사진찍기 정말 좋아요 해질녘에 가면 일몰도 예뻐요",,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해상관광탐방로,"인천의 해상관광탐방로는 무의도 둘레길 코스 중의 하나인 하나개해수욕장 인근 해안도로 탐방로이다. 섬과 약간 떨어진 위치한 바다 위에 산책로 데크 길을 만들어 바다와 무의도 섬의 절경을 동시에 감상할 수 있는 해안 둘레길이다. 해상관광탐방로에서는 사자바위, 소나무의 기개, 만물상, 망부석(자매바위, 주먹바위), 해식동굴, 총석정, 부처바위, 만고풍상, 불독바위, 협곡, 원숭이바위, 햄버거바위 등 12가지의 자연경관을 감상할 수 있다.",,https://itour.incheon.go.kr/,인천광역시 중구 무의동,상시 개방,연중무휴,가능,,,,,"재미있는 해상 둘레길이었습니다. 데크를 걷고 나즈막한 산으로 원점회귀를 하였는데.... 적당한 거리와 풍광이 좋았습니다. 서울에서 당일치기로 가기 좋은곳 갯벌체험하러 갔다 멋진 산책로까지 있어서 한참 걷다왔어요 햇빛에 모자는 필수입니다 하나개해수욕장에 있는 해상관관탐방로는 소무의도와 함께 1년에 두 번씩은 꼭 오는 곳이에요. 예전에는 배타고 들어왔는데 다리가 연결되면서 접근성이 좋아서인지 사람들도 많아졌어요. 주차장도 새로 지었더라고요. 아주 예전에 가르치던 학생들을 데리고 무의도에 당일치기로 다녀온 적이 있어요 그때는 옛날이라 더 한적했던 기억이 나네요 서울에서 멀지 않은 곳이라 가볍게 바다 구경할 수 있어서 좋았어요 지금은 또 어떻게 변했을지 다시 한 번 가고 싶은 곳이에요 바다와 무의도 섬의 절경을 동시에 감상할 수 있는 해안 둘레길로 정말 마음에 드는곳입니다 바다와 무의도 섬의 절경을 동시에 감상할수있어서 좋아요 바다 위에 설치한 데크길을 따라 절벽 풍경을 감상할 수 있는 멋진 길입니다. 우리 가족은 걸은 후 해수욕장에 있는 온실카페에 갔는데 겉모습과 달리 1층은 예쁜 식물뷰, 2층은 바다뷰! 숙소는 너무 인기가 있어 예약이 힘들지만 바로 인근에 있는 국립무의도자연휴양림을 도전해 보세요.",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용유도해변,"용유도해변은 인천광역시 중구 남북동에 자리한 아름다운 해변이다. 육지와 가까운 쪽은 흙과 잘게 부서진 조개밭을 이루고, 해면 가까이 갈수록 모래사장이 나타나 산책하기도 좋다. 맑고 깨끗한 바다와 넓은 백사장이 특징이다. 이 해변은 특히 여름철에 많은 관광객들이 찾는 곳으로 해수욕과 해양 스포츠를 즐기기에 좋은 환경을 제공한다. 용유도해변은 바다의 수평선이 한눈에 보이며, 주변 자연경관도 아름다워 휴식과 산책을 즐기기에 좋다.",,https://itour.incheon.go.kr/,인천광역시 중구 남북동,상시 개방,연중무휴,불가능,,,,,서울에서 가장 가까운 바다가 있는 곳 중 인천 중구 용유도 해변을 갔다 왔습니다 생각보다 가까운데 있어서 깜짝 놀랐습니다 도시 옆에 있는듯한 느낌도 들었고 서울에서 이렇게 가까운 곳이구나라는 생각이 들었네요 바다가 아름답고 좋은 거 같아요,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
을왕리선착장,"을왕리선착장은 인천광역시 중구 을왕리에 위치한 주요 선착장으로, 인천 본토와 을왕도 및 주변 섬들로 향하는 여객선의 출발지점이다. 이 선착장은 특히 해양 관광과 섬 여행을 떠나기 위한 중요한 교통 거점으로, 많은 관광객들이 이곳을 이용한다. 을왕리선착장은 바다 노지 낚시터로 유명하다. 이 지역의 주요 어종은 광어, 농어, 망둥어, 숭어 등으로 봄철에는 노래미, 우럭 등이 여름과 가을철에는 숭어와 광어가 겨울철에는 망둥어가 잘 올라온다. 을왕리선착장 방파제는 바다 낙조를 감상하기 좋은 장소로 서녘 하늘 일몰을 바라보기 위해 찾아오는 방문지다.",,,인천광역시 중구 을왕동,상시 개방,연중무휴,가능,,,,,을왕리 그래도 서울에서가까운곳이지요 지금 낙조가 선착장에서 너무멋있었고 낚시철이라 재미가쏠쏠해서 가족들과즐거운여행이었어요,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천항 갑문,"인천항 갑문은 인천광역시 중구에 위치한 중요한 항만 시설로, 인천항의 선박 운항을 원활하게 지원하는 역할을 한다. 갑문은 배가 항구에 안전하게 입출항할 수 있도록 돕는 조수 간만의 차이를 조절하는 시설로, 특히 큰 선박들이 통과할 때 필수적인 구조물이다. 이 시설은 선박이 높은 조수나 낮은 조수에서 어려움 없이 항구를 오갈 수 있도록 물의 높이를 조절하며, 인천항의 효율적인 운영을 돕는다. 인천항 갑문은 또한, 항구의 안전성과 선박의 통행에 중요한 영향을 미치며, 국내외 무역에 필수적인 역할을 한다. 갑문을 통해 들어오는 다양한 선박들은 인천항을 통해 물류와 상업 활동을 활발히 이어가고 있으며, 이 시설은 인천항의 발전과 해상 물류에 기여하는 핵심적인 인프라로 자리 잡고 있다.",,http://www.icpa.or.kr,인천광역시 중구 월미로 376 (북성동1가),상시 개방,연중무휴,가능,,,"관광지 부지가 넓음. 이동경로 폭이 넓음.
관광지 특성상 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 센서식 자동문
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.",색다른 곳이라 한번 다녀오고 싶어요,,장애인 전용 화장실 있음,무료,"장애인 전용 주차구역 주차 대수 : 1대
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 없음.
관광지까지의 거리 : 바로 앞",엘리베이터 있음,,,,,,,,"대중교통 이용 가능 : 갑문 정류장
저상버스 이용 가능 : 모든 버스","홍보관 내 휠체어 이용 가능
무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명선착장,영종도와 연결된 대무의도의 남단 광명항에 있는 선착장이다. 이곳은 인도교로 연결된 소무의도로 가는 길이다. 소무의 인도교는 떼무리 선착장과 광명항 선착장을 잇는 타원형 모양의 길이 교량 길이다. 무의도는 옛날 어부들이 짙은 안개를 뚫고 근처를 지나가다 섬을 바라보면 섬이 마치 말을 탄 장군이 옷깃을 휘날리며 달리는 모습 같다 해서 붙여진 이름이다. 소무의도로 들어간 후 아름다운 섬의 풍광과 함께 해변 길을 한 바퀴 도는 트레킹 코스로도 좋다. 광명선착장은 일출 풍경을 감상하기 좋은 일출 포인트이다.,,,인천광역시 중구 무의동,상시 개방,연중무휴,가능,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
