place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
부산 암남공원,해안절경을 자랑하는 암남공원은 진정산 일대의 자연공원이다. 해안의 소나무 숲 사이로 바라다 보이는 바다풍경과 그 위에 유유히 떠 있는 배들의 모습으로 한 폭의 그림을 선사한다. 산책로를 따라 공원을 한 바퀴 둘러보는데 소요되는 시간은 1시간 정도 걸린다. 중간중간에 전망대와 벤치가 있는 휴게광장에 이르면 탁 트인 바다를 내려다볼 수 있다. 작은 섬 두도와 그곳에 우뚝 선 하얀 등대가 그림처럼 시야에 들어온다.,,http://culture.bsseogu.go.kr,부산광역시 서구 암남공원로 185 (암남동),상시 개방,연중무휴,"가능
요금 (무료)",무료,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(공원 광장 주차장)_무장애 편의시설,장애인 전용 화장실 있음,,,,,,,,,,조각작품 / 광장 / 구름다리 / 팔각정자 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화명수목원,"화명수목원은 금정산 자락에 위치한 부산 최초 공립수목원으로, 수목유전자원의 보존과 증식 및 전시를 통해 지역 생태계를 보전하고 있다. 계절의 변화에 따라 다채롭고 매력적인 자연경관과 생물다양성 관찰 기회를 제공하고 있으며, 숲에 대한 올바른 가치관 확립을 위해 다양한 체험 프로그램 운영되고 있다. 9개의 주제원과 숲전시실, 전시온실, 숲속쉼터 등 관람시설이 조성되어 있으며, 화장실, 주차장 등 편의시설이 설치되어 있다.",,https://www.busan.go.kr/green/index,부산광역시 북구 산성로 299 (화명동),"- 하절기(3월~10월) 09:00~18:00 (입장 마감 17:00)
- 동절기(11월~2월) 09:00~17:00 (입장 마감 16:00)","매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날 휴무) / 설·추석 연휴 / 1월 1일","가능 (약 180대)
요금 (무료)",무료,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음_무장애 편의시설,있음,,,,,,,,,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,숲해설 프로그램
오륙도 (부산 국가지질공원),"오륙도는 용호동 앞바다의 거센 물결 속에 솟아있는 6개의 바위섬으로, 육지에서 가까운 것부터 방패섬, 솔섬, 수리섬, 송곳섬, 굴섬, 등대섬으로 나누어진다. 오륙도는 12만 년 전 까지는 육지에 이어진 하나의 작은 반도였으나, 오랜 세월을 거치는 동안 거센 파도에 의한 침식작용으로 육지에서 분리되어 형성된 것으로 추정된다. 이것은 육지인 승두말과 방패섬·솔섬의 지질적 구성이 동일한 점에서도 알 수 있다. 오륙도란 이름은 1740년에 편찬된 동래부지 산천조(東萊府誌 山川條)에 ＂오륙도는 절영도 동쪽에 있다. 봉우리와 뫼의 모양이 기이하고 바다 가운데 나란히 서 있으니 동쪽에서 보면 여섯 봉우리가 되고 서쪽에서 보면 다섯 봉우리가 되어 이렇게 이름한 것이다. ＂라 기록된 바와 같이 보는 사람의 위치와 방향에 따라 다르게 보이는 데서 유래한 것이라 한다.
섬 이름을 살펴보면 육지에서 제일 가까운 섬으로 세찬 바람과 파도를 막아준다는 방패섬, 섬의 꼭대기에 소나무가 자생하고 있는 솔섬, 갈매기를 노려 독수리들이 모여들었다는 수리섬, 작고 모양이 뾰족하게 생긴 섬으로 송곳섬, 가장 큰 섬으로 커다란 굴이 있어 천정에서 흐르는 물이 능히 한 사람 몫의 음료수로 충분하다는 굴섬, 그리고 육지에서 가장 멀리 떨어진 등대섬은 평탄하여 밭 섬이라고도 하였으나 등대가 세워진 뒤부터 등대섬이라 불리어졌으며, 오륙도에서 유일하게 사람이 거주하는 섬이다.
오륙도 근처는 조류가 매우 빨라 뱃길로서는 위험한 곳이었기 때문에 옛날 이곳을 지나는 뱃사람들은 항해의 무사함을 기원하기 위하여 공양미를 바다에 던져 해신(海神)을 위무하였다고 전해지며, 용신제를 지내기도 하였다고 한다. 오륙도는 대한민국의 관문이며 부산항을 드나드는 각종 선박은 반드시 이곳을 지나야 하기 때문에 부산항의 상징이기도 하다.

(출처 : 부산 남구청 문화관광)",,https://www.bsnamgu.go.kr/,부산광역시 남구 오륙도로 137,상시 개방,연중무휴,"가능
요금 (10분 당 300원 / 1일 최대 8,000원)",,,,,,,,,,,,,,명승 부산 오륙도 (2007.10.01. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,오륙도 스카이워크
쓰다북스 x 원더러스트커피,한국캘리그래피디자인센터에서 운영하는 로컬문화공간이다. 1층과 2층은 커피와 샐러드를 판매하고 3층은 글씨를 쓰는 도구와 도서를 전문으로 취급하는 독립서점이다. 한국캘리그래피디자인센터는 캘리그래피디자인 잡지를 발간하고 있고 캘리그래피 관련 도서를 출판하고 있다. 도심 속에 자연에 온듯한 인테리어와 방문자 모두에게 캘리그래피엽서를 증정한다.,,"공식 홈페이지 https://www.kkol.co.kr/
공식 인스타그램 https://www.instagram.com/projectk.busan",부산광역시 금정구 금정로 197 (구서동) 한국캘리그라피디자인센터 빌딩,10:00~18:00,매주 주말 / 법정 공휴일,불가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,엽서 쓰기
부산 요트투어 요트야,"해운대 수영만 요트경기장에 있는 요트야는 요트투어를 경험할 수 있는 곳이며, 보유 요트는 라군 2017년형 모델로 카마론 요트로 흔들림이 적고, 공간이 넓어 안전하고, 편안하게 요트투어를 즐길 수 있는 요트이다. 요트투어는 약 50분 정도 소요되며, 수영만 요트경기장을 출발하여, 마린시티, 동백섬, 광안대교, 광안리해수욕장 해안을 운항하며, 아름다운 부산의 전경과 야경을 관광할 수 있는 이색경험을 할 수 있다. 선주가 직접 안전하게 운항하고 있으며, 부산지역에서 운영하는 요트 중 가장 큰 규격의 요트이다. 야간에는 선상에서 불꽃놀이도 해주고 있으며, 짐 보관 서비스도 시행하고 있으며 요트 단독 대여도 가능하다.",,,부산광역시 해운대구 해운대해변로 84 (우동),"10:00~22:00
※ 기상악화 시 운항 불가 전화문의 요망",연중무휴,가능,,,,,,,,"7시반 확인문자 받고 예약페이지에서 안내된 이미지를 보고 4선착장앞에서 기다리는데 안오길래 전화해봤더니, ""저희가 제대로된 확인문자를 못드렸네요ㅠ, 얼른 1선착장으로 뛰어오세요""라고 했습니다.(녹음본있음) 그러고 저희가 문의가 많다보면 못받을때가 많다고 하셨는데 변명이라고 하는건가요?? 저희가 왜 안내도 못받고 다른손님 기다리니까 뛰어오라고해서 뛰어가야할까요? 귀한 시간내서 돈내고 똥개훈...
더보기 최근 뜨고 있는 부산의 필수 체험코스 부산 요트투어! 바다 한 가운데 둥둥 떠서 저녁엔 폭죽놀이도 감상할 수 있어요. 중심 바닷가를 다 돌기 때문에 멋진 야경은 덤!! 부산 해운대애 놀러가서 요트투어를했다. 바다 한가운데서보는 마린시티 빌딩은 마치 외국에 온 기분이 들정도로 멋있었다 해질무렵이어서 예쁜석양도보고 광안대교의 멋지고 화려한 불빛도 볼수 있어 좋았다 엄마랑 단둘이 즐겁게 다녀온 부산! 부산 투어패스 끊어서 요트도 넘 싸게 잘 탔어요! 땅거미 질 즈음 광안대교 밑에 지날때 넘 낭만가득했어요","- 퍼블릭투어 13,000원
- 프라이빗 투어 250,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리글방 북카페,"부산에는 헌책들을 판매하는 유명한 보수동 책방골목이 있다. 그 책방골목에 자리 잡은 우리글방은 보수동 책방을 개조해 만든 북카페이다. 우리글방에는 다양한 종류의 책들과 포스터 등을 만날 수 있으며, 책을 보면서 고즈넉한 추억을 즐길 수 있는 힐링 공간이다. 1층에는 계산대, 테이블, 헌책들이 진열되어 있고, 2층으로 올라가는 계단과 통로 곳곳에도 책이 빼곡히 쌓여 있다. 우리글방은 외관이 독특한 형태로 꾸며져 있어 보수동을 들어서면 바로 찾을 수 있고, 옆 건물에는 책방골목의 역사를 살펴볼 수 있는 보수동 책방골목 문화관이 있다.",,,부산광역시 중구 대청로 63 (보수동1가),10:00~19:00,설·추석 당일,불가능,,,,,,,,대로에서 보는 우리글방과 골목에서 본 우리글방의 모습이 달라서 신기했습니다! 내부 여기저기 포스터도 있고 책들도 여기저기 많았습니다. 뚜벅이 여행이 아니었다면 사고 싶고 추억이 생각나는 책들이 많아서 좋았습니다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산기장승마장,"기장 신세계아울렛 인근에 있는 기장승마클럽은 넓은 부지에 실내마장, 대마장, 원형마장, 학생승마 전용 체험장, 규사 실내마장, 클럽하우스, 교육실, 스크린 승마, 휴게실 등을 갖춘 승마클럽이다. 이곳은 체험승마, 전문승마, 개인레슨 등 강습 프로그램을 운영하고 있으며, 다양한 시설과 우수한 강사진을 보유하고 있다. 어린이를 대상으로 하는 포니키즈클럽을 운영하고 있어 아이와 함께 승마체험을 하기에도 좋은 곳이다. 또한 재활 전문 교관에 의한 재활승마와 엘리트 전문 교관이 지도하는 승마교육도 시행하고 있는 승마장이다.",,,부산광역시 기장군 장안읍 기장대로 1647-149,09:00~20:00,매주 월요일,가능,,,,,,,,,"[당일기승]
- 일반마 99,000원
- 웜블러드 132,000원
[승마체험]
- 정상가 77,000원
- 회원가 70,000원
※ 자세한 사항은 전화문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이중섭전망대,"이중섭전망대는 이중섭 화가가 범일동 풍경을 그린 배경으로 추정되는 곳으로 부산항과 범일동 일대가 훤히 내려다보이는 곳에 있으며, 이중섭의 작품과 가족들에게 보낸 편지를 볼 수 있는 전망대이다. 이중섭전망대에는 부산의 화려한 야경을 조망할 수 있을 뿐만 아니라 전망대 카페를 운영하고 있어, 차를 마시며 캘리그래피, 아크릴화, 미니유화 등의 다양한 체험을 할 수 있다. 또, 인근에 이중섭 거리미술관과 희망100계단 등에는 이중섭과 관련된 그림과 편지들을 볼 수 있는 이중섭 거리가 조성되어 있다. 이중섭은 1950년 6.25전쟁으로 부산으로 피난한 후 이듬해 제주도에 건너가 머물다 1951년 12월 부산 범일동에서 생활하게 되었으며, 1955년 미도파 화랑에서 단 한 번의 개인전을 열었다. 우리나라 근현대사의 가장 유명한 화가 중 한 명으로 야수파적인 강렬한 색감과 선묘 위주의 독특한 작품들로 유명하다.",,,부산광역시 동구 증산로 168 (범일동),상시 개방,연중무휴,불가능,무료,,,,있음,,,"집 근처에 있는 관광지여서 언제라도 갈 수 있는 곳이었는데, 며칠 전에 부랴부랴 다녀왔네요ㅎ 전망대에서 부산 풍경도 내려다 볼 수 있어서 좋았습니다~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
늘푸른숲,"늘푸른숲은 도심 가까이 위치하고 있는 셀프바베큐장으로, 소중한 가족, 연인과 일상속에서 벗어나 숲과 더불어 자연속에서 힐링 할 수 있는 공간이다. 시설이용료만 내면 직접 먹거리를 가져가 맛있게 먹을 수 도 있는 환상적인 피크닉 공간이며, 시설이용료와 현지에 마련되어 있는 고기와 숯불로도 피크닉을 즐길 수 있는 곳이다. 가족나들이, 회식, 단체모임, 워크숍 등 장소로 최적인 곳이다. 인근에 등산과 산책하기 좋은 회동수원지 둘레길이 있으므로 산책과 트레킹도 병행하면 좋은 곳이다.",,,부산광역시 금정구 체육공원로 270 (선동),상시 개방,연중무휴,가능,,,,,,,,,"[피크닉존]
- 2인 35,000원
- 6인 55,000원
[방갈로]
- 3인 65,000원
- 8인 85,000원
※ 자세한 사항은 전화문의 요망",,,,,,,,,,,,,단체석 / 무선인터넷 등,,,,매점 / 족구장 / 유아용풀장 등,,,,,,,,,,,,,,,,,,,,,,,,,
부산요트투어 3355마린,"부산 해운대구에 위치한 부산요트투어 3355마린은 해양 레저와 관광을 동시에 즐길 수 있는 프리미엄 요트 투어를 운영하는 곳이다. 바다와 도시의 풍경을 동시에 감상할 수 있으며, 일몰 시간대의 투어는 황홀한 바다와 하늘의 조화도 볼 수 있고 밤에는 광안대교야 야경도 즐길 수 있다. 또한 퍼블릭 투어뿐 만 아니라 프라이빗 투어도 함께 운영하고 있어 가족과 연인과 함께 요트체험을 하기에도 아주 좋다. 친절한 서비스의 부산요트투어 3355마린에서 편안하고 특별한 시간을 보내며, 부산의 아름다운 바다를 만끽하며 특별한 추억을 만들고자 하는 이들에게 추천할 만한 명소이다.",,,부산광역시 해운대구 해운대해변로 84,11:00~23:00,연중무휴,가능,,,,,,,,"부산을 요트로 즐기다니 꼭 해야할 코스에요! 수영만에 갔다가 우연한 기회에 요트를 접하게 되었다. 요트를 탄다는 것이 먼 나라 애기인줄 알고 있었는데 언제부터인지 우리나라가 부자나라가 되어 격세지감을 느끼며 3355마린 요트를 타 보게 되었는데, 약간의 취기가 있는 상태를 알아채고 철저한 승선 검열에서 다행이 무사 통과, 승객의 안전에 신경을 쓰는 부분이 첫 번째로 맘에 들었다. 서서히 출항하여 지금까지 육지에서만 봐 왔던 광안대교와 ...
더보기","프라이빗 투어 150,000원
※ 변동될 수 있으므로 전화문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화공감 수정(부산 수정동 일본식 가옥),"문화공감 수정(문화재명:부산 수정동 일본식 가옥)은 1943년에 지어진 일본식 건물로 넓은 대지 안에 맞배지붕으로 되어 있는 대문 3칸이 있고 몸채 1동이 남쪽을 향해 있다. 몸채 현관의 오른쪽은 벽돌(조적조)로 지어져 있으며 이를 제외한 대부분은 일본식 목조 주택으로 지어졌다. 현재 1층의 일부는 온돌방으로 개조되어 있으나 2층에는 전형적인 일본 식 주택에서 볼 수 있는 툇마루(연가와)와 장마루를 설치한 복도, 그리고 다다미방이 원형대로 남아있다. 또한 다다미가 깔려 있는 실내에는 도코노마, 쓰케쇼인, 명장지, 다다미, 일본식 창호 문양 등의 세부적인 장식이 원형대로 보존되어 있다. 고급 일본식 건물의 외장 요소를 잘 갖추고 있으며 특히 2층의 일본 식 전통 주택의 형식을 철저히 따른 공간의 구성과 치장이 특징적이다. 일제 강점기 근대 주택 건축사와 생활사 연구에 중요한 자료적 가치를 지닌 곳으로 평가받는 공간이다.

(출처 : 문화공감 수정 홈페이지)",,,부산광역시 동구 홍곡로 75 (수정동),10:00~17:00,매주 월요일,불가능 (인근 공영주차장 이용),"1,000원",,,,,,,비 오는 날 마룻바닥에 앉아 듣는 그 빗소리는 정말 편안함과 힐링을 줍니다. 언제라도 좋지만 비 오는 날에 수정을 방문해 보세요. 아주 색다른 매력에 빠지실 거에요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산 기장시장,"기장시장은 기장읍 대라리를 중심으로 위치하고 있으며 시장 현대화 계획에 따라 1985년에 현대식 상설시장으로 변모되었는데, 지금은 기장에서 생산되는 해산물과 농산물 등 각양각색의 물건들이 거래되는 유명한 장으로 변모되었다. 기장군 기장시장은 ‘시장’이란 단어보다 ‘저자’라는 우리 말이 어울리는 저잣거리이다. 또한 기장 시장은 ‘바다의 팔도시장’이다. 기장시장의 특징은 계절마다 특색 있는 장이 형성된다는 것이다. 봄에는 미역과 멸치, 가을에는 갈치장이 형성되는 것으로 유명하다. 특히 추석 전후 2개월에 나는 기장갈치는 맛이 좋기로 전국에 이름나 있다. 값도 저렴하여 전국에서 몰려온 도매상인과 소비자들이 시장골목을 메우게 된다. 기장시장의 해산물 등은 전국 최대의 수산물 시장인 자갈치시장보다도 값이 저렴하여 인근지역의 사람들끼리 자주 이용하는 장으로도 유명한 곳이다.",,,부산광역시 기장군 기장읍 읍내로104번길 16,07:00~22:00,"매월 마지막 화요일
※ 노점 제외",가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(기장시장 공영주차장 1층)_무장애 편의시설,,엘리베이터 있음(기장시장 공영주차장),,,,,수유실 있음(기장시장 공영주차장 1층 후문),,활어 / 건어물 / 수산물 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제시장 조명의 거리,"온 골목이 알록달록, 반짝반짝 신비롭고 아름다운 조명으로 가득한 곳, 부산 남포동 국제시장 안에 자리 잡은 조명의 거리이다. 이곳은 화려한 조명기구와 특수한 공구를 시중보다 20%~30% 저렴한 가격에 구매할 수 있는 곳이다. 실내외에 쓰이는 예쁘고 실용적인 조명기구와 업소용 조명기구 등 모든 종류의 조명기구가 총망라되어 있다. 야간에만 볼 수 있는 조명의 거리 입구의 화려한 조명도 관광객의 눈길을 사로잡는다.",,,부산광역시 중구 국제시장2길 5 (창선동2가),매장별 상이함,매장별 상이함,가능,,,,장애인 전용 주차구역 있음_무장애 편의시설,장애인 전용 화장실 있음(국제시장 공중화장실),,,"""국제시장 조명의 거리""는 부평깡통시장 옆에 있네요. 국제시장조명의거리 역시 야간에 방문해야 제대로 된 분위기와 향수를 느낄 수 있습니다. 낮이지만 잘 보고 왔습니다.",,,,,공구 / 조명기구 / 특수 조명 / 자재 / 문구 / 가전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이하시 (수제젓가락공예),아이하시 매장은 부산 대청동 국제시장안에 위치하고 있다. 천연목을 숙련된 장인의 손길로 다듬어 만든 아이하시 젓가락은 인체에 무해한 도료를 사용하는 고급 수제 젓가락이다. 전량 일본에서 생산되는 제품을 수입해서 아이하시 공장에서 목제 가공 및 손잡이 부분의 여러가지 색상 및 디자인을 가미한 제품이다. 특히 입이 닿는 부분에는 전량 천연 옻을 사용하기 때문에 안전하고 고급스럽다.,,,부산광역시 중구 국제시장2길 33 (신창동4가),10:00~18:00,연중무휴,가능,,,,,,,,,,,,,젓가락 / 숟가락 / 국자 / 주걱 등,,,,,,,,,,,,,,,,,,자체 브랜드,,,,,,,,,,,,,,,,,,,,
서프마린,"부산 광안리해수욕장은 한여름 무더위를 날려버릴 액티비티를 즐기기에 적합한 장소이다. 서프마린에서는 광안리해수욕장 노을을 배경으로 패들보드 체험을 할 수 있어 소중한 사람과 함께 특별한 추억을 쌓을 수 있다. 바다로 나가기 전, 패들보드의 구조와 패들보드를 움직이는 방법, 주의사항에 대해 교육시간을 갖기 때문에 초보자 혹은 처음 패들보드를 접하는 사람들도 이용이 가능하다. 또한, 해변으로 나가도 바다와 익숙해지는 시간을 한 번 더 갖기 때문에 누구나 큰 어려움 없이 패들보드를 즐길 수 있다. 파도가 잔잔하다면 시원한 물살을 가르며 광안대교 아래까지도 이동이 가능하다. 서프마린 강사들이 패들보드 체험을 하는 모습을 촬영하기 때문에 황홀한 순간을 사진으로 남길 수도 있다.",,"공식 네이버블로그 https://blog.naver.com/hjs0329
공식 인스타그램 https://www.instagram.com/surfmarine_busan/",부산광역시 수영구 광안해변로 125 (남천동) 우진빌딩 지하 1층,09:00~20:00,연중무휴,가능,,,,,,,,친구랑 광안리해수욕장에서 패들보드를 체험하고 멋진 노을도 감상하며 힐링 잘하고 왔습니다.추천합니다. 서프마린은 해외여행을 온 듯한 기분을 느끼게 해요. 여름마다 갈때면 기분이 너무 좋습니다. 올 여름도 방문할게요 갈때마다 시원해지는곳 입니다 올해도 꼭 방문하고 싶어요 부산은 바다가 있어서 너무. 좋아요 서프마린 즐길수 있어서 더 좋았어요 넘 시원하고 뷰도이쁘고 보드타기에 딱이에요 부산은 많이 다녀왔지만 작년에 처음으로 패들보트를 타보았어여 물에대한 공포가 있지만 강사가 친절히 도와주셔서 좋은 경험을 하고왔어요 부산 하면 광안리!! 여기 서핑하기 좋아요!! 해질때 패들타면 진짜 최고!!,"[패들보드]
- 선라이즈 40,000원
- 선셋 35,000원
- 교육+렌탈 35,000원
[서핑]
- 교육+렌탈 60,000원
[빅섭]
80,000원
※ 이용요금은 변동될 수 있으므로 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,안전요원 배치,,,,,,,,,,,,,,,
해동용궁사,"해동 용궁사는 1376년 공민왕(恭民王)의 왕사(王師)였던 나옹대사(懶翁大師)의 창건으로 한국삼대관음성지(三大觀音聖地)의 한 곳이며 바다와 용과 관음대불이 조화를 이루어 신앙의 깊은 뜻을 담고 있으며, 진심으로 기도를 하면 누구나 꼭 현몽을 받고 한 가지 소원을 이루는 곳으로 유명하다. 임진왜란의 병화로 소실되었다가 1930년대 초 통도사의 운강(雲崗)이 중창하였다. 1974년 정암(晸菴) 스님이 이 절의 주지가 되어 관음도량으로 복원할 것을 발원하고 백일기도를 하였는데, 꿈에서 흰옷을 입은 관세음보살이 용을 타고 승천하는 것을 보았다 하여 절 이름을 해동용궁사로 바꾸었다. 현존하는 건물은 대웅전을 비롯하여 굴법당, 용왕당(용궁단) ,범종각, 요사채 등이 있다. 대웅전 옆에 있는 굴법당은 미륵전이라고 하여 창건 때부터 미륵좌상 석불을 모시고 있는데 자손이 없는 사람이 기도하면 자손을 얻게 된다 하여 득남불이라고 부른다. 대웅전 앞에는 사사자 석탑이 있다.",,http://www.yongkungsa.or.kr,부산광역시 기장군 기장읍 용궁길 86,04:30~19:20 (입장 마감 18:50),연중무휴,가능,무료,,,,장애인 화장실 있음_무장애 편의시설,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수영팔도시장,"조선 시대 좌수영장을 유래로 하는 수영 팔도시장이다. 전국 방방곡곡에서 사람이 모여들어 갖가지 물품이 유통되는 곳이라는 의미로 수영 팔도시장이라는 이름이 생겨났다고 한다. 수영 팔도시장은 상가 주택 복합형 시장이며, 농수산물은 물론 의류, 잡화 및 귀금속, 약국과 맛집들까지, 없는 것 빼고 다 있는 수영 팔도시장이다. 수영 팔도시장은 아케이드 천정이 설치되어 있어 날씨에 구애받지 않고 쾌적하게 장을 볼 수 있다. 시장 인근에 공영주차장이 있고 주차비도 일정 부분 지원돼서 부담 없이 자차를 가지고 갈 수 있다. 주차장 이용 시 장바구니 카트를 무료로 대여할 수 있어 장바구니 카트로 편하게 장을 볼 수도 있다. 근처에 민락수변공원, 광안리해수욕장이 인접해 있어 함께 둘러보기 좋다.",,http://www.paldomarket.co.kr/,부산광역시 수영구 수영동 190,※ 매장마다 상이함,※ 매장마다 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(수영팔도시장 공영주차장)_무장애 편의시설,,,,"수영구의 좌수영성지 근처, 광안리도 자차 16분, 도보 30분 정도 걸립니다. 근처에 수영구 도시재생지원센터에서 운영하는 숙소인 수영어울민박도 있습니다. 바로 엊그제 다녀왔는데 숙소와 시장 사이가 5분도 채 안 걸립니다. 👍🏻👍🏻 사진은 친구들과 당일 시장에서 사 먹은 것들입니다! 맛있어요 ❤️",,,,,농산물 / 의류 / 잡화 / 귀금속 / 약국 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립해양박물관,"국립해양박물관은 대한민국 해양문화의 랜드마크로서, 해양의 역사·문화·생물·예술에 이르는 다양한 분야의 유물과 자료를 수집, 보존, 연구, 전시하는 우리나라 최초 종합 해양 전문 박물관이다. 부산광역시 영도구에 위치하며, 2012년 5월 개관하였다. 연면적 약 2만 6천㎡ 규모로 지하 1층부터 지상 4층까지 구성되어 있으며, 전시실, 미디어 전시실, 해양도서관, 어린이 박물관, 수장고, 수족관 등 다양한 시설을 갖추고 있다. 박물관은 약 3만여 점의 해양 관련 유물을 소장하고 있으며, 기획전과 상설전시를 통해 관람객에게 풍부한 콘텐츠를 제공한다. 또한, 약 70종 1,000여 마리의 바다 생물들이 살아 숨 쉬는 공간이자 해양동물전문구조·치료기관, 서직지외보전기관으로서 생물을 보호·보전하는 역할을 수행하고 있다. 어린이박물관, 어린이해양도서관을 포함한 어린이·청소년을 위한 교육 프로그램도 활발히 진행되고 있다. 국민 누구나 바다의 소중함과 미래 가치를 느낄 수 있도록 돕는 국립 해양문화 플랫폼이다.",,https://www.mmk.or.kr/,부산광역시 영도구 해양로301번길 45,"[국립해양박물관]
- 평일 09:00~18:00
- 토요일(5월~8월) 09:00~21:00
- 토요일(9월~4월) 09:00~19:00
- 일요일, 공휴일 09:00~19:00
- 설·추석 익일, 어린이날, 광복절 09:00~21:00
[해양도서관]
- 화요일~일요일 09:00~17:30
[어린이박물관(예약제)]
- 화요일~일요일 10:00~17:00
- 4월~9월, 주말 및 공휴일 10:00~18:20","매주 월요일 (단, 공휴일일 경우 그 다음날 휴관)",가능 (총 305대 / 전기차 충전 4대),,주출입구는 단차가 없어 휠체어 접근 가능함,주차장(야외)에서 주출입구(2층) 이동시 엘리베이터 이용,"장애인 전용 주차구역 있음(9대,장애인표지판)_무장애 편의시설",장애인전용 화장실 있음(각 층마다),엘리베이터 있음(2대이상 가능크기),,,"무료 (단, 4D영상관 및 유료 기획전 등 제외)","무료대여(1층 안내데스크-1대,2층-2대)","수유실 있음(2,4층, 4층에 전자레인지 있음)",4D 영상관 내 휠체어석 있음,,,,촉지안내도 있음,,유모차 대여 가능 (2층안내소),,,,,,,,,,"건축연면적 25,870㎡ / 전시 연면적 9,826 ㎡","기본 3시간 2,000원 / 10분 초과 시 100원 / 1일 최대 10,000원",,,,,,,,,,,,,,,,,,,,,"2층 수유실앞 유아전용 화장실 있음
실외놀이터 화장실에 기저귀교환대, 영유아보호의자, 남아소변기, 유아세면대 있음
장애인화장실에 기저귀교환대, 영유아보호의자 있음
어린이 박물관 내 키즈 마술쇼, 종이접기 등 체험 프로그램다양",
민락수변공원,"민락수변공원은 부산 수영구 민락동에 위치한 아름다운 해변 공원이다. 이곳은 광안리해수욕장과 인접해 있어 바다의 경관을 즐기며 산책할 수 있는 최적의 장소이다. 공원 내에는 넓은 잔디밭과 산책로가 잘 조성되어 있어 가족 단위 방문객이나 연인들이 여유로운 시간을 보낼 수 있다. 또한, 민락수변공원은 야경이 아름다워, 특히 광안대교와 바다의 조화를 즐기기에 좋은 곳이다. 근처에는 카페와 레스토랑도 있어, 바다를 바라보며 식사를 즐길 수 있다. 자연과 도시가 어우러진 이 공원은 부산의 대표적인 휴식처로, 지역 주민뿐만 아니라 관광객들에게도 인기 있는 명소이다.",,https://www.suyeong.go.kr/tour/,부산광역시 수영구 민락동 110-19,상시 개방,연중무휴,"가능
요금 (30분 당 900원)",무료,출입구까지 경사로가 설치되어 있음(수변 산책로 휠체어 이용 용이),주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,장애인 전용 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
