place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,화장실,review,입장료,판매 품목,접근로,출입통로,장애인 주차 안내,규모,엘리베이터,수유실,지체장애 기타 상세,유모차,오디오 가이드,체험가능 연령,주요시설,점자 홍보물,관람석,시설이용료,휠체어,객실,대중 교통,수용인원,이용가능시설,청각 장애 기타상세,부대시설,시각장애 기타상세,할인 정보,지정현황,주차요금,점자 블록,보조견 동반,입점브랜드,매표소,안내 요원,코스안내,유도안내 설비,영유아가족 기타상세,체험
구봉산(대전),"구봉산의 유래는 봉우리 9개가 솟아있다 하여 구봉산이라 한다. 대전광역시 서구 관저동, 가수원동, 괴곡동, 흑석동, 봉곡동에 둘러싸여 있다. 대전역을 출발점으로 하여 시내버스 1번, 201번, 202번을 이용하여 서대전 IC에서 하차, 길 건너 관저골 입구로 진입 후, 관저골에서 구봉농장 주차장까지 직진하면 구봉산에 들어설 수가 있다. 산행코스는 구봉농장 주차장에서 왼쪽 등산로를 따라 구봉정 방향으로 진행하여 구봉정에서 성애양로원방향으로 하산할 수 있다. 구봉정을 올라가는 길에 나무 구름다리와 철다리는 꼭 체험한 후 구봉정 꼭대기의 팔각정에 올라 아래를 내려다보면 대전 시내가 시원하게 내려다 보인다.

(출처 : 대전 문화관광 홈페이지)",,https://daejeontour.co.kr/ko/index.do,대전광역시 서구 상보안윗길 160,상시 개방,연중무휴,불가능,,,있음,"대전 구봉산은 그리 산세가 험하지 않고, 높이도 높지 않아서 초심자도 어렵지 않게 오를 수 있습니다. 대전 8경(혹은 12경) 안에 꼭 드는, 대전시가 자랑하는 명산입니다. 꼭대기에 올라가 구봉정에 걸터 앉아서 아래 풍경들을 바라 보면 한 쪽은 아파트, 상가 단지가 밀집해 있는 모습이 있고, 반대편은 자연 그대로의 모습이 있어서 새롭게 다가오기도 한답니다. 더운 날이 풀리고 단풍 들면 등산하기 좋은 계절이 곧 올테지요. 구봉산 등반을 한 번 추천하고 싶네요.
닫기",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한남대학교 중앙박물관,"한남대학교 중앙박물관은 1982년에 개관해 40여 년간 다양한 문화유산을 수집·보존해 온 종합박물관이다. 주요 소장품은 선사시대 유물부터 고고, 민속, 기독교사, 한복, 고문서, 대학교사자료 등으로 구성되어 있다. 박물관은 학문적 탐구와 창의적 문화 활동의 장으로 기능하며 지역사회 문화 발전에도 기여하고 있다. 온라인 홈페이지를 통해 문화 정보를 쉽게 접할 수 있도록 다양한 콘텐츠를 제공하고 있다. 방문자들이 유익하고 편리하게 이용할 수 있도록 지속적인 개선과 정보 제공에 힘쓰고 있다.",,http://bakmul.hannam.ac.kr,대전광역시 대덕구 한남로 70 (오정동),10:00~16:00,주말 / 법정공휴일 / 개교기념일 (4월 15일),가능,"최초 30분 무료 / 1시간까지 500원, 이후 10분 당 500원씩 추가 요금 발생",무료,,,,,주출입구까지 경사로가 있어 휠체어 접근 가능함,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음(법정대학 건물)_무장애 편의시설,,엘리베이터 있음,,,,,,,,,,,,,,,"청각장애인 수화컨텐츠 있음
(스마트폰으로 QR코드 입력 시 수화컨텐츠 제공)",,,,,,,,,,,,,,탑본 체험 / 패넌트 만들기 / 유물 사진 촬영 / 유물 현미경 관찰 / 유물 실측 / 한복 착장 체험 등
대전월드컵경기장,"대전월드컵경기장은 2002 한·일월드컵을 기념해 건립된 축구 전용 경기장으로, 총 40,903석 규모를 갖추고 있다. 반 개폐식 지붕 구조를 적용해 날씨에 관계없이 경기가 가능하며, 관람객의 편의성과 안전을 고려한 현대적인 시설이다. 경기장은 대전도시철도 월드컵경기장역과 가까워 대중교통을 이용해 접근하기 쉽다. 축구 경기뿐 아니라 콘서트, 전시회 등 다양한 문화행사가 열리며, 지역 주민의 휴식 공간으로도 활용된다. 야간에는 조명이 켜지며 주변 경관과 어우러져 아름다운 야경을 연출한다.",,https://www.daejeon.go.kr/,대전광역시 유성구 월드컵대로 32,,,,,"[주간]
- 평일 500,000원
- 주말 750,000원
[야간]
- 평일 750,000원
- 주말 1,125,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,"깔끔합니다 주차는 쬐금 어려워요 K리그2 대전하나시티즌의 홍보관, 2002 한일월드컵 기념관이 서문 쪽에 얼마 전 만들어졌거든요. 축구 사랑하시는 팬이라면 경기 있는 날 한 번 찾아보시길 권해드려요!",,,출입구까지 경사로가 설치되어 있음,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(42대)_무장애 편의시설,,엘리베이터 있음,,,대여가능,,,,,장애인 전용 관람석 있음,,대여가능,,,,,,,,,,,,,,,,,,,
한밭교육박물관,"한밭교육박물관은 1992년 7월 10일 교육부의 승인을 받아, 대지 4,198㎡에 연건축면적 2,195㎡으로 9개의 전시실과 3개의 전시장, 야외 전시장 그리고 각종 부대시설을 갖추고 옛날에 사용하던 교과서를 비롯하여 교육 관련도서, 교육학습기록, 교원학생서장, 사무용품 등 교육 관련유물 총 27,000여 점의 자료를 보존, 전시하고 교육과정과 연계하여 학생들의 학습장으로 활용되도록 운영하고 있는 교육박물관이다. 제1전시실에서는 옛날 서당교육의 모습에서부터 구한 말 신식교육이 들어오기까지의 생생한 모습과 많은 자료가 시대, 영역별로 전시하고 있으며, 제2전시실에서는 일제 강점기 시절의 여러 가지 아픈 과거인 창씨개명서장, 황국신민서사석 등 황민화 교육의 모습들이 전시되어 있다. 제3전시실에는 해방과 더불어 시작된 교수요목기부 터 7차 교육과정기까지의 우리 교육이 발달해 온 모습이 각종 교과서 및 교구 자료와 함께 전시하고 있으며, 제4전시실 에는 조선시대 교육기관 모습이 모형촌으로 그 시대의 사회 풍습과 더불어 전시하고 있다. 그 외 제5전시실은 옛날의 사랑방을 중심으로 한 선비들의 생활모습과 각종 민속자료들, 제6전시실은 안방에서의 여인들 생활모습, 제7전시실에서는 어전회의 모습과 옛날 저잣거리 모습이 전시되어 있다.

이러한 전시실을 기반으로 한밭교육박물관은 우리의 교육 문화는 물론 생활, 민속, 문화도 한눈에 볼 수 있는 훌륭한 교육의 장으로 자리 잡고 있다. 문화재로도 인정받는 한밭교육박물관 건물 한밭교육박물관 건물은 1938년 6월 8일 준공된 건물로 학교 건물로 대전에서는 가장 오래된 건물이다. 한 번의 개축도 없이 학교 건물로 사용되었으며, 6.25 전쟁 당사에는 유엔과 북한군이 번갈아 주둔하여, 지금까지 당시 총탄의 흔적이 선명하게 남아있다. 이러한 중요성으로 인해 현재 대전광역시 문화유산자료로 지정되어 있다.",,http://www.hbem.or.kr/kor.do,대전광역시 동구 우암로 96 (삼성동),"- 하절기(3월~10월) 09:30~18:00
- 동절기(11월~2월) 09:30~17:00
※ 입장은 마감 30분전까지",매주 월요일/ 1월 1일 / 설날·추석 당일,"가능
요금 (무료)",,무료,"장애인 화장실 있음(1층,남녀분리)","아이들과 만인산자연휴양림에서 1박후 방문한곳.. 곳곳에서 어린시절의 추억이 뭉게뭉게 피어올랐다..아이들도 즐거운 시간을 가질수 있지만 나이든 나도 옛 추억에 잠시나마 잠길수 있어 좋았다 대전 토박이지만 1년에 한두 번씩은 꼭 찾는 곳입니다. 옛날 학교 건물을 활용하여 교육의 변천 과정을 다양한 사료와 함께 충실하게 담아내고 있어요. 옛날 교복, 한복 입어보는 체험도 재밌어요. 입장료는 무료입니다.",,,,"출입통로 형태 : 여닫이문
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.
경사로 있음.","장애인 전용 주차구역 주차 대수 : 2대.
>주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.
문화시설까지의 거리 : 약 60m",,,,,,,,,,,,,,"대중교통 이용 가능 : 삼성네거리 정류장
저상버스 운행 : 201, 611, 613번",,,,,,,,,,,,,,,,,
전통나래관,"전통나래관은 대전 동구 대전역 인근에 위치한 대전 전통문화 전시 및 체험관이다. 대전 무형문화재 기능 9종목의 전승과 보존 기반 마련을 위해 2014년에 개관하여 대전문화재단에서 운영하고 있다. 전시 종목에는 무당이 앉아서 주로 경을 읽는 ‘앉은 굿’, 불상을 조각하는 ‘불상조각장’, 목가구를 제작하는 ‘소목장’ 등이 있고 이를 체험할 수도 있다. 이를 통해 대전 지역 무형문화재의 우수성과 가치를 널리 알리는데 일조하고 있다. 전통나래관은 무형문화재를 시민과 누리기 위해 매년 대전무형문화재 한 종목을 선정하여 기획전을 개최한다. 또한 타 시도와 작품을 교환해 전시하기도 한다. 체험 및 교육 프로그램도 있다.
인근에는 철도관사촌(솔랑시울길), 소제동 카페거리, 역전시장, 대전중앙시장 등의 관광지가 있다.",,대전문화재단 http://www.dcaf.or.kr/web/page.do?menuIdx=422,대전광역시 동구 철갑2길 2 (소제동),10:00~17:00,월요일,가능,,무료,장애인 화장실 있음(1층),경험해보는 것으로 깨끗한 외관이 눈을 잡지만 내부에 전시되는 것들은 취향이 맞으시면 좋지만 토속적인 것을 그닥 좋아하지 않으시면 ~~ 화장실 깨끗합니다.,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음(1대)_무장애 편의시설,,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무형문화전수학교 / 중학생 문화유산 탐방 / 대전무형유산 기능 7종목 전수교육 등
동구청소년자연수련원,"동구청소년자연수련원은 대전광역시 동구의 만인산과 식장산 사이 산자락에 위치한 청소년과 시민을 위한 자연 친화형 수련 시설이다. 도심에서 차량으로 약 20분 거리로 접근성이 뛰어나며, 생활관, 운동장, 체육관, 대강당, 소강당 등 다양한 부대시설을 갖추고 있다. 수련원은 울창한 숲 환경을 활용해 뒷산에 서바이벌 게임장을, 운동장과 숲길에는 트리클라이밍 3종을 조성해 운영하고 있다. 자연 속에서 체험과 휴식을 동시에 누릴 수 있어 청소년 활동뿐 아니라 가족 단위 이용객에게도 적합하다. 동구청소년자연수련원은 몸과 마음의 건강을 추구하는 종합 수련 공간으로 운영되고 있다.",,http://www.yntc.co.kr/,대전광역시 동구 산내로474번길 123 (상소동),09:00~18:00,주말,,,※ 프로그램별 상이하므로 홈페이지참고,,,,,,,,,,,,,,,,,,,,,,,,,생활관 / 체육관 / 대강당 / 소강당 / 세미나실 / 샤워장 / 독서실 / 휴게실 등,,,,,,,,,,,,,
대전근현대사전시관,"대전근현대사전시관은 대전시립박물관에서 운영하는 전시관으로, 1932년에 건축된 우리나라 근대건축물인 옛 충남도청사 본관 1층에 위치해 있다. 이 건물은 1930년대 초에 지어진 건축물 중에서도 원형이 잘 보존된 보기 드문 근대문화유산으로, 건축적 가치와 역사적 의미를 함께 지닌 공간이다. 전시관에서는 건축물 자체를 감상하는 것은 물론, 대전의 근현대사와 관련된 다양한 상설전시와 대전 근현대사의 많은 사건들과 역사, 건축, 도시계획, 디자인, 대중문화 등 다양한 분야의 특별전시를 함께 즐길 수 있다. 역사와 문화에 관심 있는 시민은 물론, 가족 단위 관람객에게도 유익한 공간으로, 교육적 가치 또한 높다.",,https://www.daejeon.go.kr/,대전광역시 중구 중앙로 101 (선화동),"[하절기(3월~10월)]
- 10:00~19:00
- 입장 마감 18:30
[동절기(11월~2월)]
- 10:00~18:00
- 입장 마감 17:30
※ 자세한 사항은 홈페이지 참조","매주 월요일 (단, 월요일이 공휴일일 경우 박물관 개관 후 익일 휴관) / 1월 1일 / 설·추석 당일 / 기타 박물관장이 지정한 날",가능,,무료,장애인 화장실 있음,"가는길엔 비가 많이 왔지만 도착하니 비가 그쳤고, 대전의 근현대사 역사와 옛 건축물의 아름다움이 담긴 곳이었습니다. 온천 호텔 전시관도 재밌게 구경했습니다. 옛 충청남도 도청사로 사용되였던 건축물로 100년가까이 된 건축물입니다. 과거 건축양식을 잘 볼수있게 관리가 잘되어있고 대전의 근현대사를 한눈에 볼수있는 전시관이 있습니다. 볼거리도 많고 너무 전시관사가 너무 이뻤어요 사진찍기도 좋구 대전의 역사도 배운 좋은 공간이었습니다! 대전의 근현대사를 자세히 알 수 있어서 좋았습니다. 게다가 건물 자체에 대한 역사도 알 수 있어 흥미로웠습니다. 현재 진행되는 유성온천 관련 전시도 실제 온천의 호텔에 온 것 같아 재미있었습니다. 성심당 본점 오시는 분들도 가까워서 좋을 것 같아요 멋있어요. 라이프온마스 촬영지! 사진찍으러 오는 사람들 많더라구요. 개인작으론 건물 앞면보다 뒷면이 이쁜 거 같아요. 이번에 0시 축제 할때 다녀왔어요 옛건물인데 리모델링을 안한게 좋기도 하고 신기하기도 하더라구요 화장실에 재래식변기.. ㅋ 대전의역사를 체험으로 시대의건물미를 봤네요",,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,엘리베이터 있음,,,,,,,점자안내판 있음,,,,,,,,,,,,,,,,,,,,,기저귀교환대있음(화장실내부),
대전한밭도서관,"한밭도서관은 새로운 정보의 습득을 통한 지식창출, 정보격차 해소를 통해 사회통합에 기여하고자 개관한 시립도서관이다. 양질의 정보 서비스 제공을 위한 자료의 확보, 지식정보취약계층을 위한 도서관 서비스 확대 등을 통해 시민 개개인의 삶의 질을 향상시킬 수 있는 책으로 행복한 대전, 한밭도서관으로 자리매김하는 것에 중점을 두고 운영하고 있다. 또한 지역대표도서관으로 지역 간, 계층 간, 세대 간의 통합을 위한 매개체 역할을 수행하고, 시민 중심의 서비스를 제공하고 있다.
주변에는 보문산, 대전아쿠아리움, 사정공원 등이 있다.",,https://www.daejeon.go.kr/hanbatlibrary/index.do,대전광역시 중구 서문로 10,"[2025년 4월22일~11월30일까지]
- 평일 09:00~20:00
- 주말 09:00~18:00
※ 자세한 사항은 홈페이지 참조",매주 월요일 / 법정공휴일,가능,,무료,장애인 전용 화장실 있음(1층 엘리베이터 옆),"여기 꽤 괜찮습니다. 책읽기도 나쁘지않고 나름 공부하기위한 자습실도 잘 되어있습니다. 주차공간도 그럭저럭 있는편이라 차량자리는 있는데 후면입구쪽이 좁은도로라 조심하셔야합니다 대전이 도서관이 참 많지만, 특히 한밭도서관은 그중에서도 으뜸에 꼽힐 만합니다. (대학 도서관 중에서는 유성구 궁동 충남대학교 도서관 추천!) 일단 시립이라 크고, 보유 장서도 많고 시설도 좋습니다. 오랜 시간 주민들에게는 문화생활을 향유하는 공간, 학생들, 수험생들에게는 배움의 터전, 시민들에게는 자긍심이 되어준 한밭도서관 고마워요! 대전시가 제2, 제3 도서관을 건립 준비하고 있어요. 오랜 시간 제 자리를 지켜 온 한밭 도서관에게 이 자리를 빌려 고맙습니다. 30년 대전 토박이로서 자신 있게 추천합니다. 혹시 도서관, 박물관 등을 테마로 한 여행을 좋아하시는 분이라면 대전 오실 때 한 번 들러 보세요. 참, 월요일이랑 공휴일은 휴관입니다!
닫기",,,출입구까지 경사로가 설치되어 있음,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,엘리베이터 있음,,,,,,,점자안내판 있음,,,,,,,,녹음도서 이용가능(시각장애인실 내)_청각장애인 편의시설,,"시각장애인실 운영 (열람석 20석, 문의 042-580-4415)",,,,,,,,,,,,
이응노 미술관,"대전 이응노미술관은 이 지역이 낳은 세계적인 작가 고암 이응노 (1904~1989) 화백의 예술 연구와 전시를 맡아 이 시대 고암 정신을 확장하고 계승할 목적으로 2007년 5월 개관하였다. 이응노의 삶과 예술 활동을 재조명하고, 그의 예술세계를 연구함으로써 한국 미술의 발전에 기여하고자 하는 뜻을 내포하고 있다. 대전광역시 서구 만년동 396번지에 있으며 지하 1층, 지상 2층 건물이다. 박물관 건축설계는 프랑스 건축가 로랑 보두앵이 맡았다. 2007년 5월 3일 개관하였고 개관 기념전으로 ‘고암, 예술의 숲을 거닐다-파리에서 대전으로’를 열었다. 그동안 잘 알려지지 않았던 고암 선생의 작품인 릴리프(종이 부조), 판화, 은지화, 페인팅, 몽돌 등 이응노 작품의 다양성에 초점을 두고 개관 3주년 기획전이 벌어지고 있다. 고암의 작품세계가 동양과 서양의 만남이었던 것처럼 이응노미술관의 건축물은 한국작가 이응노와 프랑스 건축가 로랑 보드앵의 만남이 자아낸 조화라는 점도 매우 흥미로운 일이다.",,http://www.leeungnomuseum.or.kr,대전광역시 서구 둔산대로 157 (만년동),"[3~10월] 10:00~19:00 (입장 마감 18:30)
[11~2월] 10:00~18:00 (입장 마감 17:30)","매주 월요일 (단, 공휴일인 경우 그 다음날 휴무) / 1월 1일 / 설·추석",가능,,"[개인]
- 어른 1,000원
- 청소년·어린이 600원
[단체]
- 어른 800원
- 청소년·어린이 400원
※ 무료 : 노인 (65세 이상) 및 유아 (6세 이하) / 장애인 / 유공자 등
※ 자세한 사항은 홈페이지 참조",장애인 화장실 있음,"조용한 분위기에서 작품 감상하기 좋은 곳 이에요 근처에 한밭수목원도 있어서 데이트 코스로 좋아요 이응노미술관은 한국을 대표하는 화가 이응노의 작품 세계를 깊이 느낄 수 있는 특별한 공간이에요. 그의 독창적인 추상화와 작품 속에 담긴 메시지가 인상적이었고, 전시마다 새로운 감동을 주는 구성이 매력적이에요. 미술관 주변의 한적한 분위기와 한밭수목원과 이어진 산책로도 함께 즐기기에 좋아요. 예술을 사랑하는 분들에게는 꼭 한 번 들러보길 추천하는 곳입니다! 한밭수목원 인근에 있어서 가족나들이 좋은 장소에요. 시립미술관 함께 가요 사진보다 더 좋은 곳이란 개인적인 생각이구요.곰곰이 여러 생각들을 하게된 것 같아 좋은 경험이었어요. 평소 미술관에 자주 가지는 않지만 앞으로 미술관은 물론 전시도 다양하게 가볼 예정입니다.",,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함(수동문),장애인 주차장 있음_무장애 편의시설,,,,,대여가능(4대),,,,,,,대여가능(사전문의),,,,,,,,,,,,,,,,,,,
대전반려동물공원,"대전 반려동물공원은 사람과 반려동물이 함께 교감하고 행복한 동행을 위한 공간을 그리는 공원이다. 드넓은 잔디광장에서 뛰놀 수 있으며 실내 시설과 쉼터도 있다. 보호자와 반려견이 함께하는 체험 프로그램들이 준비되어 있어 자신의 반려견에 대한 이해를 할 수 있게 도와준다. 어질리티대회, 건강상담 등 계절별로 반려동물과 참여할 수 있는 행사도 다양하다.",,https://www.daejeon.go.kr,대전광역시 유성구 금고길 7,"[하절기(4월~9월)]
- 문화센터 10:00~18:00 (입장 마감 17:30)
- 야외시설 10:00~21:00 (입장 마감 20:00)
[동절기(10월~3월)]
- 문화센터 10:00~18:00 (입장 마감 17:30)
- 야외시설 10:00~19:00 (입장 마감 18:00)","매주 월요일 (단, 월요일이 휴일이면 다음 평일 휴관) / 설·추석 연휴 3일 / 1월 1일",가능,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,행동교정교육 프로그램 / 반려견 스포츠 체험교육 프로그램 / 수제간식 만들기 프로그램 등
대전대학교박물관,"대전대학교 박물관은 대전대학교 내에 위치한 부속 박물관으로, 1984년 10월 27일 고암 서정인 선생이 기증한 561점의 유물을 바탕으로 개관하였다. 모운 이석희 선생, 운산 오홍균 선생, 이재준 선생, 박태병 선생 등 많은 사람들이 기증한 유물들이 추가되어 오늘에 이르고 있다. 주요 활동으로 매년 봄과 가을에 일반인을 대상으로 문화유적 답사를 하고, 교양강좌를 열고 있다.
전시실은 자기실, 고서화실, 고문서실, 금속민속실의 4개로 나뉜다. 이 중 자기실은 다시 1실과 2실로 나뉘며 1실에는 고려 상감청자를 비롯한 순청자와 양각청자, 음각청자 등의 각종 청자류가 전시되어 있고, 2실에는 청자와 백자의 과도기 형태인 각종 분청사기와 순백자, 청화백자, 철회백자 등의 각종 백자류가 전시되어 있다. 전시실 중앙에 있는 고서화실에는 허유의 석란도와 매화도를 비롯하여 둔황석굴의 각종 탁본류, 서애 유성룡의 친필 등이 전시되어 있다. 고문서실에는 맨 앞에 간재집 목판 2,681개 중 일부를 전시하여 바로 옆에 있는 동의보감, 의학입문, 향약집성방 등의 출판 과정을 쉽게 알 수 있게 하였으며, 뒤쪽에는 흥선대원군을 비롯한 조선시대 선비들의 각종 간찰(편지)과 임금이 내리는 교지, 요즘의 월급명세서와 같은 녹패, 상소문, 통문 등의 다양한 고문서를 전시하여 조상들의 생활문화를 살필 수 있도록 하였다.
대전대학교 박물관은 대학로나 동부로를 통해 대전대학교 캠퍼스 내부로 진입하여 접근할 수 있다. 고속도로는 경부고속도로 대전IC와 통영대전고속도로 판암IC가 가깝다. 주변에는 솔랑산, 세천공원, 식장산 등이 있다.",,https://www.dju.ac.kr/msm/main.do,대전광역시 동구 대학로 62 대전대학교,10:00~17:00 (휴게시간 12:00~13:00),주말 / 공휴일,가능,,무료,장애인 전용 화장실 있음(1층),"대전대학교박물관은 고즈넉한 분위기에서 다양한 유물을 만날 수 있어 좋았고 특히, 야외 전시된 석탑과 비석들이 인상 깊었으며, 박물관 내부 동선도 쾌적하여 편안하게 관람할 수 있었어요",,,출입구까지 단차 없이 연결 됨,주출입구는 무단차로 휠체어 접근 가능함(자동문),장애인 전용 주차구역 있음(2대)_무장애 편의시설,,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문화유산탐방 / 단체관람 교육
테미오래,"테미오래는 충청남도지사 공관을 포함하여 공무원 관사로 사용되었던 건물이 밀집되어 있는 대전광역시의 지역이다. 관사란 지방의 행정 사무를 보던 건물을 뜻하며 과거에는 관사촌으로 불렸고 2018년 공모를 통해 현재의 명칭으로 변경되었다. 테미오래에서는 1930년대에 지어진 관사들을 중심으로 1970년대에 추가로 지어진 관사들과 함께 근대와 현대가 공존하는 역사와 문화의 공간으로써 다양한 건축양식을 볼 수 있는 곳이다. 옛 충남도지사 관사촌의 새 이름인 테미오래는 시민공모를 통해 정해졌으며, 테미라는 지명과 골목에 대문을 마주하는 집이 몇 채 있는 마을을 뜻하는 오래라는 뜻이 합쳐진 순우리말이다. 또한 테미로 오라, 관사촌의 오랜 역사라는 중의적인 의미도 담겨져있다.",,http://temiorae.com/,대전광역시 중구 보문로205번길 13,10:00~17:00 (입장 마감 16:30),"매주 월요일 (단, 월요일이 공휴일일 경우 그 다음날 휴무) / 1월 1일 / 설·추석 당일",불가능,,무료,,"숨겨진 대전의 명소 테미오래! 몇군데는 공사중이라 모든 곳을 다 볼 수는 없었지만 옛 관사의 모습과 전시품들이 볼만했습니다. 관사 구석구석을 구경하는 재미도 있고 해설사분께서 친절하게 설명도 해주셔서 더 알차게 둘러볼 수 있었습니다. 다음엔 공사가 끝나면 또 방문할 예정입니다. 봄 축제할 때 가봤는데 관사별로 다양한 테마로 꾸며놓아서 아이들과 즐기기 좋았어요. 축제 아닐 때 가도 놀이방 코너도 있고 좋을 듯 싶어요. 미션수행하면 선물도 줘요. 벚꽃필 때 가면 관사 주변이 조경도 잘 돼있어서 좋더라고요. 대전에서 0시 축제를 밀고 있어서 올 여름 0시 축제 구경하면서 둘러보면 더 즐거울 거 같아요. 옛날 공무원 관사촌을 멋진 전시공간으로 바꾸어놓았네요. 대전의 과거를 살펴볼수 있는 곳이라 추천드려요. 고풍스러운 멋이 있어서 사진 촬영해도 잘 나옵니다. 청각에방 관사촌 구경을 할 수 있어요. 스탬프투어 기념품도 있고 직접 방문해보니 쾌적하고 좋아요. 대전시내에서 조금떨어져있는데 걸어가거나 버스 타고내려서 걸어가야해요 대전 여행가서 제일 좋았던곳이에요 관사마다 테마별로 다양한 볼거리 즐길거리 너무 좋은 추억이었어요 대전시내에 숨어있는 명소 같은 곳입니다. 해설투어도 좋고 산책하듯 공관을 방문삼아 걸어도 좋은곳으로, 공관마다 잘 꾸며놓아 가족여행으로도 지인여행으로 가기에도 좋은 곳입니다. 시간 여유있게 스템프투어 하는것을 추천드려요!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씨네 인디 유,"대전독립영화전용관 씨네인디유는 대전 중구 문화동에 위치한 대전지역 최초이자 현재로서는 유일한 독립영화전용관이다. 씨네인디유의 U는 유니버스(Universe), 유비쿼터스(Ubiquitous), 유니피케이션(Unification), 언더그라운드(Underground) 등의 의미를 내포하고 있어 어떠한 가능성들에 대해서도 열려있는 영화관이 되고자 하는 의지를 담고 있다. 씨네인디유는 일반 영화관, 그리고 수도권 이외 지역에서 상영되기 어려운 독립영화를 전문으로 상영한다. 대전독립영화제라는 지역 유일의 경쟁독립영화제 개최, 지자체의 지역 독립영화제작 지원 제도 시행에 이어 2019년 대전시의 공모사업 선정을 통해 2020년에 개관하여 현재에 이르고 있다.",,https://cafe.naver.com/cineindieu,대전광역시 중구 계백로 1712 (문화동) 기독교연합봉사회관 1층,공연 별로 상이함으로 홈페이지 참조,연중무휴,가능,,"- 성인 8,000원
- 청소년·경로·장애인 : 7,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월평싸이클장,"월평사이클장은 1994년 12월에 대전 서구 내동에 건립된 공공체육시설이다. 사이클 벨로드롬 경기용 트랙과 2,540개의 관중석, 그리고 중앙에 족구와 농구, 배드민턴을 즐길 수 있는 다목적구장이 함께 갖춰져 있다. 사이클트랙 (벨로드롬)은 선수 훈련 및 경기를 위한 전용 트랙으로 경사각이 9~35도로 형성되어 있어 일반 자전거 및 RC카, 인라인, 스케이트 등 바퀴 달린 장비는 이용할 수 없다.
월평사이클장은 신갈마로를 통해 접근할 수 있으며 인근에는 월평공원 갑천 생태놀이터, 도안생태호수공원 등의 관광지가 있다.",,https://www.daejeon.go.kr,대전광역시 서구 신갈마로 55-3 (내동),"[10월~3월]
09:00~18:00
[4월~9월]09:00~20:00
※ 토·공휴일도 동일하게 운영됨",매주 일요일 / 설·추석 연휴 / 선거일 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인쇄거리,"인쇄거리는 대전 동구 대전역 서광장 근처 이면도로에 밀집한 인쇄소들의 거리이다. 인쇄산업은 동구 비교우위 산업의 하나로서 중동, 정동, 삼성동 지역에 많은 인쇄 업체가 밀집되어 있다. 이 업체들은 오랜 전통과 경험에 의한 고도의 기술력과 설비를 가지고 인쇄를 비롯하여 제본, 산업용 스티커 제작, 광고 스크린 인쇄, 족보 인쇄 등 화폐를 제외한 모든 인쇄가 가능하다. 특히 족보 인쇄는 전국에서 발간되는 족보의 70~80%가 이곳에서 제작될 정도로 발달하여 있다. 대전 동구에서는 이 거리의 가치를 인정하여 1997년 1월부터 특화거리로 지정 운영하고 있다. 인쇄거리는 시대 흐름에 따라 예전 같은 전성기는 아니지만 여전히 지역 사회와 산업에서 중요한 역할을 차지하고 있으며, 때로는 추억을 되새겨볼 수 있는 곳이기도 하다.
대전로와 대전천동로를 통해 접근할 수 있으며, 고속도로는 경부고속도로 대전 IC와 통영대전고속도로 판암 IC가 가깝다. 대중교통은 경부선 및 경부고속철도, 대전도시철도 대전역을 이용할 수 있다. 주변에는 대전중앙시장, 역전시장, 으능정이문화의거리 등이 있다.",,,대전광역시 동구 중앙로203번길 82-1 (정동),점포 별로 상이함,점포 별로 상이함,불가능,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
