place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,규모,할인 정보,접근로,출입통로,장애인 주차 안내,엘리베이터,화장실,지체장애 기타 상세,review,이용가능시설,입장료,지정현황,체험가능 연령,수유실,휠체어,점자 홍보물,시설이용료,주차요금,대중 교통,유모차,판매 품목,객실,주요시설,부대시설,강습안내,오디오 가이드,영업시간,대표메뉴,취급메뉴,관람석,개장기간,수용인원,대여안내,보유장비,시각장애 기타상세,점자 블록,보조견 동반,유도안내 설비,입점브랜드,코스안내,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,세미나실 여부,예약안내,예약안내 홈페이지,안내 요원,식음료장,홍보물,이용 시기,유아용보조의자,영유아가족 기타상세,체험
청주동물원,"청주랜드동물원은 가까이서 동물의 생태를 직접 관찰할 수 있는 산 교육장으로 활용하고자 1997년 7월 개원했다. 2000년에는 조류 테마공원을 조성했고, 2007년 청주랜드로 통합됐다. 청주 동물원은 포유류 36종 116마리, 조류 72종 393마리, 파충류 7종 21마리, 어류 1종 10마리 등 총 116종 540마리의 다양한 동물들을 한자리에서 모두 볼 수 있다. 이곳에서는 다양한 동물들을 관람할 수 있을 뿐 아니라 미래의 사육사, 수의사를 꿈꾸는 청소년들에게 진로체험활동 지원을 통한 직업체험을 제공한다. 동물들의 생태를 배우고 현장 견학의 기회를 갖는 동물교실을 운영 중이다. 동물 생태 해설사와 함께 동물원 투어를 하며 야생동물 생태설명 및 청주 동물원만의 특별한 이야기를 들을 수 있는 체험활동이 있다.",,https://www.cheongju.go.kr,충청북도 청주시 상당구 명암로 224 (명암동),09:00~18:00 (입장 마감 17:00),"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음 평일 휴관)",가능,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,장애인 전용 화장실 있음,,오랜만에 가보니 좋네요 날씨가 벌써 더워져서 큰동물원에 땡볕에 돌아다니는것보다 가성비 좋아요 입장료 진짜 저렴합니다 주차장도 넓어요 아이가 아직 어리거나 많이 돌아다니기 힘들면 딱 적당한 크기의 동물원입니다 아이와 함께 다녀오기 좋았어요 입장권할인혜택도 많고 주차장도 넓었어요. 원숭이부터 사자 호랑이 얼룩말 다양한 동물들이 많아서 아이가 좋아했어요 생각보다는 작았는데 알차게 구성되어 있어요! 주차장도 넓고 아이들 데리고 가기 좋아요! 특히 바람이 꼭 보고 오세요! 너무나 아름다운동물원입니다. 사자 호랑이 외에 다양하게 있습니다. 이 동물원특징은 자연친화적 동물원이며 아픈 동물들을 구조해서 야생으로 돌려보내기위해 보호하는 아주 의미가 깊은 동물원입니다. 동물들이 잘 관리받는거 같아 좋았어요. 꽤 등산할만한 곳도 있고 토끼키우는 곳 같은데서 동물 가까이 봐서 재밌었엉ᆢ 요새 청주동물원의 상태나 수의사분들이 자주 티비에 나와서 반가웠어요. 맨날 가던곳이라 자랑스러웠어요 다양한 동물들을 가까이서 볼 수 있고 구경하기 좋은 곳이에요,어린이동물농장 / 자연형정수지 / 조류관찰대 / 다목적운동장 / 어린이 놀이터 / 식당 / 매점 등,"- 일반 1,000원
- 청소년 800원
- 어린이 500원
※ 자세한 사항은 홈페이지 참고",,,"수유실있음(기후변화체험교육관, 청주동물원 매점)",,,,,,대여가능(기후변화체험교육관),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"놀이시설은 5~6세 이하 보호자 동승
매월 1~2회 가족체험마당, 자연생태학교, 별자리관측, 동물원 체험 행사 등 체험 프로그램 운영(청주시 통합예약시스템에서 예약)",동물교실 / 모노레일 / 청소년 진로체험
젠스필드CC,"젠스필드 CC는 충북 음성군 삼성면 용대리에 있다. 대중제 골프장으로 18홀을 갖추고 있다. 높지도 낮지도 않은 표고 차 50m 이내의 최적 입지와 아름다운 자연환경을 최대한 살린 친환경 골프장이다. 부대시설로는 클럽하우스, 사우나, 프로숍, 라커룸, 레스토랑 등이 있어 편안함을 제공받을 수 있다. 그린피와 식음료의 요금은 후불 정산 하고 있다. 골프장은 삼성 IC와 가까운 거리에 있다.",,http://www.zensfield.com/,충청북도 음성군 삼성면 덕호로 382,※ 계절과 당 클럽의 사정에 따라 개장시간은 변동되므로 전화 문의,"연중무휴
※ 기상 악화로 인한 임시 휴장일은 홈페이지 참고",가능,,"- 그린피 : 주중, 주말 그린피는 날짜별, 시간별 요금 확인 필요
- 카트비 100,000원
- 캐디피 80,000원~160,000원
※ 이용요금은 변동 될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,"안전시설 설비사항
- 안전요원 / 상비약·의무대 / 소방시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코스카CC,"코스카 CC는 충북 음성군 음성읍 동음리에 있다. 43만 평 천혜의 자연을 만끽할 수 있는 27홀의 친환경 명품코스와 수준 높은 서비스가 장점이다. 코스는 메이플코스, 릴리코스, 파인코스로 구성되어 있다. 부대시설로는 클럽하우스, 프런트, 락커 룸, 사우나, 대식당, 그늘집, 프로숍 등이 있다. 골프장은 음성 IC와 가까운 거리에 있다.",,www.koscacc.kr,충청북도 음성군 음성읍 동음로 318,"- 첫 Tee-Off : 일출 이후
- 마지막 Tee Off : 일몰 5시간 이전","연중무휴
※ 임시 휴장일은 홈페이지 참고",가능,,"- 그린피 : 일자·요일·시간대별 상이하므로 홈페이지 참조 요망
- 카트 사용료 100,000원~170,000원
- 캐디피 150,000원
※ 이용요금은 변동 가능하므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,클럽하우스 / 락커룸 / 사우나 / 식당 / 그늘집 / 프로샵 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주 최응성 고가,"최응성 고가는 충청북도 충주시에 있는 조선시대 고가로 충청북도 유형문화유산으로 지정되어 있다. 조선 숙종 때 문장가이며 수암 권상하의 문인으로 성리학에 조예가 깊었던 함월 최응성의 생가이며 원래 살미면 무릉리에 있었는데 충주댐 건설로 수몰 위기에 놓이게 되자 지금의 용천리로 이전하게 되었다. 건물 뒤쪽 사당은 울창한 숲에 있어 조용함과 엄숙함을 동시에 느낄 수 있고 황토와 막돌로 쌓은 담벼락을 따라 안으로 들어서면 본채 건물을 만나게 되는데, 본채 건물은 자연석으로 만든 기단 위에 건물을 지어 안정감이 넘친다. 본채 앞의 마당에는 수십 년을 사용해온 우물이 여태까지 물을 쏟아내고 있으며 작은 생활박물관에 온 듯한 느낌이 들 정도로 많은 농기구가 놓여 있다. 건물 배치는 기억자형의 안채를 중심으로 전면에 일자형의 행랑채가 있고, 좌측으로는 함월이 서재로 사용하던 염선재가 있으며, 우측으로는 기억자형의 창고가 사괴석 담장으로 일곽을 만들어 함께 배치되어 있다.",,https://www.chungju.go.kr/tour,충청북도 충주시 살미면 중원대로 2220,※ 자세한 사항은 전화문의 요망,연중무휴,가능,,,,,,,,,있음,,,,무료,충청북도 유형문화유산 충주 최응성 고가 (1981.05.01. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음성용대리낚시터,"충북 음성군 삼성면 덕호로에 있는 용대리낚시터는 평지형 저수지로 2∼3m 정도의 고른 수심을 보이는 곳이다. 20년 운영 노하우를 바탕으로 최신형 좌대로 신축 시 한쪽 면만으로 낚시를 즐길 수 있도록 시설을 설계하여 반대편 불빛에 지장을 받지 않도록 낚시 환경을 조성하였으며, 음성군에서 제일 깨끗하고 쾌적한 환경을 자랑하고 있다. 맑은 수질과 수려한 풍광이 일품이며, 수초지가 잘 형성되어 있어 자연지 느낌 그대로를 유지하고 있다. 풍부한 어종을 보유하고 있으며, 붕어 당기는 힘이 좋고 찌 올림이 좋아서 진한 손맛을 느낄 수 있다. 조용하고 방해받지 않고 즐길 수 있는 환경과 편안한 시설, 수도권에서 1시간 이내에 접근할 수 있는 장점으로 인해 낚시를 좋아하는 연예인들이 많이 찾는 장소로도 유명한 곳이다.",,http://yongdaeri.fishinggall.com/,충청북도 음성군 삼성면 덕호로 360,12:00~익일 10:00,동절기,가능 (약 100대),,"[입어료]
- 노지 40,000원
- 좌대 요금 상이하므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,안전시설 설비사항 - 상비약 / 구명부환 / 구명조끼 / 구명줄 구비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대호단양CC,"대호단양 CC는 충북 단양군 매포읍 고양리에 있다. 이곳은 18홀을 보유한 골프장으로 정규 홀을 능가하는 거리를 갖추고 있다. 부대시설로는 스타트 하우스, 게스트 하우스, 대식당, 세미나룸, 프로숍 등이 있다. 스타트하우스는 분수와 골프코스장을 감상할 수 있으며 한식메뉴와 다양한 디저트 등의 메뉴가 준비되어 있다. 골프장은 북단양 IC와 제천 IC와 가까운 거리에 있다.",,https://www.daehocc.co.kr/index.asp,충청북도 단양군 매포읍 고양5길 43,변동,홈페이지 별도 공지,가능,,"- 그린피 : 월별 공지
- 카트료 50,000원~100,000원
- 캐디피 80,000원~150,000원
※ 이용요금은 변동 될 가능성이 있으므로 홈페이지 참고 바람",,,,,,,,,좋아요 넓고 뷰도 좋습니다 . 깨끗해요,,,,,,,,,,,,,,"안전시설 설비사항
- 안전요원 / 상비약· 의무대 / 소방시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
킹즈락CC,"킹즈락 CC는 충북 제천시 천남동에 자리 잡고 있다. 이곳은 아시아 100대 골프장 가운데 하나이며 국내 친환경 골프장 베스트 20 중 하나다. 코스는 자연 지형을 최대한 살려 공략에 대한 묘미를 더하였으며, 기존 자연림에 깎아지른 듯한 암벽과 광활한 암반에 펼쳐지는 연못이 타 골프장과 차별성을 더해 준다. 또한 소나무 숲에 둘러싸인 코스는 마치 자연 속에 그대로 안착한 듯한 홀로 조성하였다.",,https://kingsrockcc.com/,충청북도 제천시 내토로7길 136 (천남동),일출 20분 전~일몰 3시간 전,설·추석 당일,가능,,"- 그린피 : 월별 공지
- 카트료 100,000원
- 캐디피 150,000원
※ 이용요금은 변동 될 가능성이 있으므로 홈페이지 참고 바람",,,,,,,,,,,,,,,,,,,,,,,"안전시설 설비사항
- 안전요원 / 상비약·의무대 / 소방시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비내길,"비내길은 충주 풍경길 9개 코스 중 하나로 총 2개의 구간으로 구성되어 있다. 비내길 1구간은 약 2시간 정도 소요된다. 방죽 길과 자전거도로를 넘나들며 철새 전망 공원까지 걷고, 철새 전망 공원에서 남한강 변을 따라 옛 조대 나루터까지 갔다가, 조대 마을에서 논길을 따라 앙성 온천 광장으로 돌아오면 비내길 1구간이 마무리된다. 주요 스팟으로는 벼슬바위 전망대, 강변 내려가는 계단 등이 있다. 2구간의 경우 총 약 4시간 30분이 소요된다. 비내길 2구간은 새바지산을 넘어 비내섬으로, 다시 남한강과 앙성천을 따라 출발점인 앙성온천광장으로 이어진다. 2구간의 주요 스팟으로는 비내마을 느티나무, 철새전망공원 등이 있다.",,https://www.chungju.go.kr/tour/,충청북도 충주시 앙성면 새바지길 17,상시 개방,연중무휴,가능,,무료,,,,,,,,,자전거 여행 하기 좋고 비내길의 특징인 갈대밭도 인상적입니다. 고즈넉한 여행지로 손꼽을만 하고 취미 생활도 즐길수 있어 일석이조가 아닌가 싶네요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔봉서원,"충주 팔봉서원은 1582년 창건하였고 1672년 현종 임금으로부터 현판을 하사받은 사액 서원으로 유학자의 위패를 모시고 제사를 지내며 지방민의 교육과 교화를 위해 설립된 고려, 조선시대의 사립 지방 교육기관이다. 1871년 흥선대원군의 서원철폐령으로 철거되어 터만 남아 있던 것을 1998년 전통적인 목조 사원으로 복원하였다. 이곳에는 조선 중기 문신 겸 학자인 이자, 이연경, 김세필, 노수신 선생의 위패를 모시고 있으며 네 분 모두 사화와 관련되어 지조와 절개를 지켰던 인물로 학문에도 정통하였다. 팔봉 서원은 충청북도 충주시 대소원면 문주리에 있으며 달천강을 낀 서쪽 경사면에 동남향으로 배치되었다. 서원 건너편에는 칼바위가 있으며 외부에는 자연 석축을 쌓고 담장을 둘렀다. 출입문은 솟을삼문 형태이고 사당 오른쪽에는 재실, 왼쪽에는 복원기념비가 세워져 있다. 우리 선현들의 고매한 선비정신과 서원의 전통을 이해하고 우리 역사에 대한 자긍심 고취와 선조들의 얼을 기리는 귀중한 역사교육의 터전이다.",,https://www.chungju.go.kr/tour/,충청북도 충주시 대소원면 팔봉안길 11-6,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,불가능,,,,,,,,,,,,,무료,충청북도 기념물 충주 팔봉서원 (2003.06.13. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주향교,"청주향교(淸州鄕校)는 조선시대에 훌륭한 유학자들의 위패를 모시고 제사 지내며, 지방백성의 교육과 교화를 담당하던 청주 지방의 국립학교이다. 조선 태조 때 창건한 것으로 추정하고 있으며, 세종 26년(1444)에 세종이 초정(椒井)에 행차했을 때 청주향교에 서적(書籍)을 하사한 일이 있고, 또 세조 10년(1464)에 세조가 청주에 행차했을 때 문묘(文廟)에 친히 제향(祭享) 한 일이 있는 삼남(三南, 충청도․전라도․경상도) 제일(第一)의 향교였다. 그 후 숙종 9년(1683) 현령(縣令) 이언기가 지금의 자리로 이전하였고, 그 뒤 여러 차례의 보수가 있었다. 현재는 제사공간인 대성전과 교육공간인 명륜당을 비롯한 6동의 부속 건물이 남아있다. 조선시대에는 나라로부터 토지와 노비·서적 등을 지급받아 운영되었으나, 갑오개혁(1894) 이후에 교육기능은 없어지고 제사기능만이 남아 옛 모습을 지키고 있다.",,http://www.skkcj.com,충청북도 청주시 상당구 대성로122번길 81,"- 09:00~17:00
- 휴게시간 12:00~13:00",연중무휴,가능,,,,,,,,,있음,,"제가 본 향교 중에 가장 관리가 잘되어있습니다. 삼도를 지나 명륜당, 그리고 향나무 오름길을 지나 대성전에 이르는길이 이쁩니다. 향교주변에 볼거리도 있고 역사적인 공부도 할 수 있어서 좋았습니다. 왜향교엔들어갈수없는지... 아쉬운방문이예요 청주향교  청주향교에서 역사에 대해 공부하고 사진도 찍고 많이 배우고 즐기는 기회가 되었어요. 서예교실이나 인성교육도 하고 있어서 아이들에게 도움이 많이 되었어요 가는 길거리가 넘. 예쁘네요 향교 설명도 벽면에 되어있네요^^",대성전 / 동무서무 / 내삼문 / 명륜당 / 외삼문 / 홍살문 / 송인관 / 양헌당 / 복지회관 / 교육기관,,충청북도 유형문화유산 청주향교 (1977.12.06. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유교대학 / 선비문화체험 / 서예교실 등
보은 하얀민들레한옥마을,"하얀민들레한옥마을은 보은군에 위치하고 있다. 한옥마을 객실은 윗동과 아랫동으로 분리되는데, 윗동은 숙박실과 식사공간으로, 아랫동은 숙박실과 사랑채, 갤러리로 이루어져 있다. 자수 및 천연염색 체험, 판화찍기 체험, 뻥튀기 체험, 조선시대 생활체험 등 다양한 프로그램을 체험할 수 있으며, 단체 손님의 경우 숙박도 가능하다. 최근 K-POP 아이돌이 출연한 예능프로그램의 촬영지로도 사용된 하얀민들레한옥마을은 방문한 사람들이 제대로 쉴 수 있고 치유받을 수 있는 공간이다.",,,충청북도 보은군 회인면 부수길 111-2,10:30~16:00,연중무휴,가능,,,,,,,,,있음,,,한옥 숙박시설 / 피톤치드 체험장 / 민들레 밥상 등,"무료
※ 체험비 별도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"자수 / 천연염색
※ 체험은 현지사정에 따라 변동될 수 있으므로 홈페이지 전화문의"
용화사(청주),"용화사는 청주 무심천변에 자리한 통일신라시대의 사찰이다. 선덕여왕 때 은점선사가 처음 지었으며, 조선 인조 6년에 화재로 소실된 것을 영조 18년(1752) 벽담선사가 다시 짓고 용화사라 하여 오늘에 이르렀다. 경내에는 보광전을 비롯하여 명부전, 용화전, 탐진당, 적묵당, 해월루 등 목조건물과 불사리 4 사자 법륜탑, 효봉스님 사리탑이 있다. 불사리 4 사자 법륜탑은 우리나라에서는 보기 드문 고대 아쇼카 양식의 원주 석탑으로, 진신사리 7 과가 봉안되어 있다. 산내 암자로는 고려 태조 26년(943) 도솔선사가 세웠다는 도솔암, 조선 숙종 7년(1681) 청안선사가 세웠다는 관음암이 있다. 용화사에는 1902년 고종의 비인 순빈 엄 씨가 명하여 발견했다는 칠존의 석불이 안치되어 있으며, 상당산성 안에 있던 보국사를 옮겨 이 절을 지었다는 얘기도 전해진다. 이곳은 일반 사찰과 달리 시내 가운데에 있어 누구나 편히 방문할 수 있으며, 템플스테이를 운영하고 있어 편안한 마음으로 절에서 묵으며 몸과 마음을 정화하는 시간을 가지기 좋다. 봄에는 사찰 주위의 무심천에서 벚꽃축제가 열린다.",,http://www.yonghwasa.com,충청북도 청주시 서원구 무심서로 565 (사직동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,경사로 설치됨,,,,장애인용화장실 있음_무장애 편의시설,,청주 용화사 힐링명소 입니다. 힐링이 필요할때 강추드립니다 시내와 인접해서 청주여행간 김에 다녀왔습니다. 유명드라마 촬영지였다고해서 관광객이 많을 줄 알았는데 너무 번집하지도 않고 딱 적당해서 좋았어요. 축제때 지나가다가 우연히 들렀는더 더글로리 촬영지~~ 더글로리에 나왔다고 해서 갔다왔어요,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은 삼년산성,"충북 보은군 보은읍 성주 1길 104에는 신라시대 산성인 삼년산성이 있다. 둘레 1.7㎞, 넓이 8~10m, 높이 13~20m 규모의 삼년산성은 난공불락의 요새다. 성벽 아래에 서면 정육각형 벽돌로 깎아 쌓은 정교한 솜씨와 높고 튼튼한 기품에 압도된다. 삼년산성이라는 이름은 성을 쌓는 데 3년이 걸렸기 때문이라고도 하고, 삼국시대 보은의 지명이 삼년군이었기 때문이라고도 한다. 백제 성왕을 공격한 신라의 관산성 전투부대가 이곳에 주둔했었다. 태종무열왕이 당나라 사신을 접견한 곳도, 고려 왕건이 패퇴해 물러간 곳도 이곳이다. 삼국통일의 유리한 거점이었던 성곽에는 당시의 치열했던 전투는 간곳없고 돌에 낀 이끼에 평화가 느껴진다. 주차장에서 10여 분을 오르면 산성 탐방이 시작되는 서문에 닿는다. 웅장한 성벽이 양쪽으로 서 있는데, 거대한 문은 어디 가고 문을 달았던 자리만이 덩그러니 남아 있다. 조선시대 학자 김생의 글씨가 새겨진 암벽과 물이 사라진 연못이 평화로이 하늘을 올려다보고 있다. 성벽을 따라 발길을 옮기면 고즈넉한 성벽 너머 먼 산 능선들이 정답게 이어진다.",,"지역N문화 https://ncms.nculture.org/
충북아키비움 https://archive.chungbuk.re.kr/",충청북도 보은군 보은읍 성주1길 104,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,"한적하니 좋네요 신라 최고의 군사요지 보은에서 한 번도 함락된 적이 없다는 천하의 요새 보은 삼년산성. 각 문루들의 지혜로운 설계와 아름다운 축성기술에 감탄했어요 북문주처장에 주차하고 올라갔습니다. 산림욕장을 지나 올라가는 길이 별로 어렵지는 않았습니다. 시간이 더 있었더라면 산림욕장도 한번 둘러보았더라면 좋았을을텐데 시간상 그러지는 못했네요. 북문에서 왼쪽으로 한바퀴 돌았는데, 성벽이 군데군데 무너져 있어서 안타까웠습니다 근처 고분군까지 연결되는 길도 출입금지였고요. 산성 자체는 크고 웅장했습니다. 압도적이고 아름답네요 한적한 곳이었어요 보은 삼년산성 산책하기 너무 좋은곳이에요 풍경도 너무 이뻤어요~~ 큰기대를 안하고 갔던 삼년산성인데 막상 가보니 여유롭게 산책하기 딱 좋은곳입니다. 산성을 한바퀴 돌면서 옛날의 바위와 돌의 느낌 색상이 너무 평안함을 주고 진짜 단단하게 지어진 산성임을 알겠더라구요. 지인들에게 강추하는 곳입니다만 주차가 좀 힘든것 같습니다.^^ ",,무료,사적 보은 삼년산성 (1973.05.25. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원각사(제천),"원각사(圓覺寺)는 충청북도 제천시 남천동에 자리한 한국불교태고종 사찰이다. 원각사는 사찰의 이름처럼 깨달음을 찾는 곳이다. 대로변에 위치하지만 높은 축대가 더없는 가람의 테두리가 되며, 아래로 보이는 독송정산과 교동시가지는 관음보살의 자비를 받으려는 중생들의 터전이 된다. 불교의 불모지인 제천 지역에 관음의 터전이 생긴 것은 지암당 영지스님의 불심이 컸던 결과이다. 원각사는 1936년에 영하(永河)스님에 의해 창건되었다. 남천동의 전통사찰로 터를 마련하였으며, 곧 이어서 혜봉스님이 주지로 상주하며 가람을 정비하였다. 그 뒤 지암 영지스님이 주석하면서, 1988년 적할 때까지 30여 년 동안 가람을 확장하였는데, 현재도 1960년대 건립한 관음전을 비롯해서 승방, 그리고 일주문 등이 전해진다. 또, 1960년대 원각사에 오신 영지스님은 제천불교연합회는 물론 제천불교대학을 결성하여 포교에 앞장서고, 또한 태고종 총무원장으로서도 활발한 활동과 사회사업을 일으켰다.",,,충청북도 제천시 의병대로 118 (남천동),상시 개방,연중무휴,불가능,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은 우당고택,"충북 보은군에 위치한 보은 우당고택은 노블레스 오블리주의 상징이다. ‘위선최락(爲善最樂)’, 즉 ‘선을 행하는 것이 가장 큰 즐거움’이라는 가풍에 따라 관선정을 열고 전국의 인재들을 모아 가르쳤다. 주위의 어려운 사람들이 배고픔을 몰랐다고 할 만큼 선을 베푼 따뜻한 집이다. 99칸 대궐이 들어선 곳은 서원계곡 끝자락 소나무가 우거진 자리다. 집터가 하회 마을처럼 연꽃이 물에 뜬 형국으로 연화부수형의 명당이다. 보은 우당고택은 1919~1921년에 당대 최고의 목수가 지었다. 사랑채, 안채 그리고 사당으로 이루어져 있다.",,https://blog.naver.com/adanggol,충청북도 보은군 장안면 개안길 10-2 (장안면),09:00~18:00,연중무휴,가능,,,,,,,,,,,우연히 지나가다 들렀는데 아이들이 보더니 여긴 뭐하던 곳이냐고 물어봐서 저도 공부하고 알려줬네요 옛날 사람들이 살던 집이라고 하니 아이들도 여기서 살아보고 싶다고도 하더라고요 생각보다 넓어서 놀랐어요,,무료,국가민속문화유산 보은 우당고택 (1984.01.14. 지정),전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥계폭포,박연폭포라고도 불리는 옥계폭포는 깎아지른 듯한 절벽에서 쏟아져 내리는 물줄기가 무려 20여 미터에 이르며 수려한 주변 경관과 어우러져 일대 장관을 이룬다. 예부터 난계 박연선생을 비롯한 수많은 시인들이 모여 옥계폭포의 아름다움을 찬탄하는 글을 많이 남긴 곳으로 알려져 있다. 국악의 거성 난계가 즐겨 찾았고 시인 묵객들의 발길이 끊이지 않았던 옥계폭포는 영동군 심천면 옥계리로 진입하여 천모산 골짜기로 들어서서 산길을 따라 약 1km 전방에 위치한다. 폭포에서 떨어진 옥수가 천모산 계곡을 따라 흐르다 잠시 머무는 산중(山中) 저수지의 풍경과 뒤이어 나타나는 오솔길은 쾌적함을 느끼게 해 준다.,,http://tour.yd21.go.kr,충청북도 영동군 심천면 고당리 산75-1,상시 개방,연중무휴,,,,,,,,,,,,"세번이나 찾아간 여행지 폭포 너무 시원하고 멋졌어요! 드라이브하면서 가봤는데 정말 좋았어요 오솔길따라 걷기도 편하게 되어있고 풍경이 너무 아름다고 운치가 좋은 곳으로 가족여행으로 추천합니다 계곡물이 엄청 맑아 모래알 하나하나가 보일정도로 깨씃하고 아름다운 옥계폭포입니다. 장마 끝나고 다시한번도 방문하고 싶어요 여성스러운 폭포라고 해야할까 다소곳하게 흘러내리는 물줄기가 긴머리를 빗어내리듯 마음을 정갈하게 한다 정자에서 바라보머 잠시 더위와 시름을 잊고 여유롭게 여름을 맞이해보자 영동은 포도가 유명한 곳이죠 ! 영동 포도축제를 다녀온 저는 ! 옥계폭도 들려보았는데요, 아이들이랑 함께가서 시원한 바람 맞으며 여름에 폭포앞 계곡에서 시원하게 보냈답니다. 레이보우 힐링단지와 가까워서 들려보는것도 참 좋아요 ! ",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영국사(영동),"충청북도 영동의 양산팔경 중 제1경인 영국사는 100대 명산 중의 하나로, 빼어난 자연경관과 암릉 산행지로 유명한 천태산(해발 715m)에 위치해 있다. 천태산 입구부터 등산로를 따라 오르면 넓은 분지에 이르게 된다. 분지의 가장자리로는 두 개의 계곡이 흐르다 만나서 삼단폭포를 이룬다. 이 물이 계곡을 이루고 그 계곡을 따라 영국사에 오르는 길이 있다. 영국사는 이 분지의 서남쪽 동향한 기슭에 있다. 천태산의 깊은 산속 넓은 대지에 위치하고 있으며 주변의 풍경이 매우 아름다운 곳이다.
영국사는 신라 문무왕 8년(668년)에 창건되고, 고려 명종 때인 12세기에 대각국사 의천의 천태종을 계승한 원각국사에 의해 중창이 된 것으로 추정되며 고려 고종 때 왕명으로 탑과 승탑, 금당을 새로 지어 국청사라 명명했다. 이후 공민왕이 홍건적의 난을 피하여 이곳에서 국태민안을 기원함으로써 국난을 극복하고 나라가 평안하게 되었다 하여 영국사로 개명하게 되었다. 조선시대 전기까지도 번영하였으나 조선의 억불정책으로 세력이 위축되었다가, 1934년 주봉조사의 중건에 의해 현재에 이르고 있다.
영국사에는 보물로 원각국사비와 영국사승탑, 대웅전 앞의 영국사 삼층석탑과 망탑봉의 삼층석탑이 있다. 또한 지방유형문화재로 대웅전을 비롯해 석종형부도와 원구형부도 등이 있다. 현존하는 건물로는 대웅전 외에 요사와 산신각 및 누각이 있고, 부속 암자로는 계월암이 있다. 또, 1,000여 년 동안이나 이 산을 지키고 있는 뛰어난 자태의 영국사의 은행나무가 있다. 높이 31m 둘레가 11m 정도 되고 가지 하나가 땅에 뿌리를 내리고 독립된 나무처럼 자라고 있으며 천연기념물로 지정되어 있다.
현재 영국사에서는 1,700년 한국불교의 역사와 문화가 살아 숨 쉬는 산사에서 수행자의 일상을 경험하는 전통문화체험 프로그램으로 나를 위한 행복여행 템플스테이를 진행하고 있다. 템플스테이에 참가하고 싶지만 사찰에 하 동안 머무는 것이 여의치 않거나 외국인들이 짧은 시간 틈을 내 한국의 불교문화를 체험할 수 있도록 산사에서 하루 동안 체험하는 당일형 템플스테이, 천태산 영국사에서 하루 묵으면서 나를 돌아보고 새로운 나를 발견하는 시간을 만드는 1박 2일 체험형 템플스테이 그 외에 산사에서 원하시는 기간 동안 머물며 휴식하실 수 있는 휴식형 프로그램 등이 있다.",,,충청북도 영동군 양산면 영국동길 225-35 (양산면),상시 개방,연중무휴,가능 (천태산 주차장),,,,,,,,,,,"망탑봉에 우뚝서있는 보몰 제535호 삼층석탑, 상어바위, 1000년 묵은 은행나무, 보물제 534호 원각국사비, 보물제532호 영국사승탑, 보물제534호 영국사삼층석탑등이 있습니다. 소원 들어주는 은행나무와 삼단폭포",,"무료
※ 템플스테이 비용 별도문의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,당일형 / 체험형 / 휴식형 템플스테이
