place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,review,체험가능 연령,화장실,이용가능시설,입장료,시설이용료,주차 요금,할인 정보,접근로,출입통로,엘리베이터,장애인 주차 안내,수유실,주차요금,관람석,지체장애 기타 상세,지정현황,휠체어,대중 교통,유모차,오디오 가이드,시각장애 기타상세,판매 품목,점자 홍보물,개장기간,수용인원,주요시설,강습안내,청각 장애 기타상세,규모,입점브랜드,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,점자 블록,안내 요원,유도안내 설비,보조견 동반,대여안내,보유장비,매표소,부대시설,자막 비디오 가이드,홍보물,수화 안내,코스안내,영유아가족 기타상세,체험
롤파크,"롤파크는 대한민국 최대 규모의 롤 대회인 LCK(League of legends Champions Korea)가 개최되는 공간이자 경기를 관람할 수 있는 곳이다. 주시설은 관람장이며 부대 시설로 LCK 아레나(라운지), 라이엇 스토어(굿즈), PC방, 카페로 구성되어 있다. 리그오브레전드는 2011년 12월 4일 출시된 라이엇의 MOBA 장르 게임으로 2019년 8월 기준 전 세계 동시 접속자 수가 800만 명을 넘는 등 현존하는 게임 중 최고의 인기를 끌고 있는 온라인 게임이다. 대한민국 롤 프로팀은 총 10팀이며 그중 LCK(League of legends Champions Korea) 에서 상위 성적을 이룬 3~4개의 팀은 세계 리그인 롤드컵(League of legends world championship)에 진출할 기회를 얻게 된다. 롤파크는 롤 프로게이머들의 꿈인 롤드컵으로 향하는 관문이다. LCK / WCK 정규 리그 일정에 따라 운영된다. 경기가 있는 날에는 경기 종료 시간이 운영 종료 시간이다.",,https://www.leagueoflegends.com/ko-kr,서울특별시 종로구 종로 33 그랑서울 타워[1] 3층 롤파크,"11:00~20:00
※ LCK 정규 시즌에는 경기 종료 시간에 맞춰 운영 종료",1월 1일,,,"같은 층에 라이엇 PC방과 라이엇스토어가 있습니다. 지하철 타고 방문 예정이라면 지상으로 나가지 않아도 지하에 있는 그랑서울 몰 입구로 들어가도 올라갈 수 있습니다. cgv 매점도 있지만, 가격이 조금 비싸기 때문에 밖에서 사오시거나 배달시켜 드시는 걸 추천합니다. (배달 가능해요!!) 경기 티켓이 없더라도 로비에서 경기를 볼 수 있습니다. 같은 팀을 응원하는 팬들끼리 모여서 보는 재미도 있으니 서울에 사신다면 표가 없어도 경기날 한 번 가보시는 것도 추천합니다!
닫기 LCK팬이라면 한번쯤은 가봐야 하는 곳이라고 생각해요~ 경기 시간 전에도 PC방, 굿즈샵 등 시간 때울 수 있는 곳이 있어요. CGV 팝콘팩토리라고 간식 파는 곳도 있어서 경기보면서 맛있는 음식도 같이 즐길수 있어서 좋아요. 친구가 게임을 워낙 좋아해서 친구따라서 방문하게 되었어요. 말로만듣던 게임산업이 엄청 크고 발전했다는것을 느낀 곳이었어요. 굿즈도 종류도 엄청 많고 구경하는곳이 많아서 게임좋아하는 사람은 더좋아할듯한 곳이었어요. E스포츠를 좋아하는 아이와 함께 하며 아이가 좋아하는 것들을 함께 체험해볼수 있고 재미있는 추억들을 쌓을수 있었습니다~~ E스포츠를 너무 좋아하는 친구랑 다녀왔는데! 저는 가기전까지 별로 안좋아했는데 갔다오고 나서 푹 빠졌네요!! 시간 가는줄 몰랐어요! 다음에 또 가고싶네요 너무흥미잇게둘러봣어요 우리나라 게임문화를 느낄 수 있고 한류 트렌드를 읽을 수 있는 곳입니다. 게임을 좋아하지 않아도 열정을 느껴보고싶으시다면 방문을 추천드립니다",,있음,,,,,,,,,,,,,,,,,,,,,,,,LCK 아레나 / BBQ 롤 파크 점 / 라이엇 스토어 / 라이엇 PC방 등,,,,,,,,,,,,,,,,,,,,,,
용산도시기억전시관,"용산도시기억전시관은 ‘국제빌딩 주변 제 4구역’ 도시환경정비사업 과정에서 발생한 용산참사(기억과 성찰)의 성찰과 교훈의 장소이자 다양한 시대의 흔적이 쌓인 역사적 공간인 용산의 변천을 담고 있다. 2009년에 발생한 용산참사를 기억하고 용산도시 변천사, 미래 용산공원에 대한 기획·아카이브 전시 공간과 함께 용산공원 조성에 대한 소통창구가 될 전시관이다.",,https://blog.naver.com/yongsanpark_gallery,"서울특별시 용산구 서빙고로 17 (한강로3가) 용산센트럴파크 해링턴스퀘어 공공시설동 1, 2층",10:00~18:30,매주 일요일~월요일 / 법정공휴일,가능,무료,아이들 체험 프로그램도 진행하고 있습니다. 몰랐던 지역의 의미도 알 수 있었습니다^^,,장애인 화장실 있음,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),엘리베이터 있음_무장애 편의시설,장애인 주차장 있음,,,,,,,,,,,,점자안내판 있음,,,산책방 / 기억방 / 기록방 등,,,,,,,,,,,,,,,,,,,,,,찾아라! 용산공원 보드게임(현장 대여) / 기획전시 연계 활동지
반공순국용사 위령탑,"반공순국용사 위령탑은 약 15m 높이로 조성된 탑으로, 나라를 위해 투쟁하다가 목숨을 잃은 호국 용사들을 기리기 위해 세워졌다. 1945년 8월 15일 조국 광복 이후의 혈전과 1950년 6월 25일 북한의 남침으로 인한 국가 위기 상황에서 영등포구 관내의 대동청년단, 대한청년단, 대한노총, 반공연맹, 민보단 서북청년회 등 애국우익 단체소속 동지들과 경찰, 소방관, 학생 등 많은 애국 동지들이 구국의 신념으로 목숨을 바쳐 순국한 사람들을 기리기 위해 건립되었다.
위령탑은 신길역 옆의 여의도 샛강을 따라 놓인 노들길변에 위치하고 있으며, 매년 6월에는 순국용사들의 희생을 기리는 위령제가 열리고 있다. 이 탑은 영등포구 재향군인회와 반공순국용사위령탑 건립위원회에 의해 세워졌으며, 그 헌신적인 행동과 희생에 각종 애국 단체와 국민이 각별한 경의를 표하는 곳이다.",,http://mfis.mpva.go.kr/,서울특별시 영등포구 신길동 (신길동),,,,,,,,,무료,,,,,,,장애인 전용 주차구역 있음(신길역 공영주차장 2개)_무장애 편의시설,,,,,국가보훈처 지정 현충시설 10-2-3호(2002년 11월 22일 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문 안경상가,"남대문시장에는 1백 50여 곳의 안경도소매점이 밀집해 있다. 이곳의 안경유통량은 전국 유통량의 50%이상을 차지하고 있다. 중구 남창동 숭례문 수입상가 뒤쪽의 본동상가, 남대문상가, 남대문극장 2층, 남대문로 보행도로변, 퇴계로 남대문시장 입구 세계로 안경 타운 등에 안경점이 몰려 있으며, 점포가 따로 떨어져 있는 경우도 있다. 이곳 안경점 가운데 규모가 큰 곳에서는 자체 브랜드를 직접 생산판매하는 곳도 있으며, 그렇지 않은 경우에도 하청공장과 직거래하므로 일반 소비자도 시중가보다 30∼50%정도 싸게 살 수 있다.",,,서울특별시 중구 남창동,매장별로 상이함,매장별로 상이함,가능,,서울의 남대문 안경상가는 가까울뿐아니라 종류도 진짜 많아서 좋아요 정말 많아서 고르기힘들정도.. 서울이라서 버스타고 가기도 가깝고 여기저기 먹을거리도 많아서 서울구경하시는분이면 추천해드리고싶어요,,,,,,,,,,,,,,,,,,,,,,안경 / 선글라스 / 콘택트렌즈,,,,,,,,,,,,,,,,,,,,,,,,,,
고려대학교 서울캠퍼스화정체육관,"고려대학교 서울캠퍼스 화정체육관은 2006년 7월 준공되어 지하 3층, 지상 3층 연면적 5,499평의 다목적 건축물이다. 최신 시설 및 프로그램을 통하여 재학생 및 교직원의 건강을 증진시키고 있을 뿐만 아니라 다양한 체육 문화행사를 개최하여 건강하고 창의적인 대학 문화 발전에 기여하고 있다.
내부시설물로는 다목적 행사 개최가 가능한 주경기장, 보조경기장, 피트니스센터, 스쿼시장, 에어로빅장 그리고 인공암벽등반장 등을 갖추고 있다.",,http://hwajung.korea.ac.kr,서울특별시 성북구 개운사2길 48 (안암동5가),06:30~22:00,매주 토요일~일요일,가능,,안암역과 가까워 나름 접근성이 좋고 바로 근처에 내릴 수 있는 마을버스도 있습니다 다만 언덕 꼭대기에 있고 조금 깊이 들어가야 해서 초행길에는 찾기 어려울 수 있습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚝섬미술관,"뚝섬미술관은 지하철 2호선 뚝섬역 3번 출구로 에스컬레이터를 타고 내려오면 바로 오른쪽에 보이는 건물 지하에 위치해 있는 미술관이다. 주로 현대미술 작품을 전시하고 관람객들과 예술을 공유하는 장소로 활용된다. 체험형 전시와 함께 신선한 기획의 전시들이 많이 열리는 젊은 공간인 만큼 입장권 체크도 페이히어웨이팅 기계로 한다. 계단을 통해 지하로 내려가면 입구 우측에는 웨이팅 등록 기기가 있어서 연락처를 입력하면 입장 순서가 되었을 때 카카오톡으로 알림을 보내준다. 호출 뒤 30분이 지나면 자동 취소가 되므로 알람을 받고 전시장 앞 의자에 미리와서 웨이팅을 하면 된다. 전시장은 다양한 주제로 여러 작가의 그림, 조각, 영상물 등의 작품이 전시되어 있다. 다 둘러보고 로비로 나오면 굿즈 판매장이 나온다.
근처에 서울숲과 함께 성수동 핫플들이 많아서 함께 즐기기에 좋다.",,https://www.instagram.com/ttukseom_museum,서울특별시 성동구 아차산로 33 (성수동1가) 지하 1층,"- 평일 13:00~19:00 (입장 마감 18:00)
- 주말 11:00~19:00 (입장 마감 18:00)",연중무휴,가능,"- 커플권 20,000원
- 대인 12,000원
- 소인 10,000원
- 특별권 8,000원
※ 자세한 사항은 전화 문의 요망",손쉽게 갈수 있고 데이트지로도 안성맞춤이에요. 맛집도 많아서 좋아요. 지하철로 가기 쉬워서 꼭 한번 가보세요. 볼거리가 많습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시교육청 강동도서관,"서울특별시교육청 강동도서관은 1984년 4월 25일 개관하여 강동구 대표도서관으로 역할을 다하고자 20여만 권(점) 자료를 통해 지식·정보를 제공한다. 또한, 학생, 학부모, 지역 주민을 대상으로 하는 독서·인문교육 프로그램을 통하여 다양한 독서교육과 평생학습 기회를 제공하고 있다.
시설은 문헌정보실, 어린이실, 디지털라운지, 자율학습실로 구성되어 있고, 폭넓은 주제로 구성된 12만 권이 넘는 일반도서뿐만 아니라 어린이 도서, 연속간행물 그리고 DVD 등 다양한 자료를 접할 수 있다.",,http://gdlib.sen.go.kr,서울특별시 강동구 양재대로116길 57 (길동),"[문헌정보실]
- 평일 09:00~20:00
- 주말 09:00~17:00
[어린이실]
- 평일 09:00~18:00
- 주말 09:00~17:00
[디지털라운지]
- 평일 09:00~18:00
- 주말 09:00~17:00
[자율학습실]
- 3월~10월 07:00~22:00
- 11월~2월 08:00~22:00","매월 첫째, 셋째 목요일 / 일요일을 제외한 법정공휴일 및 임시공휴일 (단, 일요일과 다른 공휴일이 겹치는 경우에는 휴관)",가능,,시설도 깨끗하고 학생시절부터 성인이 된 지금까지 잘 방문하고 있는 곳 입니다 어린이 도서관과 어른들을 위한 도서관 쾌적한 열람실에 휴게실까지 완벽하게 갖추고 있어 남녀노소 방문하기 좋습니다,,장애인 전용 화장실 있음,,,,최초 1시간 무료(1일 1회에 한함) / 매 10분당 300원 가산,,출입구까지 경사로가 설치되어 있음,주출입구에 경사로 설치되어 있음,엘리베이터 있음,장애인 전용 주차공간 있음_무장애 편의시설,,,,장애인 전용 열람석 있음,,,,,,,,,,좌석수 : 663석,자율학습실 / 어린이실 / 디지털라운지 / 문헌정보실 / 휴게실 등,,,지상 4층,,,,,,,,,,,,,,,,,,,"온 가족 북웨이브 100일 챌린지/ 독서문화행사 / 평생교육강좌
※ 자세한 사항은 홈페이지 참조"
몽마르뜨공원,"몽마르뜨공원은 서래마을 위쪽에 위치한 공원이다. 공원 인근에는 서래마을이 위치하고 있는데, 이곳에는 프랑스인들이 많이 거주하고 있어 공원의 이름을 몽마르뜨공원으로 명명하게 되었다.
몽마르뜨공원은 명칭만큼이나 예술과 낭만이 가득한 공원이다. 비록 규모는 크지 않지만, 공원에는 프랑스 시인들이 남긴 시와 조형 예술작품들이 가득하다. 빈센트 반고흐, 폴 고갱, 파블로 피카소 등 프랑스에서 활동한 대표적인 예술가들의 흉상 조형물도 볼 수 있다. 또한, 대중가수로 유명한 이미자의 기념공간인 이미자 뜰이 조성되어 있고, 놀이터 시설도 조성되어 있어 아이와 함께 피크닉을 즐기기에도 좋다.
몽마르뜨공원 끝에는 서리풀 근린공원을 잇는 누에다리가 있다. 누에다리를 건너서 계절에 따라 다양한 꽃들을 감상할 수 있는 서리풀근린공원까지 산책을 즐길 수 있다.",,,서울특별시 서초구 반포대로 201 (반포동),상시 개방,연중무휴,불가능,,"서울 그것도 강남 한복판에 이렇게 여유 있고 고즈넉한 이색적인 공원이 있다는 것에 놀랐네요. 중앙도서관에서 책 좀 보고 공원에서 산책하는 데이트 코스도 좋아보입니다 서초역에서 내려서 몽마르뜨공원까지 걸어갔어요! 초입에 누에조형물 만지며 소원도 빌고, 누에다리를 건너면서 서초 전경을 볼 수 있어 좋았어요! 특히 누에다리 한가운데서 보는 예술의전당 뷰는 기가 막힙니다. 언덕에서 거의 내려왔을 때는 몽마르뜨화가들 얼굴들도 전시돼있고 어린 아이들 놀이공간도 있어서 가족끼리 오기 좋은 공간입니다! 뚜벅이로 친구랑 역에서부터 걸어서 갔는데 너무 평화롭고 좋았어요. 제가 갔을 때에는 외국인 가족분들이 아기들이랑 놀고 있더라구요. 다양한 산책길에서 놀고 의자에 앉아서 자연도 볼 수 있었어요. 여기랑 서리풀 고원이 다리로 이어져 있었던 것 같은데 날 좋은 날 집에 있기 싫고 밖에서 자연에서 걷고 싶을 때 가기 딱이에요. 몽마르뜨공원 산책에 누에다리와 국립중앙도서관 함께 가족들이랑 산책하기 너무 좋아요! 거의 평지라서 힘들지도 않고 산책길도 잘되어있고 힐링하면서 건강도 챙기고 좋아요",,장애인 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실 내 기저귀 교환대 있음,
황학동 벼룩시장,"청계천 7가, 8가 사이 삼일아파트 뒤편에 위치한 황학동 벼룩시장은 전국 구석구석을 벼룩 뛰듯 돌아다니며 희귀한 물건을 모아 온다는 뜻에서 붙여진 이름이 부끄럽지 않게 옛날 시골집에서나 볼 수 있었던 물건들이 시장을 가득 메우고 있다. 이 시장은 과거 전국의 골동품 집산지였으나, 1983년 6월 장안평에 고 미술품 집단상가가 조성되면서 많은 점포들이 옮겨가 지금은 고미술품 판매점이 10여 군데에 불과하나 대신 이 자리에 중고품 만물상들이 하나, 둘 자연스럽게 모여들어 현재에 이르고 있다. 이곳에서 취급하는 상품은 골동품을 비롯, 중고 가구, 가전제품, 시계, 보석, 피아노, 카메라 및 각종 기계, 공구류에 이르기까지 다양하며 점포 수만 1천여 개에 달한다. 황학동 벼룩시장의 또 다른 이름은 도깨비시장이다. 아무리 오래되고 망가진 물건일지라도 이곳 상인들 손만 거쳤다 하면 감쪽같이 새것이 되고 요즘 말로 하면 재활용품이 된다. 오래된 물건을 파는 곳인 만큼 오래된 가게도 많은데 40년 동안 괘종시계만 수리해서 팔아온 만보당을 비롯해서 보국당 동림당 등은 대표적인 골동품점. 자취하는 학생과 실속파 신혼부부, 요즘은 인테리어에 신경 쓰는 세련된 사람들도 많이 찾는다.",,,서울특별시 중구 황학동,점포별로 상이함,점포별로 상이함,가능,,이것저것 구경하기 재미있어요 아이들과 가면 아이들이 간식골라사는 걸 좋아해요 노점에서 파는 미숫가루 커피 싸고 달달해서 꼭 사먹어요 황학동 벼룩시장 재미있어요. 오래되고 신기한 것들이 많아 아이들이 더 좋아했어요. 서울에 있는 골동품 가게도 많고 독특한 오래된 것들을 구경하고 맛볼 수 있는 도깨비시장! 여기만의 허름한 느낌에 골동품점 구경도 하고 그냥 거리만 걸어도 재밌더라구요 서울의 현대적인 느낌이 질렸다면 가까운 곳에서 한번 재미 느껴볼 수 있어요!!,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,골동품 / 고가구 / 가전제품 / 시계 / 보석 / 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,
제일평화시장,"1979년 서울 중구 동대문에 개장하여 40년 넘게 영업 중인 여성 전문 도소매 패션몰이다. 지하 1층 지상 5층 규모의 건물에서 의류(아동복) 뿐 아니라 가방, 구두, 액세서리, 모피까지 원스톱 쇼핑이 가능하다. 영업시간을 확인하고 가야 헛걸음하지 않는다. 지하철 동대문역사문화공원역 2, 4, 5호선 1번 출구, 동대문역 1, 4호선 6번 출구를 통해 이용할 수 있다.",,http://www.jeilpyunghwa.com/,서울특별시 중구 마장로 13 (신당동),"[평일]
- 주간 09:00~17:30
- 야간 20:00~05:00
[토요일]
- 09:00~17:00
[일요일]
- 20:00~05:00","연중무휴
※ 매주 금요일은 야간영업 휴무","가능
요금 (무료)",,제평은 동대문가면 꼭 한번 들려야될곳이이예요~엄마옷 부터 세련된옷 까지 다양하게 있어요~^^비싼옷부터 싼옷까지 두루두루있어 구경하기도 좋고 사기에도 좋아 동대문가면 꼭 가야할곳이라 생각되요~♡,,,,,,,,,,,,,,,,,,,,,,여성 의류 / 가방 / 구두 / 악세사리 / 모피 / 아동 의류,,,,,,,,,,,,,,,,,,,,,,,,,,
광나루한강공원,"강동대교에서 잠실철교 사이에 있는 광나루 한강공원은 한강 상류로부터 유입된 토사가 퇴적되어 자연스럽게 형성된 모래톱과 대규모 갈대군락지로 자연 그대로의 한강의 모습을 가장 잘 유지하고 있는 공원이다. 서울시의 유일한 상수원보호구역으로 뱃놀이와 각종 수상 및 레저활동이 금지되어 있어 물이 맑고 깨끗하며, 북쪽 아차산 수목의 푸르름과 2㎞에 이르는 한강둔치의 갈대밭이 잘 조화되어 아름다운 경관을 자랑한다. 또한 광나루 한강공원은 철새들의 서식처이기도 하다. 근처에는 암사선사주거지 등 많은 문화유적지가 곳곳에 산재해 있어 자연과 문화가 잘 조화를 이루는 곳이다.",,https://hangang.seoul.go.kr/,서울특별시 강동구 선사로 83-106 (암사동) 83-106,상시 개방,연중무휴,가능 (389대),,주말에 광나루한강공원 나들이갔다왔어요 전날 비온뒤라 날씨가 흐리긴했지만 자전거도 타고 오랜만에 확트인 한강보니 기분도좋네요 나들이장소로 추천합니다 한강공원은 어느쪽을 가느냐에 따라 또 다른 묘미가 있는데 광나루 한강공원은 자전거 타며 한강과 자연 풍경 구경하기가 좋았습니다. 해질때 쯤 가보면 더 멋져요 아이들이 놀기 좋은 놀이터가 있고 모래놀이 공간도 넓게 있어서 가족 나들이 하기 좋았어요. 다만 주차장이 협소해서 주차 때문에 좀 고생했네요. 자전거를 배우기도에도 좋은 공간이며 또한 대형 놀이터도 있고 한강을 바라보면 한적하게 쉴수 있는 공원입니다. 또한 배달도 되기에 편리하게 음식주문도 가능하며 한강에 있다보면 시간 가는줄 모르게 하루가 순삭입니당~,,있음,생태공원 / 자전거공원 / 초화단지 / 어린이놀이터 / 운동시설 / 매점 등,무료,,,,"문화시설 부지 넓음. 이동경로 폭 넓음.
문화시설 특성상 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 상시 개방형
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.
경사로 있음.",,"장애인 전용 주차구역 주차 대수 : 4대(광나루 한강공원광나루1주차장)
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.
문화시설까지의 거리 : 바로 앞",,"- 최초 30분 1,000원(초과 10분당 200원)
- 1일 주차 최고한도 10,000원",,"장애인 전용구장 있음- 뚝섬(장애인농구1,2구장)_무장애 편의시설",,휠체어 대여 가능함(무료),대중교통 없음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공원내에 음료대와 취식이 가능한 실외 카페테리아가 있음,
우이동만남의광장,우이동만남의광장은 북한산 아래에 위치한 계곡이 있는 산책 공원이다. 놀이터와 산책로가 조성되어 있는 우이동만남의광장에는 가족이 함께 방문하기 좋은 둘레길과 인근에 계곡이 있다. 3·1 만세운동을 주도한 의암 손병희 선생이 천도교 지도자 양성을 위해 설치한 봉황각이 자리 잡고 있으며 한국전쟁에 참전한 강북구 출신 88인을 기리는 6·25 현충비도 건립되어 있다. 또한 강북구 북한산 왕관봉 부근의 근사한 모습을 한눈에 담을 수 있는 장소이기도 하며 북한산 둘레길을 이용할 수도 있다. 입구에는 간단하게 차와 커피를 즐길 수 있는 카페가 조성되어 있다. 별도의 주차 공간이 없으며 수도권 지하철 북한산우이역 2번 출구에서 약 500m 떨어진 곳에 있다.,,,서울특별시 강북구 우이동 186-5,상시 개방,연중무휴,불가능,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광나루자전거공원,광나루자전거공원은 강동구에 위치한 광나루한강공원과 이어진 자전거 산책로이다. 한강을 바라보며 자전거를 탈 수 있으며 보다 주변 공원과 함께 산책을 즐길 수 있다. 한강 야경과 노을을 보면서 달릴 수 있다는 것이 가장 큰 장점이다. 자전거를 대여할 수도 있지만 인근에 타이어 공기 주입기가 있어 개인 자전거를 가져와 타기에도 편하다. 어린이 자전거 교육장과 자전거 트랙도 있어 가족과 연인끼리 여유롭게 탈 수도 있다. 광나루자전거공원의 입구는 수도권 지하철 암사역 3번 출구에서 약 900m 정도 떨어진 거리에 있다.,,,서울특별시 강동구 선사로 83-19 (천호동),상시 개방,연중무휴,가능,,아이들 데리고 다녀왔어요. 특이한 자전거도 타고 놀이터에서도 놀고 좋았어요~ 한강을 보면서 자전거를 탈수있는게 제일좋았어요 저녁쯤 라이딩하니 너무 이쁘면서 외국에온것같은 느낌이 들더라구요 정말 힐링됐습니다 서울에서 자전거 타기 가장 좋은 곳예요~우연히 지나다가 자전거도 대여가 가능하실래 저녁 노을에 한강뷰로 탔는데 정말 좋더라고요 추천 많이 하고 싶은 곳입니다 광나루자전거공원 좋아요 한강을 바라보며 달릴 수 있는 자전거 공원 입니다.가족과 연인끼리 여유롭게 탈 수있어 정말 좋습니다.,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오프렌즈 홍대 플래그십 스토어,"카카오프렌즈(Kakao Friends)는 모바일 메신저 카카오톡 이모티콘으로 출발하여 실생활 곳곳에서 일상에 즐거움을 줄 수 있는 다양한 라이프스타일 상품을 선보이고 있다. 라이언, 무지, 어피치, 프로도, 네오, 튜브, 제이지, 콘 등 메인 캐릭터를 모티브로 한 다양한 상품을 통해 소비자들에게 새로운 재미와 공감을 선사하며, 제품 외에도 각 캐릭터의 스토리와 개성을 살린 다양한 콘텐츠를 선보이며 소비자들에게 차별화된 브랜드 경험을 제공하고 있다. 제품 카테고리는 토이, 리빙, 잡화, 의류, 주얼리, 문구, 여행, 레저, 생활테크, 푸드, 육아용품에 이르기까지 폭넓게 분포되어 있으며, 소비자의 일상생활에 재미와 공감을 선사하며 모든 일상에 자연스럽게 스며들고 있다.",,http://www.kakaofriends.com,서울특별시 마포구 양화로 162 1~3층,10:30~22:00,연중무휴,가능,,,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),,장애인 주차장 있음(건물뒤 주차장)_무장애 편의시설,,,,,,,,,,,토이 / 리빙 / 잡화 / 의류 / 주얼리 / 문구 / 여행 / 레저 / 생활테크 EMD,,,,,,,,,,,,,,,,,,,,,,,,,,
홍대,"청춘들의 아지트 홍대 거리에는 패션과 뷰티, 리빙, 책과 문구 등 종류를 불문하고 갖은 매장과 디자이너 브랜드, 편집숍, 서점, 카페와 레스토랑 등이 즐비하다. 또 버스킹이나 춤 공연이 끊이지 않는 걷고 싶은 거리, 홍익대 후문 와우산로 22길에 펼쳐진 벽화거리, 상수역과도 잇닿은 홍대 클럽거리 등 이름난 골목을 거느렸다. 이곳을 찾는 이들은 무언가를 구입하거나 감상하는 데 머물지 않으며, 직접 만든 무언가를 선보이고 소개하기를 주저하지 않는다. 홍익대 정문 앞 홍익어린이공원에서 매주 토요일에 열리는 홍대 앞 예술시장 플리마켓, 일요일에 열리는 홍대 앞 희망시장 등 재기 발랄한 작가들이 이끄는 많은 예술시장이 홍대에서 비롯되었다. 쇼핑과 맛집에 이어 공연이나 전시 관람을 충족하는 상권이 있고, 젊음과 트렌드, 감각과 역동이 곳곳에 도사린, 언제나 매력적인 동네다. 낮에는 다채로운 숍이 형형색색 개성을 드러내고, 발길을 붙드는 그윽해진 불야성 역시 청춘들이 한결같이 찾고 머무는 까닭이다.

홍대입구역 3번 출구에서 동교동삼거리 방향은 연남동이다. 한때는 일대에 24시간 문을 여는 기사식당이 즐비해 연남동기사식당 거리로 통했는데, 이제는 개성 넘치는 숍과 카페, 식당이 그 자리를 대신한다. 한식, 중식, 일식은 물론 태국, 이탈리아, 프랑스 등 각국의 음식을 맛볼 수 있는 훌륭한 식당이 골목마다 빼곡하다. 푸르게 펼쳐진 연트럴파크 경의선 숲길을 따라 지금도 호기심을 자극하는 매장이 출현 중이다.

홍대입구역을 중심으로 합정역, 상수역, 광흥창역을 잇는 서교동 일대의 골목에는 아기자기한 상점이 숨어 있다면, 홍대입구역에서 연남동, 연희동으로 이어지는 신흥 명소는 세련되고 트렌디하며 이국적인 분위기가 물씬한 가게가 줄을 잇는다. 홍대 입구 3번 출구에서 연남동 산책을 시작해 경의선숲길공원을 걷다가 동교동 방향으로 살짝 틀면 연희동에 닿는다. 한편 홍대 입구 7번 출구에선 경의선책거리가 시작되는데, 길을 따라가면 지하철 2호선 신촌역에 이른다. 경의선책거리에서 산울림소극장에 이르는 구간에는 공원이 있고, 이를 중심으로 양 길가에 책, 문구, 소품을 파는 다양한 가게가 즐비하다. 경의선숲길과 경의선책거리 일대를 즐기는 색다른 방법은 서울자전거 따릉이를 타는 것이다. 참고로 자전거대여소는 홍대입구역 2, 3, 6, 8번 출구에 있다.",,https://www.mapo.go.kr/culture,서울특별시 마포구 서교동,시설 별로 상이함,시설 별로 상이함,,,"젊음을 만끽하기 좋고~ 볼거리, 먹거리, 즐길거리가 다 잘되어 있는것 같아요~ 오랜만의 방문이었는데도 너무 즐거웠어요^^ 홍대입구역부터 진짜 홍익대학교 앞까지 거리 조성이 잘 되어있어서 볼게 많아요! 경의선 철길도 산책하기 좋습니다 정말 오랜만에 방문했는데 그래도 여전히 사람들이 많았습니다 볼거리 천지 입니다 먹을거리도 많고 사람도 많고 구경거리가 많습니다 이색적인 카페가 많이 아무 생각없이 지나가다가 들러도 좋은장소가 너무나 많아요~^^ 날씨 좋아지면 또 방문 할거예요 요즘 젊은 사람들이 죄다 홍대 레드로드로 옮겨온 느낌입니다. 사람이 낮에도 정말 많아요. 홍대는 생동감이 넘쳐서 갈때마다 기분이 좋네요. 전시도 많고, 볼 것도 많고, 눈이 즐겁습니다. 젊음과 열기가 느껴지는 곳이었습니다. 다양한 카페와 상점, 거리 공연이 인상적이었고, 특히 밤이 되면 더욱 활기차졌습니다. 독특한 패션과 예술이 공존하는 거리에서 다양한 문화를 체험할 수 있었어요. 쇼핑과 맛집 탐방도 즐거웠습니다. 다양한 외국인을 민날 수 있는 명소로 언제나 사람이 가득한 곳입니다 한국인 뿐만아니라 외국인 관광명소로 사람이 항상 많고 특히 외국음식점이 많아서 한국에서 외국음식을 디양하게 즐길 수 있는 잠장이 있습니다 대학가의 성지 답게 버스킹도 하고 있어 즐길거리도 많아서 적극 추천합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
