place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,지정현황,화장실,이용가능시설,이용요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,관람석,주차 요금,주차요금,지체장애 기타 상세,점자 홍보물,오디오 가이드,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,시설이용료,체험가능 연령,판매 품목,대중 교통,주요시설,시각장애 기타상세,청각 장애 기타상세,개장기간,부대시설,수용인원,할인 정보,보유장비,대여안내,객실,강습안내,입점브랜드,보조견 동반,안내 요원,스포츠 시설 여부,점자 블록,유도안내 설비,바비큐장여부,세미나실 여부,영업시간,대표메뉴,취급메뉴,코스안내,매표소,이용 시기,청각장애 기타상세,보조견동반,영유아가족 기타상세,체험
둘레길캠핑장,"둘레길캠핑장은 충남 태안군 이원면에 위치했다. 태안군청을 기점으로 약 28km 거리에 있으며, 서해로, 태흥로, 원이로를 차례로 달리면 도착한다. 이동시간은 40분 정도 걸린다. 이곳은 해변과 인접해 있어 사이트에서 바다를 내려다볼 수 있고 숲에 조성된 덕분에 아름다운 자연환경 또한 매력적이다. 캠핑장에는 일반야영장 81면을 마련했다. 사이트 크기와 개수는 가로 7m 세로 12m 자갈 51면, 가로 3.5m 세로 7m 데크 30면이다. 화로대, 전기를 사용할 수 있다. 개인 트레일러와 카라반 입장이 가능하고 이용료는 일반야영장과 동일하다. 캠핑장은 사계절 운영하며, 예약은 온라인 실시간으로만 받는다. 반려견은 소형견만 동반입장이 가능하다.
캠핑장 인근에는 이원반도, 솔향기길 등 여행지가 많아 연계관광이 용이하다. 근처에 해물탕, 해물찜 등을 하는 음식점도 있다.",,http://www.seclub.kr/,충청남도 태안군 이원면 꾸지나무길 37-76,14:00~익일 12:00,연중무휴,,,"4.5 * 4.5 크기의 쉘터라서 넓은 데크가 필요한 저희들에게 딱 좋은 캠핑장이라, 이번에 재방문 낙조가 텐트 안으로 깊숙히 들어올 정도로 뻥 뚤린 캠핑장입니다",,가능,,"55,000원~75,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,평지에 구축되어 있는 캠핑장 사이트을 이용하면 가능,,,,,,,,,,,,,,,,,,,,,,,,"소화기: 32, 방화수: 3, 방화사: 3",,,"봄, 여름, 가을, 겨울",전기 / 장작판매 / 온수 / 물놀이장 / 놀이터 / 운동시설,,,,,,,,,,,,,,,,,,,,,,,,
딸기향농촌테마공원,"딸기향농촌테마공원은 논산의 특산물인 딸기를 주제로 한 테마파크이다. 논산의 대표 특산물인 딸기를 주제로 테마를 이루고 활용하여 지역 경제 발전에 기여하고 있다. 논산의 농촌 문화를 전달하는 것을 목적으로 운영되고 있어 딸기학습체험관, 농업체험관, 재배온실 등의 시설을 활용하여 다양한 체험 프로그램을 진행하고 있다. 또한, 딸기 쉼터, 산책로, 딸기정원 등 논산시민 및 관광객의 휴식 힐링 공간을 제공하고 있으며, 지역 특산물 판매장 로컬푸드 통합지원센터도 함께 운영되고 있다.
딸기향농촌테마공원은 탑정저수지변에 위치하여 탑정호 출렁다리, 탑정호수변생태공원 등을 함께 즐길 수 있다. 논산, 계룡, 대전 방면에서 국도 1호선과 충곡로를 통해 접근할 수 있으며 호남고속도로 지선 논산IC와 양촌하이패스IC도 가까운 편이다.",,https://www.nonsan.go.kr/strawberry,충청남도 논산시 부적면 부적로 665,"하절기(3월~10월) : 09:00~18:00
동절기(11월~2월) : 19:00~17:00
점심시간 : 12:00~13:00","매주 월요일 (공휴일이 월요일인 경우 운영, 첫번째 비공휴일 휴무)",가능,무료,"딸기향농총테마공원 무적권이죠 ㅋㅋ 딸기놀이터 아이들이 정말 좋아해요 ! 산책겸 갔었는데 즐거운 나들이였어요 ^^ 실내외 놀이터 있어서 좋아요. 딸기모양 놀이터 너무 귀여워요. 체험도하고 뛰어놀고 바베큐도 먹고, 가족데이트 코스로 추천합니다. 여름에 물놀이장이 있어서 아이들과 가기 좋나요 로컬푸드에서 바베큐도 이용할 수 있어요 실내놀이터, 야외놀이터 둘다 정말 좋아요 로컬푸드매장과 카페도 있어 가족단위 나들이 하기 좋은 곳 입니다",,,로컬푸드 통합지원센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,딸기테마관 / 힐링생태체험관 / 자연학습체험장 (VR체험)
마검포해수욕장,"태안군 남면에 위치한 마검포해변은 안면도로 이어지는 다리 직전에 위치한 해수욕장으로 아직은 사람들에게 잘 알려지지 않아 아주 조용하다. 해변 주변에는 울창한 송림이 있으며 그곳에서 야영을 즐길 수 있다. 백사장은 고운 모래로 되어 있으며 경사도가 완만하여 아이들도 안전하게 해수욕을 즐길 수 있다. 이곳은 이른 봄 실치회로 더 잘 알려진 곳으로 그 외 멸치, 까나리, 주꾸미 등이 생산되며 저녁때 바라보는 낙조가 장관이다.",,http://www.taean.go.kr/tour.do,충청남도 태안군 남면 신온리,상시 개방,연중무휴,가능,,2021.12월 방문 사진입니다! 울집 아이들과 조개구이먹고 석양이 아름다운 해변으로 놀러가고싶네요. 사진만봐도 행복해지네요. 아이가 놀기 너무 좋았고 조개도 잡을 수 있어서 최고에요~ 아이들과 조개잡고 놀가 좋은곳^^,,있음,샤워장 /야영장 / 방갈로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만리포해수욕장,"만리포해수욕장은 태안군을 가로지르는 32번 국도의 가장 끝부분에 있으며, 태안해안국립공원으로 지정되어 있다. 슬로시티 태안의 대표적인 관광지로, 특히 경관이 아름답기로 유명하다. 활처럼 휘어진 모래사장은 1km 가까이 이어지며 수심이 완만하고 백사장이 넓어 해수욕을 즐기기에 안성맞춤이다. 주변에는 숙박시설이나 편의시설이 잘 갖추어져 있어 가족단위 휴양지로 손색이 없다. 해수욕장 주변에 넓게 펼쳐진 소나무 숲에서 야영도 가능하여 해수욕과 산림욕을 함께 즐길 수 있으며, 해양스포츠, 갯바위 낚시 등의 레저시설도 갖춰져 있어 즐길 거리가 많이 있다. 만리포를 대표하는 특산물인 갱개미무침과 바닷장어구이, 대하구이 등 싱싱한 해산물을 먹는 재미 또한 일품이다.",,www.taean.go.kr,충청남도 태안군 소원면 만리포2길 138,상시 개방,연중무휴,가능,,"썰물 때 물 빠진 해변이 너무 예뻐요. 주변 편의시설이 잘되어있어서 더운 날씨에 얼음물 사기에도 편했고 가족단위 놀러가기에 딱이에요. 노을이 너무 예쁜 해수욕장이네요, 썰물로 물이 빠진 해수욕장을 걸어가며 눈호강했습니다 쾌청한 주말 만리포 해수욕장에서 물놀이 즐겁게 하고 왔습니다^^ 바닷물도 깨끗하고 해변이 완만하고 파도도 세지 않아서 아이들도, 어른들도 물놀이 하기 너무 좋아요 해수욕장 시즌이라 안전요원분들도 순찰 하시고 무료 수도시설도 있어서 물놀이 후 간단하게 씻기도 좋습니다 주변에 상권도 잘 형성되어 있고 만리포 해수욕장 정말 좋아요 추천합니다 남편과 둘이 도시락 싸서 나들이 겸 다녀왔습니다. 바닥의 모래는 부드러웠고 날씨는 서늘해서 기억에 더 따뜻하게 남은 것 같아요. 가족단위로 많이들 오시더라고요. 여름 휴양지로 추천합니다. 이번 여름 지인들과 함께 즐겁게 즐기고온 바다. 서해안이 이렇게 맑은 바다인지 처음 느꼈던 곳이네요. 기억에 오래오래 남을 것 같아요. 내년에도 또 오게 되지 않을까? 싶습니다. 지는 석양도 너무 맘에 들었던 곳이네요. 아이들과 함께하기 좋아요. 겨울바다도 기대됩니다 만리포 해변에서 아이랑 산책도하고 바다도 보고 왔어요.",,장애인 화장실 있음_무장애 편의시설,숙박시설 / 음식점 / 탈의장 / 샤워장 / 급수대 / 파라솔 / 튜브 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경보장치는 방소시설(스피커)이 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,
서천 무형유산복합전수관,"서천 무형유산복합전수관은 수천 년 백제의 유구한 역사를 품고 있는 서천 장인들의 생애와 활동을 소개하는 전시관이다. 공예품과 활동 사진, 공예품을 만들때 사용하는 도구가 전시되어 있고 특히 한산 소곡주를 만드는 전통 도구는 더욱 실감나게 전시되어 있다.
대목장은 건축을 계획하고, 목재를 다듬어 건축하는 장인을 말하는데, 건축공사를 총괄하는 우두머리 목수로서 도편수라고도 한다. 부채를 만드는 부채장은 우아한 아름다움이 베어나는 둥근 부채선과 천 년 이상의 전통을 지닌 공작선은 바람에 멋을 담는다. 베를 짜기 위해서는 바디와 북, 날실과 씨실이 필요한데 바디를 만드는 장인을 바디장이라고 하며 감칠맛과 그윽한 향이 나는 것으로 유명한 소곡주를 만드는 장인을 소곡주장이라 한다. 주변 관광 명소는 한산 모시관, 서천 한산 소곡주 양조장, 한산 오일장이 있다.",,https://support.nihc.go.kr/,충청남도 서천군 한산면 충절로 1120,"09:00~18:00
※ 입장은 한 시간 전까지 가능",화요일,가능,,,,장애인 전용 화장실 있음(건물 내부),,,,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백제군사박물관,"백제군사박물관은 백제의 군사문화를 생생하게 체험할 수 있는 박물관이다. 논산은 백제 수도가 부여였던 시대에 수도의 서쪽 방위를 맡은 군사상 중요 거점이다. 백제군사박물관은 이러한 논산 지역의 특징을 활용하여 오천결사대를 이끌고 논산 황산벌에 나아가 장렬히 전사한 계백장군묘역 및 사당(충장사), 계백장군유적전승지, 황산벌전적지 주변 부지에 조성하였다. 이곳은 백제와 군사라는 성격을 부여하여 전시물을 구성, 백제시대의 유물은 물론 그 시대의 군사적 모습을 전시하는 등을 경험할 수 있다.
또한, 각종 전시회 및 공연이 열려 다양한 문화 예술의 공간으로서의 역할을 하고 있다. 겨울을 제외한 시기에는 야외 체험장에서 주말에 어린이들을 대상으로 국궁체험, 승마체험, 백제문화체험을 운영하고 있으며, 평일에는 단체 어린이들을 대상으로 충혼의 숲에서 숲 체험 예약 접수를 받고 있다. 그리고 2008년부터는 매년 4월 백제군사박물관 옆 충장사에서 계백 장군의 충절을 기리는 제향을 지내고 있다.",,http://www.nonsan.go.kr/museum/,충청남도 논산시 부적면 충곡로 311-54,09:00~18:00(입장마감 17:30),월요일 / 1월 1일 / 명절 당일,"가능(소형 100대, 대형 10대 주차가능)",,"예전여행중 수리중이어서 못들어갔던곳인데 오늘 다녀왔네요. 한여름의 박물관.. 백제군사박묽관 예전보다 편의시설을 확충해 아이들 눈높이 맞게 재개장을 했다고 하네요. 계백장군과 황산벌 전투를 입체적 표현한 디지털 체험관도 인상적이었고요, 백제군사가 되어 활을 쏘고 말을 타는 등의 게임을 할 수 있는 체험도 아이들이 좋아했습니다.백제와 관련된 지명과 설화에 대해서도 잘 설명해 놓았고, 아이들이 재미있게 놀며 배울 수 있는 곳으로 가족과 함께 가기 좋은 곳 인 것 같습니다.",,장애인 화장실 있음_무장애 편의시설,,무료,"부지 19,778㎡
건축면적 2,489㎡ (지하 1층, 지상 2층)",,,,있음,대여가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천안어린이꿈누리터,천안어린이꿈누리터는 어린이들이 다양한 놀이활동 및 문화·예술을 경험할 수 있는 아동복지시설로 천안시에서 설립하고 사회복지법인 중부재단에서 수탁 운영하는 곳이다. 어린이의 눈높이에 맞는 안전한 놀이장소로서 다양한 체험을 통해 아름다움과 동심의 가치를 알 수 있으며 다양한 예술 활동을 통해 상상력을 키우고 잠재적인 창의력을 개발할 수 있다.,,https://www.cachildren.kr/,충청남도 천안시 동남구 옛시청길 39 (문화동),"- 10:00~17:30
- 휴게시간 12:00 ~ 13:00 / 15:00 ~ 15:30",매주 월요일 / 법정 공휴일 / 설·추석 연휴,가능 (소형 430대 / 대형10대),,아이들과 함께가기에 너무 좋은 것 같습니다. 프로그램도 많이 진행하고 건물 자체가 넓어서 적극 추천! 흥놀이터 얼마전에 방문했는데 가까이 살면 재방문하고 싶을 정도로 아이가 재밌게 잘 놀았어요. 2시간이라는 시간이 금방 지나가네요.,,층별 장애인 화장실 있음,,"[일반]
- 성인, 아동 4,000원
- 천안시민할인 2,000원
[단체]
- 성인, 아동 3,000원
- 천안시민할인 1,500원",,건물 전체 배리어프리 인증,,"지하 2,3층에 14대 있음",장애인용 2대,가능,"지하1층, 1층 수유실 있음",,,,,,촉지도 있음,층별 안내요원 상주,,,,,,,,,,,,,,,,,,220명,"천안시민 / 국가유공자 / 한부모, 장애인 / 생계·의료급여수급자
※ 자세한 사항은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,"흥놀이터 (체험존) / 문화예술프로그램 (예술, 요리) / 아르떼 (체험형 연극)"
백제문화체험박물관,"백제문화체험박물관은 백제시대 토기를 굽는 가마를 형상화하여 만들어졌다. 1,500년 전 백제가마터, 청기와, 최익현 유배도, 공자상 탁본, 황금복거북이와 같은 5대 명품과 금광체험관, 농경문화체험관, 1960년대 추억의 옛거리 전시관, 한상돈선생 기념관, 유상옥 기증실, 정승공원으로 구성돼 있는 명품 박물관이다. 주말에는 토기 만들기, 나만의 컵 만들기, 백제의복 체험 등 다양한 체험을 즐길 수 있는 공간이다.",,http://www.cheongyang.go.kr,충청남도 청양군 대치면 장곡길 43-24,"- 하절기 (3월~10월) 09:00~18:00
- 동절기 (11월~2월) 09:00~17:00
※ 매표입장 시간은 관람시간 1시간 전",매주 월요일(공휴일인 경우 그 다음 날 그 밖의 군수가 정하는 날) / 1월 1일 / 설·추석 당일,가능,,생각보다 구경거리와 체험거리가 많아요 아이들과 함께가기 너무나 좋은곳입니다 입장료도 저렴해요 가마와 기와 전시와 함께 근현대 문속문화까지 두루 볼 수 있어 좋습니다.,,장애인 화장실 위치 : 리프트 타고 올라와서 좌측. 손잡이 설치 되어있음. 시설관리자 호출을 위한 벨 있음. 문의 형태 : 접이식,,"[개인]
- 일반 2,000원
- 청소년, 군인 1,500원
- 어린이 1,000원
[단체 (20인 이상)]
- 일반 1,500원
- 청소년, 군인 1,000원
- 어린이 500원
※ 무료
- 영유아(6세 이하) / 노인(65세 이상) / 국가유공자",,출입구까지 경사로가 설치되어 있음. 휠체어 사용자가 손쉽게 이용할 수 있음.,"출입통로는 눌러야 열리는 자동문 형태. 휠체어, 전동 스쿠터 이동 가능 바닥 표면은 대리석임.",장애인 전용 주차구역 주차 가능 : 2대 장애인 전용 주차구역 주변 휠체어 이용자 등이 이용할 수 있는 여유공간 유무 장애인 전용 주차구역에서 안전 보행로까지의 거리 : 바로 앞(경사로 있음) 관광지 주출입구와의 거리 : 약 100m,,휠체어 대여 위치 : 매표소 대여 가능한 휠체어 대수 : 2대(수동),수유실 위치 : 2층 화장실 옆,유아차 대여 위치 : 매표소 대여가능 유모차 대수 : 2대,,,,,,,,,,,,,,,,,,대중교통 이용 가능 여부 : 장곡 정류장 저상버스 없음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,석고방향제 만들기 체험 / 드림캐쳐 만들기 체험 / 전통매듭 스트랩 색칠체험 등
춘장대해수욕장,"춘장대해수욕장은 원래 인근 동백정에 해수욕장이 있었으나 1980년대 그곳에 서천화력발전소가 건설되자 그 대안으로 대토지 소유자 민완기씨가 이곳에 서너 개의 방갈로를 만들고 자신의 호 춘장을 따서 춘장대라고 명명했다는 설과 동백꽃이 길게 우거진 모습을 본떠 춘장대라고 지었다는 설이 함께 전해지고 있다.
이 해수욕장은 1.5도의 완만한 경사와 맑고 잔잔한 수면이 특징이며, 울창한 해송과 아카시아 숲이 넓게 분포되어 있으므로 야영과 휴식을 취하기에 매우 좋다. 해수욕장 중앙에는 광장이 있어 문화 활동의 공간으로 활용되고 있으며, 해수욕 외에도 썰물 때면 주변의 섬까지 걸어가 보고 갯벌에서 해산물을 잡을 수 있다. 또한 자연경관이 수려한 것도 장점이다.
이곳은 캠핑장, 오토캠핑장, 펜션, 모텔 등이 밀집해 있으며 주변에는 홍원항, 부사방조제, 부사호 등이 있어 연계하여 관광하기 좋다.",,공식 홈페이지 http://chunjangdae.or.kr/,충청남도 서천군 서면 춘장대길 20,상시 개방,연중무휴,"가능 (소형 500대 / 대형 50대)
요금 (무료)",,해수욕장이 넓어요. 곳곳에 수도 설치되어 있어서 바다 갔다온 후 씻을수 있어서 좋아요. 반려해변으로 되어있네요~ 주변에 캠핑장이 많아 바람쐬러 나와서 산책하러 나왔느네 날씨도 너무 좋아서 힐링하고 가요. 여름에는 해수욕도 할수 있고 바다가 깊지 않아서 놀기 좋을것 같네요 평일 사람많지않아서 산책하기 좋네요. 해안탐방로도 있고 근처에 미량리동백나무숲있어서 같이 산책하기 좋아요 집근처라 자주갔는데 요즘은 시살도좋아지고 가끔 바람쐬러 가네요 이번 여름에도 가야겠어요 대전에서 바다가 보고싶으면 1시간반만에 도착하는 해변 겨울바다가 보고싶으면 훌쩍 가볍게 갔다올수 있는 곳이에요 날씨가 너무 좋아서 기분이 상쾌했어요.. 동해만 가다가 서해를 가니 또다른 해변풍경.. 편의점에서 먹었던 망고샤인머스켓 주스가 어무 맛있었어요 캠핑하기좋고 아이들과 안전하게 즐길수있는곳입니다 대천에서 사람에 치여 자주 다니던 해수욕장 입니다 바닥색과 하늘이 너무 아름다운해변입니다,,장애인 화장실 있음,종합안내소 / 급수대 / 매점 / 샤워장 / 탈의장 / 음식점 / 숙박시설 등,,,,주출입구는 턱이 없어 휠체어 접근 가능함( 보행로 중에 단차가 있는 곳도 있음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보령 천북굴단지,"천북 굴 단지는 보령의 최북단 홍성 방조제 인근에 있는 굴 전문점 집약 단지이다. 천북 굴은 보령 8 미 중 하나다. 천북 굴 단지에는 굴 전문 음식점들이 천수만 바다를 따라 길게 늘어서 있다. 굴은 지방이 적고 미네랄이 풍부해 영양과 맛이 우수하다. 굴은 8월까지의 산란기를 끝내고 가을에 살이 차기 시작해 겨울이 되면 최적의 상태가 된다. 굴은 11월에서 2월까지 잡히는 것을 최상품으로 치며 매년 12월 중에 이 곳 장은리 굴단지 일원에서 [천북 굴 축제]를 연다. 천북 굴 단지에서는 굴 구이와 굴회, 굴밥 등 굴을 이용한 다양한 요리를 맛볼 수 있으며, 특히 축제 기간에는 관광객을 위한 볼거리와 즐길 거리 등 이벤트가 마련되어 있다. 천북 굴 단지는 국도 40호선에서 홍보를 통해 접근할 수 있으며, 서해안고속도로 광천 IC가 가깝다. 주변에는 천수만, 홍성 보령 방조제, 홍성호 외에 수룡항 포구, 남당항 등이 있다.",,http://www.brcn.go.kr/tour.do,충청남도 보령시 천북면 천북 굴구이 단지,음식점별로 상이,음식점별로 상이,가능 (소형 300대),,"나혼산 한혜진 코스로 가족 함께 방문 겨울 끝자락의 정서를 담아낸, 굴과 함께 좋은 식도락 여행! 해마다 굴철이면 방문하는 천북굴단지. 굴 가게들이 어마어마하게 모여있어요. 시끌벅적한 분위기에서 신선한 굴찜, 굴구이를 먹으면 여행기분 제대로 느낄수있어요 예전만큼은 아니지만 그래도 석화, 조개 등 먹거리와 주변 볼거리도 있어서 매년 가는 곳이에요 올해도 실망시키지 않는 곳이었습니다. 제대로 된 굴찜과 굴영양돌솥밥으로 몸보신하고 주변 둘레길 걸은 것도 좋았답니다. 겨울이면 생각나는 굴찜 먹기위해 다녀왔어요! 후회없이 먹고 바람쐬기 딱 좋았답니다 딸이 굴 먹자고해서 1박으로 다녀왔어요. 2인이 가능한 곳으로 찜해서 맛나게 배부르게 먹고 왔답니다. 천북굴단지는 요즘 같은 겨울엔 제철인 여행이에요. 집과 멀지 않아 아이와 같이 바람쐬러 다녀오기 좋아요~^^",,공용화장실 내 장애인화장실 있음 (각 식당별로 화장실을 따로 갖추지 않아 공용화장실 이용)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천북 굴 축제
태복당,"큰 복을 담은 태안 6쪽 마늘빵을 판매하는 농업회사법인 티에이바이오(주)는 2023년 3월 2일 법인이 설립되었고, 태안 6쪽 마늘, 쌀, 팥 등을 활용한 태안6쪽마늘빵을 연구, 개발하여 태안 지역 농산물을 활용한 태안 최고의 관광상품으로 태안6쪽마늘빵을 판매 중이다. 태안을 찾는 관광객들의 먹거리 상품으로 널리 알려지기 위해 ""태안의 복"" 태안 6쪽 마늘 브랜드를 적극 활용하여 먹거리 이외에도 다양한 제품군을 개발하고 있다.
임금님께 진상되던 태안 대표 특산품 6쪽 마늘은 백가지 이로움이 있으나 마늘의 강한 냄새 때문에 빵류 등에 사용을 꺼려왔다. 하지만, 태복당에서는 수많은 시행착오 끝에 강한 냄새가 없는 맛과 건강에 우수한 마늘 조리 기술을 확보하였고, 이에 건강에 도움이 되는 쫄깃하고 달콤한 태안 6쪽 마늘빵을 성공적으로 개발하였다.태안군은 태안 6쪽 마늘의 조직배양을 통해 우수한 형질을 선발하여 2001년에 '태안종'으로 품종등록을 했으며 태안 6쪽 마늘은 황(S)이 많이 함유되어 있어 알리신 등 마늘 유효 성분을 증가시키며, 이는 항암효과, 피로회복, 면역력 강화 등의 효과가 있다. 또한 쌀가루로 구워내어 NO 밀가루 제품이다.
따라서 태복당에서는 태안 6쪽 마늘을 분쇄 조리하여 만든 마늘 앙금과 글루텐 프리 쌀가루 반죽을 올려 쫄깃하고 달콤한 태안6쪽마늘빵을 맛볼 수 있다.",,인스타그램 https://www.instagram.com/taebokdang/,충청남도 태안군 태안읍 동백로 311,월요일~금요일 08:00~19:00,"매주 토요일 , 일요일",가능,,,,,,,,휠체어가 올라갈 수 있는 경사로가 설치되어 있으며 문턱없이 평지로 연결되어 휠체어 통과 가능함,주출입구에 휠체어가 통과 가능함 (수동문),,,,,,,,,,,,,,,,,,,,,,태안6쪽마늘빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성주산자연휴양림,"성주산자연휴양림은 차령산맥이 아름다운 곳으로 성주면 성주리의 화장골 계곡과 울창한 숲이 장관인 계곡으로 산림욕을 즐길 수 있는 곳이다. 울창한 산림과 기암괴석, 맑은 계곡이 절경을 이루며, 수목의 대부분이 천연 활엽수로 굴참나무, 밤나무, 때죽나무, 고로쇠나무, 아카시아, 졸참나무 등이 자생하고 있다. 화장골이란 이름은 성주산 일대에 모란형 명당이 8개 있는데, 그중 하나가 이곳 화장골에 감추어져 있다 하여 붙은 이름이라 한다. 성주산자연휴양림은 도로를 닦고 위락시설도 갖추고 있어 관광명소로 자리 잡아가고 있으며 우거진 숲과 맑은 물이 감도는 구곡계곡은 선경을 연상케 하고, 가을 단풍은 대자연의 신비를 만끽게 한다.",,https://www.foresttrip.go.kr,충청남도 보령시 성주면 화장골길 57-228,"- 일반 09:00~18:00
- 숙박시설 15:00~익일 11:00",연중무휴,가능,"[개인]
- 일반 1,000원
- 청소년, 군인 800원
- 어린이 400원
[단체(20인 이상)]
- 일반 800원
- 청소년, 군인 600원
- 어린이 200원
※ 자세한 사항은 전화문의 요망","계곡물이 냉장고같은 시원함 대박이에요 숲이라 공기도 좋고 그늘도 많고 위쪽으로는 등산로 아랫쪽에는 수영장이 있어서 가족단위로 많이들 오시더라구요!! 갑자기 오게 된 성주산자연휴양림 입구에 들어서자 보이는 수영장에 아이들은 환호성^^ 위로 올라가니 매점,편백체험,인바디체험등도 있고 화장실도 가깝고 인공폭포아래 계곡물 수영장까지~ 31도넘는 폭염에 저희는 계곡물 흐르는 소리와 시원한 계곡에 발담그고 이렇게 시원할 수 가 없네요. 평상도 8000원, 취사,야영장은 따로 있어요. 여기 오신분들 뒷처리도 잘하고 가셔서 무인매점에도 깨끗하네요. ...
더보기 성주산자연휴양림에서 가족들과 보낸 시간은 잊을 수가 없네요. 많이 알려지지 않은 곳이라 한적하게 힐링하는 시간을 보내고 왔습니다. 피톤치드 숲길은 단연 최고고요. 피톤치드 나무가 있어서 너무 좋네요 눞는 의자도 있어서 누어서 쉬기 딱이네요 휴양지라 담번에 1박으로 쉬기도 좋을거 같아요",,산림문화휴양관 인근에 장애인 전용 화장실 있음,숙박시설 / 야영장 / 물놀이장 / 강의실,,,,산림문화휴양관 입구에 경사로 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선장포노을공원,"아산시 선장포노을공원은 아름다운 자연경관과 다양한 편의시설을 갖춘 휴식 공간이다. 이 공원은 넓은 잔디밭과 산책로가 조화를 이루어 가족 단위 방문객들에게 안성맞춤이다. 특히, 계절마다 변화하는 꽃과 나무들이 방문객의 눈을 즐겁게 한다. 공원 내에는 어린이 놀이터와 운동시설이 마련되어 있어, 모든 연령대가 함께 즐길 수 있는 공간이다. 또한, 인근에는 아산의 역사와 문화를 체험할 수 있는 다양한 명소가 있어, 공원 방문 후 추가적인 관광도 가능하다. 선장포노을공원은 자연 속에서 여유로운 시간을 보내고 싶은 이들에게 최적의 장소이다.",,,충청남도 아산시 선장면 선장로 121-10,상시 개방,연중무휴,가능,무료,여기 진짜 이름답게 되게 예뻐요! 노을 질때 꼭 보세요 해질녘에 가면 노을이 참 예쁜 공원입니다 코스모스가 피는 계절에 가면 둑을 따라 코스모스들이 가득 피어있어 짧은 길이지만 노을을 구경하며 같이 한다면 예쁘고 멋진 사진을 얻을수 있어요 공원엔 캠핑장 시설도 잘 되어있어 캠핑 하기도 좋아요,,장애인 화장실 있음,캠핑장 / 야외 공연장 / 어린이 놀이터 등,,,"문화시설 부지 넓음. 이동경로 폭 넓음
문화시설 특성상 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 상시 개방형.
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.",,,,,,,,무료,,,,,,,,,,,,,,,"대중교통 이용 가능 : 군덕복지회관 정류장
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
