place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,화장실,주차요금,review,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,대중 교통,이용가능시설,입장료,시설이용료,유모차,수유실,휠체어,유아용보조의자,판매 품목,체험가능 연령,시각장애 기타상세,규모,개장기간,부대시설,주요시설,객실,입점브랜드,관람석,점자 홍보물,수용인원,오디오 가이드,지체장애 기타 상세,주차 요금,점자 블록,대여안내,보조견 동반,안내 요원,코스안내,보유장비,강습안내,이용 시기,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,영유아가족 기타상세,체험
선바위,"울주군 범서읍 입암리에는 ‘선바위(立岩)’라는 이름을 가진 바위가 있다. 높이 33.2m, 둘레 46.3m의 이 선바위는 마치 금강산 해금강의 한 봉우리를 옮겨 놓은 듯, 이 부근의 지질이나 암층과는 전혀 다른 암질을 가진 바위가 우뚝 솟아 있다. 선바위를 보듬고 있는 자리가 백룡담 여울인데 옛사람들에 의하면 백룡이 살았던 곳으로, 날이 가물어 천지가 타오를 때 이곳에서 기우제를 올리면 영험이 있었다고 한다. 산 좋고 물 맑은 이곳에서 하늘은 멋진 조각의 솜씨를 남겨 향인들이 시 읊고 노래 부르고 자연을 벗 삼아 풍류를 즐겼는데, 훗날 정각을 세워 ‘입암정’이라 했다. 오늘도 선바위는 몇 만년 흘러온 태화강의 산 증인처럼 우뚝 서 있고, 찾는 사람들의 발길은 멈추지 않는다.
(출처 : 울산 문화관광)",,https://tour.ulsan.go.kr,울산광역시 울주군 범서읍 두동로 160,00:00~24:00,,가능,,장애인 화장실 있음,,선바위는 여름에 보면 더 좋답니다 갈수록 개발이 되고 있는 느낌? ㅋ 꼭 한번 보고 싶었는데 멋있네요 감탄사가 절로 나오는 곳이지요. 울산에 올 일 있으면 꼭 들러보세요. 시원한 물놀이 기대됩니다 울주에 이런 곳이! 가볼께요ㅎ 울주라는곳은 낯설고 안가봤지만 이번에 하계휴가로 방문하면 좋을거 같네요,,,"주출입구 무단차
원활한 이동 가능함",장애인 주차장 있음(3대)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기저귀교환대 있음(장애인전용 화장실 내부),
문수사(울주),문수산은 신라와 고려 때는 영축산이라 불리던 산으로 문수사는 산의 이름을 따서 절의 이름을 지었다고 한다. 돌을 문지르며 소원을 빌면 소원이 이루어진다는 문댐돌로 유명하다. 대한불교조계종 제15교구 통도사의 말사로 신라 선덕여왕 15년(646) 중국 유학에서 돌아온 자장율사에 의해 창건되었다고 전한다. 영취산 또는 청량산 이라고도 불렸으며 읍의 이름인 청량읍은 바로 청량산에서 유래하였다. 신라 원성왕(785~798) 때 연회국사와 관련된 기록이 있다. <삼국유사>에 의하면 연회스님은 영축산에 은거하여 항상 법화경을 읽으며 수행하였는데 원성왕이 연회를 국사로 삼으려고 하자 그 소식을 듣고 서령으로 도망가다가 문수대성과 변재천녀를 만난 뒤 생각을 바꾸어 다시 암자로 돌아와 왕의 부름을 받고 국사가 되었다고 한다. 고려시대 문수사와 관련한 기록은 찾을 수 없으나 <범우고(梵宇攷)>에 사찰 이름이 나오는 것으로 보아 조선 후기까지 끊임없이 법등이 이어졌음을 알 수 있다.,,울주관광 https://www.ulju.ulsan.kr/tour,울산광역시 울주군 청량읍 문수산길 514,상시 개방,연중무휴,가능,,있음,,"문수산에 위치한 불교 사찰로 울산시민 및 불교신자들이 많이 찾는곳으로, 전망이 좋았습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울주 간월사지 석조여래좌상,"간월사는 신라시대 진덕여왕 때 자장스님이 창건하였다고 하는데 절터에서 나온 유물은 거의 모두 통일신라시대의 것들이다. 이후 임진왜란 때 불에 타 없어진 것을 고쳐지었으나 조선 말기에 폐사되었다. 후에 사람들이 암자를 세워 노천에 방치되어 있던 여래 좌상을 봉안하였다. 발견 당시 광배는 결손 된 상태로 대좌 역시 완전한 상태는 아니었지만 불상에서 보이고 있는 인간의 모습을 재현한 듯한 얼굴과 신체적 비례는 8세기말에서 9세기에 즐겨 사용된 기법이다. 머리에는 작은 소라모양의 머리칼을 붙여 놓았으며 그 위로 상투 모양의 큼직한 머리(육계)가 자리 잡고 있다. 얼굴은 둥글고 풍만하며 단정한 입과 긴 눈, 짧은 귀 등의 표현에서 온화하고 인간적인 느낌을 준다. 어깨는 좁아지고, 몸은 양감이 없이 펑퍼짐한 모습이다. 양 어깨에 걸쳐 입은 옷은 얇으며 U자형의 옷주름을 표현하고 있다. 얼굴과 신체의 풍만함과 좁아진 어깨 등에서 9세기 불상의 특징을 잘 보여주고 있다.
이 불상은 통일신라시대 불상의 모습을 보여주며 역사적 기록과 남아 있는 유구가 거의 없는 간월사지의 창건 연대를 확인시켜 준다는 점에서 그 중요성이 크다.",,울주관광 https://www.ulju.ulsan.kr/tour,울산광역시 울주군 상북면 알프스온천4길 15,09:00~18:00,매주 월요일,가능,보물 울주 간월사지 석조여래좌상 (1963.01.21. 지정),있음,,마음이 편안하고 따뜻해지는곳입니다~ 가슴이 답답할때 찾는 명소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구강서원,"포은 정몽주와 회재 이언적의 위패를 봉안한 서원으로 강학과 교화, 제향 등을 하며 조선시대 선비를 양성했다. 숙종 4년(1678)에 세웠으며 숙종 20년(1694)에 구강서원이라는 사액을 받아 약 200여 년 동안 강학과 향사를 봉행해 오다가 흥선대원군의 서원철폐령으로 고종 8년(1871)에 철폐되었다. 훼철된 후 옛터는 주거지로 변하였고 이를 안타깝게 여기던 지역 유림들이 서원복원 추진위원회를 결성하여 서원부지 800여 평을 매입하고 울산광역시에 기부채납해 복원했다. 현재는 한문교실, 청소년 인성 및 예절교육, 주부예절 및 교양강좌 등을 무료로 운영한다.",,울산중구문화관광 https://www2.junggu.ulsan.kr,울산광역시 중구 서원11길 45 (반구동),09:00~17:00,매주 일요일,가능,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동축사,"동축사는 울산지역의 고찰로서 신라의 불국토사상이 반영된 성지이다. 신라 진흥왕과 인도 아육왕의 정신적 만남이라는 역사적 배경을 가지고 있는 곳으로, 아육왕이 배에 실어 보낸 석가삼존불의 모형을 봉안하기 위해 세운 사찰이라는 연기설화를 간직하고 있다. 동축이라는 이름에서도 이곳이 범상치 않은 불국토임을 짐작할 수 있다. 즉 불국토의 고향인 인도가 서쪽의 나라이기에 서축이라 하였듯이 이와 대비되는 이름으로써 동축이라 칭하였던 당시 신라 불국토사상의 일면을 살필 수 있는 것이다. 이는 신라에 석가모니 과거불 시절부터 7개의 절터가 존재하고 있었다는 불연국토라는 사상이 내재되어 있는 것으로, 인도 아육왕을 이상으로 삼아 그의 족적을 쫒으려는 진흥왕시대 신라 불교문화의 부흥과도 연결된다. 일찍이 동축사가 자리한 이곳은 울산 동면8경 중 축암효종, 섬암상풍이라 하여 시인묵객의 발길이 잦았던 곳이다. 특히 동축사 정상의 관일대는 섬암이라 하여 동축사의 종소리와 함께 해뜨는 동해바다를 조망할 수 곳으로 유명하다.",,동구 문화관광축제 https://www.donggu.ulsan.kr/tour,울산광역시 동구 옥류로 93 (동부동),상시 개방,연중무휴,가능,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산체육공원,"총 912,310㎡의 울산체육공원은 자연적인 산림과 조화를 이루면서 조성되었으며 침엽수, 육송등 교목 15,848주와 영산홍, 백철쭉 등 관목 496,185본이 조성되어 있다. 테마별로는 북측 진입광장 중심부에 공원 현판석을 설치하였으며, 200여 년 된 으뜸소나무, 조형소나무, 마로니에광장, 2002 호반 산책로, 생태학습장, 장미원, 야외공연장, 호반광장, 제1·2 소공원, 벽천분수, 잔디광장 등이 조성되어 있다.",,https://www.uic.or.kr/main/mainPage.do,울산광역시 남구 문수로 44 (옥동),상시 개방,연중무휴,"가능
요금 (무료)
※ 주말과 공휴일은 유료로 운영됨",,"장애인 전용 화장실 있음(문수호빈광장 2개,테니스장,매표소 옆)",,넓고 탁트인 공간에서 마음 편히 놀 수 있어 좋았어요. 산책하기도 좋고 주변 편의시설도 가까워 마음에 들었어요 체육공원은 산책하기도 너무 좋고. 아이랑 킥보드 가지고 나가서 놀기에도 좋았어요 !! 호수주변으로 걷기에도 최고 ! 걷기운동하기 좋은곳입니다,,출입구까지 단차가 없어 휠체어 접근 가능함,,"장애인 전용 주차구역 있음(축구경기장 입구 5대,실내수영장 20대)_무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산애견공원,"울산 남구 문수국제양궁장 안에 있는 울산애견공원은 지난 2012년 3월에 전국 최초로 문을 연 반려견 전용 운동시설이다. 전국에서 유일하게 전용 수영장과 장애물 경기장을 갖춘 반려견 운동공원으로 해마다 이용자 수가 늘고 있다. 입장 주의사항은 4개월 미만의 어린 견들은 예방접종이 끝난 후에 출입이 가능하며, 전염성 질병 등이 있는 경우에는 출입이 제한된다. 접수처 건물 내에는 반려견인을 위한 다양한 프로그램을 운영하여 정보 교류 활동에 도움을 주고 있다. 대형견과 소형견 운동장이 따로 구분되어 운영 중이며, 집안에서만 생활하던 강아지들이 마음껏 뛰어놀며 스트레스를 해소할 수 있는 강아지들을 위한 공간이다.",,공식 네이버밴드 https://www.band.us/band/92394542,울산광역시 남구 남부순환도로 209 (옥동),09:00~17:00,매주 월요일 / 1월 1일 / 설·추석 연휴,"가능
요금 (무료)",,,,우리집 돌이와 산책겸 운동 나왔습니다. 울산애견공원에는 제법 많은 애견들이 놀려나왔네요. 잘 놀다 왔습니다. 울집 댕댕이랑 넓은곳에서 뛰어놀기 딱 좋아요 집근처라 주말이면자주가곤합니다 저렴한가격에 편히 있다 올 수 있어 너무 좋았어요 주말에 아이랑 멍멍이랑 같이나갈수있는곳이 부족했는데 애견공원을 안뒤로는 비가 오지않으면 자주갑니다 관리도 잘되어있고 눈치보지않고 강아지가 신나게 다닐수있어 저도 좋습니다,,,,,,,"미니풀장 / 애견운동공원(소형견, 대형견 별도) / 어질리티","- 남구주민 2,000원
- 타지역 3,000원
- 경감대상 1,000원
※ 경감대상 : 국가유공자, 독립유공자, 장애인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,펫티켓 행동교정
작천정 계곡,"작천정 계곡은 현 남쪽 5리 부로산 남쪽 기슭 아래에 있고 취서산 몇 리쯤에서 발원한다. 반석이 맑은 개똥벌레 불빛 일색이어서 바라보면 마치 옥판을 깐 듯하다. 냇가에는 바위하나가 웅덩이처럼 파여 술잔의 술을 따르는 모양이어서 내 이름을 작천정 계곡(작괘천)이라 하였다. 아래로 남천으로 흘러들어 울산 태화진으로 들어간다 하였다. 작천정 계곡은 거대한 화강암으로 된 옥산과 봉화산 사이의 협곡으로 이루어져 있으며, 화강암에는 유리의 원료가 되는 형석(螢石)이 많이 포함되어 있다. 자수정의 광맥도 이 형석인 어미돌로 이어져 있다. 이 모석을 따라 파 내려가면 단단한 화강암 속에 자수정 구덕이 형성되어 있다. 고려 충신 포은 정몽주의 글 읽던 자리와 언양 지방 3·1 운동의 중심지로서 역사성을 간직하고 있는 명소이다.",,https://www.ulju.ulsan.kr/tour,울산광역시 울주군 삼남읍 등억알프스로 133,상시 개방,연중무휴,"가능
요금 (무료)",,,,"작천정앞 작괘천은 커다란 암석으로 이루어져 풍류와 멋이 있고 사철 흐르는 물량이 많아 시원한 물소리와 함께 청량감이 좋았어요. 고전 드라마의 한 장면을 연상케하는 멋진 자연계곡이 다시 가고 싶을 정도로 기억에 남았답니다. 아이들과 물놀이 하기 너무 좋은곳이예요 근처 음식점도 많고 야영장이 있어 캠핑도 가능하지요 봄에는 벚꽃길이 장관이고 여름에는 애들과 물놀이하기 너무 좋은곳이예요 달빛,작괘,등억 캠핑장이 있어 아이들과 추억만들기 너무 좋은곳이예요 작천정은 울산과 대구에서 1시간반거리의 좋은 계곡입니다. 옆쪽 작천정 캠핑장과 달빛 캠핑장이있어서, 가족 여행으로 가기 너무 좋았고 작천정 계곡에서의 아이들과의 추억을쌓으며, 튜브로 미끄럼틀도 탈수 있어서 너무너무 좋았습니다. 앞쪽 매점과 시설물관리가 철저히 되고있어 너무 깨끗하고 쾌적한 공간입니다 한적한 여행지입니다. 성수기엔 복잡하지만 매년 여름 찾는 곳입니다 ㅎㅎ 추천합니다..👍",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산 롯데 그랜드 휠,울산고속버스터미널 바로 옆에 있는 롯데 영플라자 건물 7층에 위치한 공중관람차 시설이다. 영플라자 1층에서 매표 후 7층으로 올라가면 탑승할 수 있다. 일반 캐빈과 관람차 바닥이 투명유리로 되어있는 크리스탈 캐빈 두 종류의 관람차가 있으며 예매할 때 선택하면 된다. 건물 옥상에서 대관람차를 타면 1회 약 20분 동안 울산 전경을 감상할 수 있어 쇼핑을 하러온 손님과 관광객 모두가 찾는 명소이다.,,https://www.lotteshopping.com,울산광역시 남구 삼산로 288 (삼산동),"- 월요일~목요일 12:30~19:30
- 금요일~일요일 / 공휴일 12:30~20:30",연중무휴,가능,,있음,,일단 울산 삼산동이라 접근성이 뛰어나고 누구나 이용할 수 있고 밤에 타면 야경도 볼 수 있고 좋습니다 놀이공원이 없는 울산이라.. 관람차라도 탈 수 있어 다행이에요 연인끼리 타기 너무 좋았어요 백화점에 붙어있는 관람차죠 쇼핑과 함께 울산 구경을 한눈에 할수있어요 놀이동산에 있는거 보다 높아서 그런지 저는 좀 무서웠어요 ㅎ 애견카페도 있어 관람차를 안타고도 강아지 데리고 놀러가도 좋을거같아요 인상깊었던 여행지 중의 한곳이었어요 쇼핑몰 옥상에 대관람차가 있어요 그 높이가 어마어마하게 느껴져요 관람후에 주위에 쇼핑도 할수 있고 주위 맛집도 많아 다녀오시기 편해요 도심지라 주차도 편하고 아이와 다녀오기도 좋아요 울산 야경이나 전경을 높은 곳에서 유일하게 볼수 있는 곳이 아닌가싶어요^^ 저는 겁이 너무 많은데 아이가 타보고싶어해서 몇번이나 탔었네요ㅎㅎ 야경을 좋아하신다면 강추 야경이 매우 예쁜 울산의 랜드마크에요 !! 비용도 저렴한편이구 남자친구와 좋은추억 많이쌓고왔네요 ㅎㅎ,,,,,,,,,"[일반 캐빈]
- 대인 6,000원
- 소인 5,000원
[크리스탈 캐빈]
- 대인 7,000원
- 소인 6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함월루,"‘달을 품은 누각’이라는 뜻으로 예로부터 ‘달의 기운을 받았다’고 알려진 함월산에 위치했다. 중요무형문화재인 최기영 대목장이 도편수로 참여했고, 조계사와 해인사의 현판을 쓴 원로 서예가 송천 정하건 선생이 현판 작업을 맡아 최고의 완성도를 갖췄다. 누각 자체의 아름다움도 돋보이지만 세계에서 세 번째로 긴 현수교인 울산대교의 야경과 울산 시가지를 한눈에 조망할 수 있어 더욱 많은 사람들의 사랑을 받고 있다. 맛집과 예쁜 카페가 많기로 유명한 성안지구에 인접하여 연인들의 데이트 코스로 사랑받고 있다.",,https://www2.junggu.ulsan.kr/tour/index.do,울산광역시 중구 함월1길 7 (성안동),상시 개방,연중무휴,가능,,,,"달을 품은 누각이라는 뜻에 맞게 달빛보며 야경 보기 좋은 곳입니다. 작년 가을에 함월루를 갔었어요. 공기가 시원했고 야경이 예뻤죠. 2층 공간이 넓은데 나무기둥이 여러 개 세워져있어서 기둥 하나당 한 무리의 사람들이 모여 놀았네요. 딱히 뭔갈 하지 않아도 아파트가 바로 근처에 없고 조용한 분위기에 도란도란 노는게 즐거웠습니다. 바로 근처에 달모형 의자가 있는데 거기도 포토존으로 많이 사용하고 주차장도 커서 연인들, 친구들, 많이 와있던게 기억에 남아요^^ 울산 야경명소 함월루 입니다. 낮에가도 멋진 곳이지만 달을 품었다는 의미처럼 예쁜 달을 보기도 좋고 울산시내가 한 눈에 들어오는 야경이 일품입니다!! 한번은 꼭 가봐야지하면서 못가봤어요. 해 지고 야경보러가면 딱일거 같네요. ㅎㅎ",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산 경상좌도병영성,"1417년(태종 17)에 쌓은 울산 병영성은 해발 45m 이하의 낮은 구릉을 이용해 쌓은 조선시대의 전형적인 읍성으로 경상좌도 병마도 절제 사영의 주둔지였다. 전체의 평면 모양은 타원형이며, 성의 크기는 둘레 약 1.2㎞, 높이 약 3.7m 정도 된다. 처음 건립할 당시에는 여장(墻:적으로부터 몸을 보호하기 위하여 성벽 위에 설치한 낮은 담장과 같은 구조물) 등 기본적인 시설만 갖추었다가 세종·문종대에 와서 옹성(甕城)·적대(敵臺:雉城)·해자(垓字) 등 여러 방어시설을 설치하였다. 내부시설로 우물·도랑·창고 등이 있었다는 기록이 남아 있다. 과거 경상좌도 병마절도사영 위치를 기박 산성 자리로 옮기기 위해 그 둘레에 붉은 기를 꽂아두었는데 별안간 동해 쪽에서 일진의 광풍이 거세게 몰아쳤다고 한다. 이때 기 하나가 회오리바람을 타고 남쪽으로 날아갔는데, 그 방향을 따라가 보니 현재의 병영성 위치였다고 한다. 성을 풍수지리적 길지에 지어 외적의 침략을 막고 고을을 지키려는 백성들의 바람이 투영된 설화라 하겠다.

오랫동안 나라의 동남쪽 해안 방어를 담당하던 성은 임진왜란과 정유재란 당시 부근에 주둔하던 왜군이 이곳의 돌을 가져다 울산왜성을 쌓으면서 훼손되었다. 현대에 들어 도시개발사업이 진행되면서 성터만 남았다가 2010년부터 본격적으로 복원 사업이 진행되어, 지금은 많은 부분 원래의 모습을 되찾았다.",,https://www.heritage.go.kr/,울산광역시 중구 서동 149-8,상시 개방,연중무휴,가능,사적 울산 경상좌도병영성 (1987.07.18. 지정),,,산책하기에도 좋고. 비행기시간 맞으면 가까이서 볼 수 있어요 ^^ 역사가 살아숨쉬는 병영성에서 산책하기가 넘 좋습니다 근처 공항과 가까워서 운이 좋으면 가까이에서 비행기 사진도 찍을수 있습니다 고도가 높아 야경도 넘 예뻤습니다 근처에 시장과 카페도 있기때문에 맛집도 즐길수 있는 식도락 여행이었습니다 푸른 잔디와 나무 사이로 난 길을 따라 산책하기 안성맞춤인 곳입니다. 선선한 바람이 부는 날 울산 중구의 전경을 조망할 수 있는 병영성을 방문할 것을 추천합니다. 탁 트인 하늘과 마을을 조망할 수 있는 병영성! 인근에는 공항이 있어 운 좋은 시간대에는 비행기가 날아다니는 장면도 쉽게 마주할 수 있답니다. 성곽 주변에서는 예쁜 사진도 남길 수 있으니 방문해보시는 걸 추천드려요!,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수운최제우유허지 동학관,"수운최제우유허지 동학관은 울산광역시 중구 원유곡길에 위치한 사적지이다. 주변 산세가 좋고 주차시설도 잘 갖추고 있다. 건물 앞에 최제우유허지의 자음을 따서 만든 의자를 볼 수 있고, 규모는 지상 1층이며 연면적은 428㎡로 관리사무소, 회의실, 전시공간으로 이뤄져 있다. 동학관 주변으로는 수운샘물, 소규모 테마공원, 최제우유허지 비석, 잔디밭, 생가 2동, 주차장이 있다. 아이들과 실내에서 유익한 시간을 보낼 수 있는 곳으로 가족 단위 관광객들이 많이 찾는다.",,,울산광역시 중구 원유곡길 106-1 (유곡동),09:00~18:00,매주 월요일 / 공휴일,가능,,장애인용 화장실 있음(1층 입구에서 왼쪽),,,무료,,주출입구에 휠체어가 통과 가능함(수동문),장애인 전용 별도 주차칸 있음(2칸),,,,,,,,,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,
약사동 제방유적전시관,"약사동 제방유적 전시관에 들어서면 거대한 제방의 단면인 사다리꼴의 성토층이 전시장 한쪽 면을 가득 채우고 있다. 약사동 제방은 삼국시대 말에서 통일신라시대 초(6~7세기)에 축조된 수리시설로 다른 고대 수리 유적들과 달리 발굴을 통해 축조시기와 기법이 밝혀진 유적이라는 점에서 그 의미가 남다르다. 2년여에 걸친 발굴조사에서 축조방법을 확인한 결과 제방은 단순히 흙을 쌓아 만든 것이 아니라 현대의 댐처럼 매우 복잡한 구조로 되어있다. 가공된 기초지반 위에 점성이 높은 실트층과 패각류를 깔고, 잎이 달린 가는 나뭇가지를 이용한 부엽공법(敷葉工法) 등 고대토목기법이 사용돼 중요한 학술적 가치를 가진 것으로 평가된다. 태화강 하류에서 채집한 굴 껍데기의 탄산칼슘이 수분과 만나 흙을 더욱 단단히 잡을 수 있다는 것을 신라인들이 알고 있었다는 사실이 놀랍고 흥미롭다. 전시관에는 제방 유적 외에도 당시 지역민들의 생활상을 알 수 있는 농기구, 토기 등 출토품들이 전시되어 있으며, 다양한 영상자료를 통해 흥미로운 역사 공부의 기회를 제공한다.",,https://www.ulsan.go.kr/s/,울산광역시 중구 종가14길 22-28 (약사동),09:00~18:00,매주 주말,가능,,장애인 화장실 있음(1층),,,무료,출입구까지 경사로가 설치되어 있음(수동문),주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음(1대)_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,
화동못수변공원,"화동못 수변공원은 농업용지로 사용되던 화동못이 주변 개발로 인해 활용성이 없어지자 울산시가 주민들을 위한 휴식공간으로 탈바꿈시켜 수변공원을 만든 곳이다. 총 9,824㎡ 면적에 산책로와 전망대, 생태습지, 물레방아, 간단한 운동을 즐길 수 있는 체육시설, 전기차 충전시설을 구비한 주차장, 그리고 저수지 중앙에 분수 시설을 조성하였다. 자연을 온전히 담은 친환경 산책로를 걸으며 힐링할 수 있다. 화동못 수변공원은 아름다운 휴식공간이자 문화공간으로 주민들의 사랑을 받고 있다.",,https://www.bukgu.ulsan.kr/,울산광역시 북구 화봉동 324,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,산책로 / 생태습지 / 팔각정 / 버들다리 등,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세대공감창의놀이터,"세대공감 창의놀이터는 자신의 삶과 마음을 들여다보는 창, 세대와 세대를 열어놓는 창, 놀이를 통해 삶의 의지를 키워가는 공간, 삶의 의미를 지어가는 놀이터이다. 지하 1층에서 지상 1층으로 연결되는 그물놀이터와 지상 1층 나무놀이터는 영유아, 아동이 놀 수 있는 실내놀이터가 있으며, 2층과 창의놀이터 일대 자연공간을 활용하여 상설, 기획프로그램이 상시 운영되고 있는 복합문화공간이다.",,https://www.ubnori.kr,울산광역시 북구 중보1길 25 (중산동),"- 화요일~일요일 09:00~18:00
- 수요일 09:00~21:00 (달빛놀이터 18:30~20:50)","매주 월요일 / 공휴일 (단, 어린이날 제외)",가능 (약 80대),,,,예약하고 그물놀이터 이용했어요 ^^ 아이들도 신나게 놀고 같이 계신 지도해주시는 분들이 잘 놀아주시네요 ^^ 아이들이 놀 수있는공간이 있어서 좋아요 !! 예약하고 참여하면 되요 ^^ 6살부터 그물놀이터 이용가능해요 ^^,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,그물놀이터 / 나무놀이터 / 꼼지락공방 / 생태인문놀이 / 펀펀커피 / 꼬마목수 / 여자들의 힐링 향기 등
화암추 등대,"1961년 이후 울산에 공업단지가 조성되면서부터 산업의 대동맥인 석유화학제품들이 쏟아졌고, 울산항에는 이를 실어 나르는배들의 왕래가 잦아지게 되었다. 이에 따라 해양 오염사고 방지 및 선박의 안전항해를 위한 항로표지 설치가 절실히 요구되어져 울산항 관문에 위치한 꽃방마을 끝단에 천년동안 안전하게 항해하기를 기원하는거북이 모양의 화암추 등대가 세워졌다. 현대중공업 울산공업단지 안에 1994년 12월 동양최대 규모로 건립되어 머나먼 여정을 헤쳐온 선박들을 안전하게 울산항으로 인도하게 되었으며 엘리베이터를 이용하여 전망대에 오르면 생동감 넘치는 울산항과 24시간 불빛을 내뿜는 산업단지의 역동성을 한 몸에 느낄 수 있다. 또한, 화암추 등대 데크길은 야경명소가 되어 가족단위 관광객들이 많이들 찾고 있다.",,울산광역시 동구 문화관광축제 https://www.donggu.ulsan.kr/tour,울산광역시 동구 화암등대길 50 (방어동),09:00~17:00,매주 월요일,가능,,있음,,,,출입구까지 경사로가 설치되어 있음,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중구문화의전당,"울산의 진산 함월산 자락의 중구혁신도시에 위치한 문화의전당은 울산시민의 다양한 문화 수요를 담당하고 있다. 지하 1층, 지상 3층 규모로 2014년 개관하였으며 지하 1층은 소공연장 겸 리허설룸인 어울마루, 지상 1층은 별빛마루, 소리마루, 지상 2층은 함월홀, 달빛마루, 분장실이 있다. 지상 3층은 문화센터, 레스토랑, 하늘마당이다. 지상 2층의 함월홀은 499석 규모의 대공연장으로 외부와 분리된 이중구조, 전 객석 개별 냉난방, 전 대역 음향 가변장치, 공연에 맞는 자유로운 무대전환, 전 좌석 엇갈림배치로 무대중앙을 조망할 수 있는 특별한 구조를 갖추었다. 별빛마루와 달빛마루는 체육시설 및 각종 공연, 전시, 행사가 가능하며 소리마루는 다이내믹하면서도 섬세한 사운드를 부각한 음악, 영상 감상을 위한 최적화된 공간이며, 어울마루는 소규모 발표회가 가능한 소공연장이다. 레스토랑은 3층 옥상의 하늘마당과 연결되어 있으며 울산 원도심의 야경을 한눈에 감상할 수 있다.",,중구문화의전당 https://artscenter.junggu.ulsan.kr/,울산광역시 중구 종가로 405 (성안동),09:00~18:00 (휴게시간 12:00~13:00),매주 토요일~일요일 / 1월 1일 / 설·추석 연휴,가능,,,,,※ 공연 별로 상이함으로 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
