place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
군산 영화의 거리,"시간과 공간을 초월한 특별한 경험을 할 수 있는 곳이다. 그 중에서 초원사진관은 영화 <8월의 크리스마스> 촬영지로 잘 알려진 관광명소이다.
초원사진관은 영화의 주 무대로 내부에는 영화 촬영 당시 사용했던 사진기와 선풍기, 앨범 등을 고스란히 전시해 두었다.
초원사진관에서 4분거리에 있는 신흥동 일본식 가옥은 일제강점기 일본인 지주의 생활상과 농촌 수탈 역사를 알 수 있는 곳이다.
영화 장군의 아들, 타짜 등의 촬영지로 유명한 이 가옥은 군산의 대표 포토존으로 사랑받는 곳이다.
이밖에도 중심거리에는 제목만들어도 주연배우와 내용을 떠올릴 수 있는 유명 영화의 포스터와 설명등이 담벼락에 전시되어 있어 군산에서 촬영된 영화를 찾아보는 재미가 있다.",,,전북특별자치도 군산시 구영6길 60 (신창동),시간여행관광안내소(10:00~17:00) / 초원사진관(09:00~21:30),초원사진관(매주 첫째/셋째 월요일),가능,있음(시간여행관광안내소 옆/초원사진관 내),8월의 크리스마스를 좋아하는 엄마랑 군산여행을 온 김에 들러보았습니다. 초원사진관을 보며 영화를 떠올리고 천천히 걸으며 영화의 거리를 즐겼습니다. 영화의거리에서 사진도 찍고 재미있게 추억을 쌓을수있습니다. 영화도 보고오시면 2배로 재미있습니다. 주변의 관광지가 많고 영화 거리에 8월의 크리스마스 촬영지인 유명한 초원사진관이 있어서 인상깊게 구경하고 사진도 찍었던 곳이에요 축제기간에 방문해서 다양한 체험도 하고 주변 맛집도 방문 하는걸 추천합니다 군산은 영화를 생각보다 많이찍어요. 그래서 보러와서 촬영지를 경험하는것도 또다른 재미가 될수있습니다. 영화포스터들만 쭈루룩있고 딱히 영화의 거리라고 불릴정도는 아니지만 주변에 볼것 먹을 것들이 많아서 가보시는걸 추천드려요! 이성당이랑도 멀지 않고 초원사진관도 가깝고 히로쓰가옥도 가까워요 밤에 가면 가로등도 예쁘고 주변에 힙한 술집들도 많아서 낮에가도 밤에가도 좋아요!,,,,,,,무료,,초원사진관,,,,,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"백투더모던(군산문화관광 홈페이지 문의)
군산시간여행축제(10월중, 군산문화관광 홈페이지 문의)
해설사 동행투어(군산시청 관광진흥과 문의)"
늘미곡,"전북 전주시 완산구에 위치한 늘미곡은 전주 최초의 제로 웨이스트 숍이다. 잡곡을 메인으로 한 소분 숍으로 쌀, 서리태, 수수, 기장, 율무 등 호남평야 및 국내 각지에서 공수한 신선한 잡곡이 디스펜서 안에 종류별로 담겨 있다. 잡곡을 사기 위해서는 물건을 담아 갈 용기나 종이봉투를 지참해야 하며 용기 지참 시 5% 할인도 되니 자원뿐만 아니라 돈도 절약된다. 또한 친환경 시대에 걸맞은 천연 통수세미, 국내산 면으로 만든 강화 소창 수건, 일반 쓰레기로 버릴 수 있는 대나무 칫솔, 고체 치약, 스테인리스 빨대, 순면 생리대까지 종류도 다양하게 판매 하고 있다",,https://blog.naver.com/neulmigok-official,"전북특별자치도 전주시 완산구 선너머로 16 (중화산동2가, 중화산동 광진아파트)",10:00~18:00,매주 토요일~일요일,,,"1인가구가 많아지는 요즘, 알맞는 소비패턴의 가게입니다. 낭비없이 환경도 더 생각하게 되구요.!",,,,,,,,,,,,,,,,,,,,곡식 / 칫솔 / 치약 / 허브차 / 향신료 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부안누에타운,"부안누에타운은 누에와 뽕나무를 테마로 한 전시 및 체험관이다. 대한민국 청정지역인 변산면 유유마을에 위치하고 있으며, 부안의 오디와 뽕나무, 누에 등 뽕산업의 모든 것을 만나볼 수 있다. 부안누에타운은 민속 양잠기구, 3만여 마리의 희귀 곤충 및 국내 최고의 전자현미경을 보유하고 있는 누에곤충과학관, 어린이들이 뛰놀며 누에 및 곤충에 대해 배울 수 있는 정글탐사 체험형 과학시설인 탐험관, 항온항습시설을 갖춘 사계절 누에사육실과 오디뽕을 이용한 각종 체험을 즐길 수 있는 체험관 등으로 구성되어 있다. 부안 뽕산업의 역사적 산실이 된 부안누에타운은 누에의 생태체험, 오디와 뽕, 누에를 이용한 다양한 체험 등으로 무한한 감동과 즐거움을 선물하는 공간이 될 것이다.",,https://www.buan.go.kr/nuetown/index.buan,전북특별자치도 부안군 변산면 참뽕로 434-20,09:00~18:00 (매표 마감 17:00),"매주 월요일 / 1월 1일 / 추석·설날 당일
※ 단, 월요일이 공휴일인 경우 그 다음날 휴관","가능 (소형 102대, 대형 20대)",장애인 전용 화장실 있음,"입장료 저렴해서 좋아요. 천문대도 있어서 함께 이용하면 좋을거 같아요. 누에타운에 방문하여 누에와 뽕나무에대해서 자세히 알아볼 수 있었어요. 체험관에서 체험할 수도 있고 볼게 많아서 좋았어요. 조금 노후되긴했지만 아이들이 좋아하는 곤충, 동물이 많아서 다녀오기 좋았어요 이번 여름 휴가로 다녀온 부안 여행 중에서 인상깊었던 곳이예요..아이들이 누에 키우는 체험을 해봤던터라 누에가 고치를 틀고 나방이 되어 알 낳는 모습까지 다 지켜봤거든요..그래서 누에박물관이 더욱 흥미로웠는데 특히 명주실 뽑는 체험이 너무 좋았어요..우리가 입는 옷감을 만드는 실이 만들어지는 과정을 보니 교육적으로도 너무 좋더라구요.",무료,"- 성인(19~64세) 3,000원
- 어린이 및 청소년(5세~18세) 1,500원
- 경로(65세 이상) 1,500원
- 부안군민 1,500원
※ 무료 : 국가유공자 및 그 유족 / 장애인(1급~3급은 보호자 1명 포함) / 4세 이하 유아 / 하사 계급 이하 현역 군인 / 전북투어패스카드 소지자",출입구까지 경사로가 설치되어 있으며 보행의 연속성 양호(전체 면적의 80% 접근 가능),,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,있음,대여가능,대여가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"나무목걸이 / 누에고치공작물 / 나무곤충만들기 / 오디뽕 비누만들기 / 곤충표본 만들기
※ 체험료 별도"
월명공원,"월명공원은 군산시 중심에 위치한 시민의 안식처이자 관광지로, 봄에는 벚꽃과 동백꽃, 가을에는 단풍으로 많은 이들을 끌어들인다. 1906년 해망정 인근 9,907평을 각국공원이라 명명한 것이 시작이다. 1910년 한일합방 후 각국 조계지역 법이 폐지되면서 ‘군산공원’으로 이름이 바뀌었고, 1933년에는 수시탑이 있는 산 일대 6,088평을 추가 매입해 공원 면적을 확장했다. 광복과 한국전쟁을 거치며 삼림이 훼손되자, 1972년부터 수시탑에서 군산대 뒷산까지를 개발제한구역이자 공원지역으로 지정했다. 이와 함께 ‘군산공원’이라는 명칭은 ‘월명공원’으로 변경되어 현재까지 이어지고 있다.",,https://www.gunsan.go.kr/tour,전북특별자치도 군산시 월명공원1길 26,상시 개방,연중휴무,가능,장애인 화장실 있음,공원 마이 크닙다 ㅋ 운동삼아 사부작 다녀보면 좋아요 어릴떼 소풍으로 많이 갔던 곳이예요 그때는 군산에 볼거리나 즐길거리가 별로 없었어서 소풍이나 나들이로 많이 찾던 곳인데 지금은 많이들 찾아가지는 않는 것 같더라구요 많이 높지는 않지만 올라가면 군산 대부분이 보이기 때문에 가볍게 산책겸 올라가 보시는 것도 좋을 것 같아요 가볍게 산책하기 딱 좋은 코스에요,,,출입구까지 평지로 되어 있으나 흙(돌) 구간 있음,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신시도 어촌체험마을,"선유도의 동쪽에 위치한 섬으로 면적 4.25㎢, 해안선의 길이 16.5㎞로 고군산군도의 24개 가운데 가장 큰 섬이다. 최고점은 대각산(187m)으로 북서쪽에 솟아 있고, 남동쪽에는 신치산(142m)이 솟아 있으며, 200m 이하의 구릉성 산지가 많다. 취락은 남쪽 지풍금 마을에 주로 분포하며, 주민들은 대부분 어업에 종사하고 있다. 연근해에서는 새우·멸치·갈치·고등어 등이 잡히며, 김 양식이 활발하다. 농산물로는 쌀·보리·고구마·고추·콩 등이 자급할 정도로 생산된다. 새만금 방조제와 연결되어 있어 차량으로 방문이 가능하며, 어촌체험마을을 중심으로 개막이, 바지락 캐기, 낚시 등 체험관광이 활성화되어 있다.",,https://신시도어촌체험휴양마을.com,전북특별자치도 군산시 옥도면 신시도길 83-7 (옥도면),상시 개방,연중무휴,가능,장애인 화장실 있음,,,,,"주출입구 무단차
이동통로 보폭 넓음",,,"무료
※ 체험은 별도이므로 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임피향교,"임피향교는 1403년(태종 3)에 흑산리에 처음 세워졌으며, 임진왜란 때 소실된 뒤 1630년 중건되었고, 1710년 지금의 자리로 옮겨졌다. 전라북도 문화재 자료 제95호로 지정된 대성전을 중심으로 제향 공간과 명륜당, 동재·서재, 흥학당 등으로 구성된 강학 공간이 조화를 이루고 있다. 대성전은 정면 3칸, 측면 3칸의 맞배지붕 건물로 공자와 성현들의 위패를 모시고 있으며, 명륜당은 정면 5칸, 측면 2칸의 팔작지붕 건물로 강학 기능을 담당했다. 향교는 남동향으로 자리 잡아 제향 공간이 북쪽에, 강학 공간이 남쪽에 배치된 전형적인 향교 건축 양식을 따르고 있다. 현재는 조석규 전교를 중심으로 운영되며, 방학 중 청소년 예절교육 등 지역 문화교육의 장으로 활용되고 있다.",,https://www.gunsan.go.kr/tour,전북특별자치도 군산시 임피면 임피향교길 46 (임피면),09:00~18:00,연중무휴,가능,,,,,,,,,무료,전북특별자치도 문화유산자료 임피향교대성전 (1984.04.01. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비응도,"비응도는 지형이 매가 나는 형국이라 하여 이름 붙여진 곳으로, 현재 국내 최초의 해양업무도시 기능을 갖춘 다기능 관광복합어항으로 조성되고 있다. 이곳은 서해안 시대를 이끄는 어업 전진기지로서 어항 기능을 넘어 해양관광, 수산물 가공 및 유통, 휴양과 생활문화 공간 등을 두루 갖출 예정이다. 전망대에서는 서해의 아름다운 일몰을 감상할 수 있어 관광 명소로서도 주목받고 있다. 복합 기능이 어우러진 비응도는 지역 경제와 관광 산업을 동시에 견인할 핵심 거점으로 성장하고 있다.",,https://www.gunsan.go.kr/tour/m2205,전북특별자치도 군산시 외항로 1391,상시 개방,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군산 해망굴,"해망굴은 군산시 월명산 자락 북쪽 끝에 위치한 터널로, 해망동과 군산 시내를 연결하기 위해 만들어졌다. 1926년 군산항 제3차 축항공사의 일환으로 화물 하차장 확대, 부잔교 설치, 창고 건설과 함께 조성되었으며, 길이 131m, 높이 4.5m 규모로 완공되었다. 한국전쟁 당시 인민군 지휘소로 이용되면서 연합군의 공습을 받아 내부에 총탄 자국이 남아 있는 등 근현대사의 흔적도 간직하고 있다. 과거에는 차량 통행이 가능했으나 현재는 자동차 출입이 제한되고 보행자만 통과할 수 있다. 해망굴은 군산항과 구도심을 연결하며 군산 근대화의 상징적 유산으로 평가된다.",,https://www.gunsan.go.kr,전북특별자치도 군산시 군산창2길 48 (해망동),상시 개방,연중무휴,불가능,,산아래에 있는곳이라 주변에 비해 시원해요 바로 앞에 수산시장이 있어서 비린내와 시원함이 공존해요^^ 산을 지나 바다가 나오는 매직을 경험할 수 있어요 주위에 주차후 걸어와야 해요 이번에 여행가면 가봐야겠어요^^,,,,,,,무료,국가등록문화유산 군산 해망굴 (2005. 6. 18 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어청도,"어청도는 전북특별자치도 군산시에서 약 70km 떨어진 서해의 섬으로, 군산항에서 배로 약 2시간 30분이 소요된다. 섬 이름은 바닷물이 거울처럼 맑다고 하여 붙여졌으며, 실제 ‘청’ 자는 맑을 청(淸)이 아닌 푸를 청(靑)을 쓴다. 기원전 202년, 중국 전횡 장군이 군사와 함께 망명 도중 이 섬에 닿았다는 전설이 전해지며, 이를 기리는 치등묘제가 열린다. U자형의 어청도항은 태풍 시 선박 피난처 역할을 하며, 섬에는 모심기노래, 뱃노래 등 다양한 민요도 전승되고 있다. 1912년 일제강점기에 세워진 어청도 등대는 전통 한옥 양식을 일부 반영한 독특한 구조로, 고도 61m에서 최대 37km까지 빛을 비추며 아름다운 풍경을 연출한다.",,http://www.gunsan.go.kr/tour,전북특별자치도 군산시 옥도면 어청도길 95-7,상시 개방,연중무휴,가능,,"이전에 여행차 방문하였는데, 사람이 많지 않아 편하게 휴식하기에 너무 좋았습니다! 바다가 생각보다 깨끗해서 좋았구요! 날씨에 따라 배의 운행여부가 달라지니 방문 예정인 분들은 날씨를 날보고 가시기를 추천드립니다! 물이 맑고 푸르다고 해서 붙여진 이름 어청도 물도 맑고 볼거리 가득 어청도 등대,한반도 진형 그리고 불탄여 가는길 새소리 가득 1박2일을 머물려 민박집에서 멋는 음식까지 섬여행 어청도 대만족 물맑기가 그렇게 맑다니...직접 한 번 보고싶네요",,,주출입구 경사로 완만함,,,,무료,,,,,,,,,,,나무데크 산책로 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고사포해수욕장,"부안군 변산면 운산리에 있는 해수욕장으로, 약 2㎞에 이르는 백사장과 방풍을 위해 심어 놓은 약 300m의 넓고 긴 소나무 숲이 장관을 이룬다. 일대의 해수욕장 중에서 가장 큰 규모를 자랑한다. 서해의 다른 해수욕장보다 물이 맑고 깨끗하며 모래도 곱고 부드럽기로 정평이 나 있다. 물의 수온도 적당해서 여름철이면 해수욕을 즐기러 오는 가족 단위 관광객이 많이 찾는 곳이다. 소나무숲은 해수욕을 즐긴 후 그늘에서 휴식을 취하거나 야영장으로 적당하다. 또 서해의 해수욕장답게 일몰이 아름답기로 유명하다. 매월 음력 보름이나 그믐쯤에는 해수욕장에서 이곳까지 사람들이 현대판 모세의 기적이라고 부르는 약 2㎞의 바닷길이 열린다. 이때에는 섬까지 걸어갈 수 있으며, 조개나 낙지, 해삼 등을 잡는 즐거움도 누릴 수 있다. 해수욕장 앞에는 새우 모양을 닮았다 하여 하섬으로 불리는 작은 섬이 있는데 원불교 재단의 소유로 일반인들은 사전에 허가를 받아야 섬에 들어갈 수 있지만 바닷길이 열리면 섬까지 갯벗체험은 가능하다.",,http://www.buan.go.kr/tour,전북특별자치도 부안군 변산면 노루목길 8-8 (변산면),,,가능,있음(남녀 구분),나에게 해루질이라는 새로운 재미를 선사해준곳. 가을과함께 또 나에게 주어질 고사포 선물에 기대가 크다. 6월 1일에 다녀왔는데 동죽조개가 제일 많고 맛조개는 잘 안 보였고 비단조개인가 노란색 조개가 많이 있는 스팟이 있었어요 게는 별로 없었네요 어린이들은 가슴장화를 안 입고 수영복입고 물에 참방참방 들어가니 바닷바람때문에 많이 추워했어요 물때 맞춰서 방문하면 해루질도 가능해요~~ 조개 종류도 많고 작은 게들도 엄청 많아서 아이들 놀기 참 좋아요~ 해변이 완전 넓어요 아이들과 와서 물놀이하기에 딱 좋은 해수욕장입니다 와~고사포해수욕장 드넓게 펼쳐진 곳 너무 예뻐서 사진명소도 다양하고 연인들끼리 자주 즐길수 있는 곳입니다 저는 가족들과 갔는데 부모님도 너무 만족해하셔서 다음에 또 가기로 약속했어요^^ 서해안 갯벌체험으로 갔었는데 너무 좋았어요~조개도 엄청 많이 캐고~~모래갯벌이라 놀때도 좋고 뒷처리도 좋고~다음에 또 가고싶네요~^^,,,"평지 구조라 휠체어, 전동 스쿠터 사용자 이용 쉬움.","출입통로 형태 : 상시오픈형(개방형)
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.",,,,,야영장 / 샤워장 / 호텔 / 민박촌,,,,,,만 5세 이상,,,,,,,,,,,,,"대중교통 이용 가능 : 고사포 정류장
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산해안도로 (부안변산해안도로),"변산해안도로는 산과 바다가 어우러진 아름다운 해안 풍경과 변산의 명소들을 함께 돌아볼 수 있는 도로이다. 고사포해수욕장에서 시작해 하섬전망대, 적벽강, 채석강과 격포해수욕장에 이르는 약 8㎞ 구간의 해안도로이다. 새로운 자동차 전용 도로가 생겼지만 여행 고수들은 드라이브를 즐기기 위해 이 해안도로를 찾는다. 차창 밖으로 바닷바람을 느끼고 적벽강에서 붉은 바위와 절벽을 감상하며 바다를 즐기다 보면 일상의 스트레스가 절로 날아간다. 푸른 솔숲 캠핑장이 있는 고사포 해수욕장에서 명품 솔숲 산책로를 따라 걷는 것도 좋고 격포해수욕장에서는 닭이봉 한쪽에 있는 채석강의 멋진 풍경을 볼 수 있다. 일몰 때는 여기저기 노을로 더욱 진하게 물드는 변산의 절경을 감상해 보자.",,,전북특별자치도 부안군 변산면 변산해변로 765,상시 개방,연중무휴,가능,가능,변산해수욕장에서 적벽강을 거쳐 채석강까지 저녁낙조를 보면서 드라이브 멋져요 아이들이 탄성을지를정도입니다 근처 식당들도 맛있었어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부안청림천문대,"부안군 상서면에 있는 청림천문대청소년수련시설의 천문관이다. 8m 완전 개방형 돔과 1000㎜ 나스미스식 반사망원경(국내 최대)을 이용하여 행성과 별자리를 관측할 수 있고 천체 3D관람 및 태양 관측을 할 수 있는 프로그램을 운영 중이다. 이곳의 시설은 천문관을 포함해 교육관, 생활관, 풋살장, 족구장, 운동장, 무대 시설, 목조 데크 무대 시설, 쉼터, 별자리 파고라 등 부대 시설도 갖추어져 있어 알찬 일정을 만들 수 있는 곳이다. 야간 관측을 위해 생활관에서 숙박 예약을 진행 중이며 숙박하는 경우 더욱 편하게 별자리 관측을 할 수 있다. 천문대에서 보유한 관측장비는 달, 행성, 태양 흑점 등을 관찰할 수 있는 굴절망원경, 쌍안경, 반사망원경, 반사굴절망원경이 있다.
주변 관광지로는 변산반도국립공원, 부안누에타운, 부안청자박물관, 새만금전시관, 채석강, 적벽강이 있다.",,https://www.buan.go.kr/star,전북특별자치도 부안군 상서면 노적길 25,14:30~21:50,"매주 월요일 (단, 월요일이 공휴일인 경우 다음날 휴관) / 1월 1일 / 설·추석",가능,장애인 화장실 있음,청림천문대 왔는데 날씨가 구름가득입니다 저녁 8시 9시에 관측한다내요 부안에 천문대가 있는지 몰랐어요. 이번 여행지에 코스로 꼭 넣어볼께요!,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,"[개인]
- 성인 3,000원
- 어린이·청소년 2,000원
[단체]
- 성인 2,000원
- 어린이·청소년 1,500원
※ 무료 : 6세 이하 / 65세 이상 / 부안군 성실납세자 등 우대 및 지원 조례에 따른 유공납세자 및 그 가족
※ 자세한 사항은 홈페이지 참조",,,,엘리베이터 있음,대여가능,대여가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수련활동 / 상시관측 프로그램 / 특이천문현상관측 등
두포갯벌체험장,"부안군 변산면 도청리에 있는 갯벌 체험장이다. 두포는 본래 바닷물이 오간다고 하여 통할 통(通)자와 개 포(浦)자를 써서 통포(通浦)라 불렀고 통포의 높은 곳을 상두동이라 불렀다. 이후 1972년 행정 구역 조정으로 통포와 상두동을 합쳐 행정리로 분리하면서 상두동의 두(頭)와 통포의 포 자를 따서 두포라 명명하였다. 두포 갯벌 체험장은 하루에 두 번씩 모습을 드러낼 뿐만 아니라 바닥에 쌓인 퇴적물이 모래 갯벌이기 때문에 발이 빠지지 않고 걸어 다니기가 편안하여 갯벌 체험장의 조건을 잘 갖추고 있다. 갯벌체험장은 두포마을에서 운영하고 있다. 조개는 어패류 수산 자원 보호를 위해 성패 채취만 가능하며 하루에 1인, 1㎏까지만 채취할 수 있다. 근처에 상록 해수욕장이 있어 갯벌 체험과 함께 해수욕을 함께 즐길 수 있으며 주변에는 펜션 등의 숙박 시설과 식당이 있다.",,,전북특별자치도 부안군 변산면 궁항로 48,4월~10월 09:00~18:00,연중무휴,가능,있음,이곳은 주차하기도 편하고 정돈이 잘되어있는 체험장입니다 비가 많이 오니 사람이 아무도 없어요 ㅎ,,,,,,,"8,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조개캐기 / 갯벌체험
[변산 마실길 1코스] 조개미 패총길,"변산마실길은 새만금방조제 1코스부터 줄포생태공원 8코스까지 총 66km의 해안 길을 따라 조성된 길이다. 변산 마실길 1코스 조개미 패총길은 새만금 홍보관을 시작으로 대항리 패총, 변산해수욕장, 송포포구로 이어지는 길이다. 조개미 패총길은 밀물과 썰물에 따라 해안 야산 길과 바닷길을 선택하여 걷는 코스로 갯벌 체험을 즐기면서 남녀노소 누구나 걸을 수 있는 길이다. 대항리패총은 옛사람들이 조개를 먹은 뒤 버린 조개껍데기와 생활 쓰레기가 함께 쌓여 이루어진 유적으로 조개더미라고도 한다. 변산해수욕장은 서해안의 대표적인 해수욕장으로 하얀 모래와 푸른 솔숲이 어우러져 ‘백사청송’ 해수욕장으로도 불린다. 송포포구는 변산반도 북서쪽에 위치한 변산해수욕장의 남단에 움푹 들어가 있는 곳에 있는 어항이다.",,https://www.buan.go.kr,전북특별자치도 부안군 변산면,상시 개방,연중무휴,,있음,,,,,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새만금 메타버스 체험관,"새만금 메타버스 체험관은 메타버스 콘텐츠와 가상융합기술을 누구나 즐기며 체험할 수 있는 국내 최초 메타버스 체험관이다. 주요 시설로는 가상융합기술의 영역별 요소 기술 원리를 이해하고 체험할 수 있는 메타버스기술관, 메타버스로 변화하는 미래 생활 체험 콘텐츠를 프로젝터, 디바이스, 시뮬레이터를 활용해 직접 체험할 수 있는 공간인 메타버스 라이프관 등이 있다. 이외에 대형 스크린을 활용한 VR 레이싱 ‘퓨처레이싱’과 360도 회전하며 4D 입체 영상을 경험해 볼 수 있는 ‘자이로 VR’ 등이 있다. 다양한 체험 활동을 통해 즐거움과 지식을 바탕으로 창의력을 쌓을 수 있어 아이들과 함께 방문하기 좋다. 온라인 예약은 필수로, 시간대별 입장 정원을 50명으로 정해두고 있어 회차당 50명 미만일 경우 현장에서 입장권 구매가 가능하다.",,https://smgmetaverse.or.kr/,전북특별자치도 부안군 하서면 신재생에너지로 20-19,"- 하절기 (3월~10월) 10:00~18:00
- 동절기 (11월~2월) 10:00~17:00
※회차별 운영, 홈페이지 참고","매주 월요일 / 명절 당일(설, 추석) / 1월 1일",가능,,예약필수인곳..담엔 예약하고 제대로 관람해봐야겠어요 미디어아트 넘 멋찝니다 예약제 입니다~ 꼭 구경해보세요 ㅎ 5월에 당첨된 전북투어패스 사용해서 다녀왔어요 미리 예약하고 가야되요 체험권 추가 천원씩 내고 타는거 두개있어서 체험하고 왔는데 재밌어요 볼거리 체험거리 많아서 좋아요 예약하고 가야하고 키 140 제한 있어요 환불안된데요 확인하고 가세요 입구부터 신기하네요 아이들이 재미있어합니다 미리 예약하고 방문해야되요. vr체험은 아이들이 좋이해요. 다양한경험을 할수 있어서 좋았어요,,"- 일반 (18~64세) 6,000원
- 청소년 (초, 중, 고) 4,000원
- 아동 (36개월 이상) 2,000원
- 65세 이상, 36개월 미만 무료
※ 자세한 사항은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,퓨처레이싱 / 자이로 VR / 어트랙션 워크 / 스포츠 프로그램 등
전주목판서화체험관,"전주목판서화체험관은 전주한옥마을에 위치해 한국 목판 인쇄 문화의 맥을 이어가고 그 우수성을 알리기 위해 복원 사업, 전시, 체험교육을 진행하고 있다. 최초의 한글 문화유산인 용비어천가의 목판과 간행본 복원, 초조대장경 권자본 복원 사업을 수행하고 있으며 한글 고전소설인 완판본을 목판으로 복원하여 출판하고 있다. 체험 프로그램으로는 목판화 한지 벽걸이 채색 체험, 먹으로 찍은 목판화에 색을 칠하는 목판화 엽서 봉투 체험, 옛책 만들기, 연필꽂이에 색한지를 붙여 와당 문양으로 장식하는 와당 연필꽂이 등이 있다.",,http://blog.naver.com/jjmokpan.do,전북특별자치도 전주시 완산구 전주천동로 46 (교동),"- 동절기 10:00~17:00
- 하절기 10:00~18:00",매주 월요일 / 설·추석,가능,있음,,,,,,,,"- 목판화 한지벽걸이 체험 10,000원
- 목판화 체험 3,000원
- 옛책만들기 50,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목판화 한지 벽걸이 채색 체험 / 목판화 엽서 봉투 체험 / 옛책만들기 등
용추계곡,"용추계곡은 임실의 명산 백련산에서 발원한 구고천 상류 두복저수지 밑에 있는 층암 괴석 사이를 흐르는 물이 모여서 형성한 계곡이다. 저수지인 용추제와 용추2제의 중간에 위치한 용추계곡은 저수지가 축조되기 이전에는 용추폭포와 용소, 그리고 용이 승천할 때 앉아있던 발자국이 있었다 하여 관광명소로 손꼽혔다. 용추제가 축조된 후로는 흐르는 물이 적어 용소가 메워져 옛날과 같지 않지만 비가 내리면 위에서부터 내리쏟아지는 용추폭포의 물줄기가 지금도 장관을 이룬다.",,임실관광 https://www.imsil.go.kr,전북특별자치도 임실군 청웅면 두복리,상시 개방,연중무휴,불가능,,"시원한 여름을 만끽하기 위해 용추계곡에 다녀왔었어요! 맑은 물소리가 정말 듣기 좋았고, 계곡 물에 발을 담그니 더위가 싹 가시는 기분이었어요. 계곡 주변의 푸르른 자연 풍경은 눈이 절로 맑아지는 느낌을 주었고 사진도 예쁘게 잘 나와요! 맛있는 음식도 먹고, 친구들과 함께 웃고 떠들며 즐거운 시간을 보냈답니다. 추천드려용",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
