,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,화장실,지정현황,주차 요금,이용요금,접근로,출입통로,수유실,이용가능시설,장애인 주차 안내,엘리베이터,휠체어,유모차,시설이용료,수용인원,할인 정보,지체장애 기타 상세,주차요금,판매 품목,오디오 가이드,점자 홍보물,대중 교통,체험가능 연령,규모,시각장애 기타상세,관람석,주요시설,보유장비,대여안내,강습안내,부대시설,이용 시기,개장기간,유아용보조의자,객실,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,객실유형,점자 블록,안내 요원,코스안내,보조견 동반,입점브랜드,노래방 여부,예약안내 홈페이지,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
602,밀양햇살상권,"밀양햇살상권은 밀양아리랑시장을 시작으로 해천항일운동 테마거리, 동가리 의열거리 등 다양한 테마 거리들이 조성되어 있어 맛집과 볼거리가 풍성한 관광 및 휴식 공간이다. 또한, 밀양의 대표 명소인 영남루와 밀양관아가 인접해 있어 전통과 역사를 함께 체험할 수 있는 최적의 장소로 밀양 시외버스 터미널과 밀양역이 가까이 있어 교통 접근성 또한 뛰어나, 많은 방문객들이 편리하게 찾을 수 있다.",,http://www.sunarirang.com/,경상남도 밀양시 상설시장2길 2 (내일동),상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,다솔사(경남),"다솔사는 신라 지증왕 때 범승 연기조사가 창건한 역사 깊은 고찰로, 임진왜란 때 소실되었는데 그로부터 10년이 지난 후인 숙종 12년(1686)에 승려들이 힘을 모아 10년 세월에 걸쳐 중창불사로 크게 중흥했다. 그러나 62년이 지난 후인 영조 24년(1748)에 큰 불로 말미암아 불행히도 큰 재앙을 겪었으며 같은 왕 34년(1758)에 여러 스님이 또 합심하여 명부전과 대양루 그리고 사왕문을 중건했다. 그런데 1914년 12월에 또 화재가 일어나 모든 전각이 불탔으나 다행히도 대양루는 소실되지 않았으며 그 이듬해부터 3년간 중건 끝에 현존하는 것이 이 건물이다.",,https://dasolsa.kr/,경상남도 사천시 곤명면 다솔사길 417 (곤명면),상시 개방,연중무휴,가능,무료,"법당안의 와불 뒤로 투명창이 있어 바깓 뒤켠의 사리탑이 보여 흥미로웠다. 부처님이 편안하게 누워있다는 다솔사 조경이 잘되어있고 주변에 산책하기 좋아서 힐링하기 좋은곳 입니다. 다솔사는 가을에 가면 참 예뻐요. 올해는 11월 하순에 다녀왔는데 올해 날씨가 따뜻해서 그런지 절 들어가는 산책로에 노란 꽃들이 만개해 있었고 절 뒤편 녹차밭에 있는 은행나무도 노란 은행잎을 아직까지 풍성하게 달고 있더라고요. 그리고 적멸보궁에 들어가면 부처님의 열반상 뒤로 유리창문을 내어 진신사리탑이 보인답니다. 절 뒤로 등산로도 있어 등산객들도 많이 찾는 곳이에요. 사천에 가시면 꼭 한 ...
더보기 어느 계절에 가도 탁트인 전경과 푸른숲이 마음과 정신을 맑게 해주는 곳이에요. 차분하게 기도하며 사색하기에 다솔사만한 곳이 없어 드라이브겸 종종 다녀오곤 합니다. 산책로도 길고 주변에 벤치 등이 있어 쉬어가며 걷기도 좋아요. 주차장이 넓어 주차도 편하고 화장실도 잘 되어있어 부모님 모시고 다녀오기 좋습니다 예전에 우담바라 나왔다고 한 뒤로 부처님오신날에는 다솔사 방문하고 있어요. 다솔사 뒤로는 등산로가 있어서 걷기 좋아요.(진입쪽이 가팔라서 조금 힘들지만 이후로는 괜찮아요.) 등산로에 보안암도 조심히 들르기 좋아요. 주차는 두군데 라고 생각하면 되는데 절 쪽에 주차하려면 쭉 올라가다 공터가 있어서 거기서 하면 되는데 그늘은 없어요. 그리고 주차장 올라가는 길 내려가는 길 따로 있어요. 가게 있...
더보기 해떨어질때 찍은 사진 멋지네요 다솔사를 향해 뻗어있는 솔숲, 다솔사의 주변을 둘러싸고있는 대숲, 다솔사의 뒷편을 든든히 지키고 있는 차숲, 그 모든 숲을 감상한 뒤 가만히 앉으면 찾아오는 바람의 숲, 마지막으로 여행을 마친 뒤 집까지 찾아오는 그리움의 숲까지 다솔사의 다섯가지 매력을 느껴보시는 것을 추천합니다!",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,둔철산,"둔철산은 황매산에서 흘러내린 능선이 정수산을 거쳐 경호강에 산자락을 내리면서 우뚝 솟아있는 산이다. 산청읍과 신안면, 신등면 사이에 있으면서 웅석봉과 마주하며 철을 생산했다는 전설을 갖고 있어 둔철산으로 불린다. 산행코스산는 다양하다. 신안면 심거마을에서 시작해 깊은 골로 해서 둔철산 정상으로 곧장 오르는 코스와 외송리에서 암봉을 거쳐 정상에 가는 코스, 월성 초등학교 둔철 분교가 있는 둔철에서 정상으로 가는 코스, 척지마을에서 둔철산으로 가는 코스, 신등면 단계에서 정취암을 들머리로 대성산에 올랐다가 능선을 타고 둔철산으로 가는 종주코스가 있다.
주변 관광명소로는 효렴봉, 대성산 등이 있다.",,산청 문화관광 http://www.sancheong.go.kr/tour,경상남도 산청군 산청읍 범학길,상시 개방,연중무휴,가능,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,창원 진례산성,"김해시 진례면과의 경계를 이루는 비음산 위에 축조된 둘레가 4㎢에 이르는 포곡식 석축산성으로 통일신라시대 때 축성된 것이다. 조선시대에 편찬된 신증동국여지승람에 따르면 진례산성은 김해부 읍치의 서쪽 35리에 있으며 통일신라의 김인광이 진례성제군사였던 것으로 보아 통일신라 때에 축성되었음을 알 수 있다. 다만 이 책이 편찬될 무렵에는 이미 폐성이 되어 옛터만 남아 있었다. 진례산성은 통일신라 말의 후삼국 혼란기에 후백제가 경상도 지역으로 진출하기 위해 반드시 거쳐야 하는 군사적 요충지였다. 성문지는 세 군데서 확인되었으며 비교적 양호하게 남아있는 동쪽벽 일부 구간은 높이 1.5m, 너비 1m 정도의 규모이다.",,창원 문화관광 https://culture.changwon.go.kr,경상남도 창원시 성산구 토월동,상시 개방,연중무휴,가능,무료,,있음,경상남도 기념물 창원 진례산성 (1993.12.27. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,"생초시장 (3, 8일)","옛날 시골장 정취를 이제는 느끼기 어렵지만 아직도 시골 아낙네나 할머니들이 남새밭에서 재배한 무공해작물(상추, 열무 등)이나 자연산 채취 산나물, 버섯 등이 나오고 있다.",,,경상남도 산청군 생초면 어서리 259 생초시장,06:00 ~ 10:00 이전 (점포별상이),,,,,,,,,,,,,"장애인 전용 주차구역 주차 대수 : 2대
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 없음.
시장까지의 거리 : 바로 앞",,,,,,,,,"농산물, 특산물",,,"대중교통 이용 가능 : 어서리 정류장
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,마금산,"마금산(279.1m)은 창원특례시 북면 신촌리에 있는 작은 산으로 <대동지지>에 철마봉이라는 이름으로 등장하고 마고라는 선녀가 살았다고 하여 마고산이라 불렀다고 전해진다. 지금의 이름은 인근의 천마산(371.8m)과 여기서 솟는 온천수를 금이라 여겨 마금산으로 됐다고 전한다. 마금산은 마금산온천을 끼고 있고 농촌 들녘의 풍요로운 경치와 낙동강을 조망할 수 있으며 등산 후 온천욕을 즐길 수 있는 등산 여행지이다. 마금산은 낮은 산으로, 창북중학교 앞~마금산~온천구름다리~천마산~바깥신천마을의 제일 긴 코스를 택하여 등산해도 3시간이면 충분히 산행할 수 있는 산이다.",,창원관광 https://www.changwon.go.kr/tour,경상남도 창원시 의창구 북면 신리길30번길 일대,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,밀양강둔치,"밀양시 삼문동에 위치한 밀양강둔치는 제방을 따라 길게 이어진 산책로가 있어 가볍게 걷기 좋은 곳이다. 밀양강을 따라 걷다 보면 강 건너로 밀양의 보물 영남루까지 한눈에 담을 수 있어 아름다운 풍경을 감상할 수 있다. 또 밀양 아리랑 길이라 해서 영남루 수변공원길, 추화산성길, 금시당길 몇 가지 산책코스가 있어 취향에 맞게 선택하여 걸을 수 있고 아름다운 숲 대회에서 우수상을 받은 곰솔 650본이 있는 소나무길 삼문 송림도 볼 수 있다. 자연 속에 노출된 바위나 동굴 벽에 여러 가지 동물이나 기하학적 상징 문양을 새겨놓은 암각화 조각 공원도 있어 구경하는 재미가 있다.",,밀양시 문화관광 https://www.miryang.go.kr,경상남도 밀양시 중앙로 282-12 (삼문동),상시 개방,연중무휴,가능,무료,"건너편 밀양루로 보면서 산책코스로 딱 입니다 밀양 삼문동 밀양강 둔치 입니다 지금은 양귀비꽃이 한창이네요 걷기도 좋고 꽃도 많고 산책하기 좋아요 밀양 아리랑 대축제를 진행했던 밀양강 둔치입니다. 오리배도 탈 수 있고, 커피 한잔들고 한적하니 걸을 수도 있는 곳이죠ㅎ둔치 주위로 벚꽃도 아름답게 핀답니다 3월말 밀양 삼문동 밀양강 둔치 야간 벚꽃길 걷기 너무 좋아요",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,모산공원,"김해 장유동에 있는 모산공원은 넓은 산책길과 숲 체험장, 유아 체험장 등이 있어 어린이와 함께 가기 좋은 공원이다. 유아 숲 체험장은 6세부터 13세까지 이용할 수 있으며 집라인, 경사 오르기, 흔들 다리, 널판 건너기, 흔들 포켓 등이 있어 어린이들에게 인기가 높다. 공원 곳곳에 벤치, 테이블이 마련되어 있어 편하게 이용할 수 있다. 넓은 잔디 구장과 트랙이 있어 언제든 운동을 할 수 있도록 개방해 놓았다. 여름에는 바닥분수 공원도 운영하고 있다. 어린아이와 어른들을 위한 다양한 공간이 마련되어 있어 남녀노소 힐링할 수 있는 공원이다. 공원 근처에 워터파크와 롯데 아울렛이 있어 함께 방문해도 좋다.",,,경상남도 김해시 율하4로 12,상시 개방,연중무휴,가능,무료,숲놀이터가 있어서 좋아요! 모산공원은 아이들과 함께 놀기에 너무 좋은 곳이에요 놀이터도 잘되어있고 산도 낮아 아이들과 산책하기 좋아요 적극 추천합니다,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,거창은행나무길,거창 학리 의동 마을 입구에 있는 은행나무길은 노랗게 물든 은행잎이 황금길을 만들어 가을의 풍미를 느낄 수 있는 명소이다. 관광 사진 공모전을 통해 알려지기 시작하여 많은 관광객이 찾는 곳이다. 그리 길지 않은 거리지만 여러 그루의 은행나무에서 떨어진 은행 나뭇잎이 황금빛 길을 만들어 멋진 장관을 이룬다. 해마다 가을이면 많은 인파가 이곳으로 몰려든다. 은행나무 길 포토존으로는 오래된 건물 지붕 위에 은행 나뭇잎이 쌓여있는 창고가 적격이다. 차로 10분 거리에 거창 사과테마파크 전시관도 있어 함께 방문하기 좋다.,,거창 문화관광 https://www.geochang.go.kr,경상남도 거창군 의동1길 36,상시 개방,연중무휴,불가능,,"와… 가을만되면 은행나무길이 너무 가고싶어지더라구요~ 선선한 바람~ 떨어지는 은행나뭇잎, 햇빛 모든게 다 너무 좋았어요^^ 가을은 은행나무죠👍 거리가 길진 않아도 사진찍느라 시간가는 줄 몰랐답니다 여기저기 모두 다 포토존입니다! 거창 의동마을에 은행나무길은 이번 주말 제일 예쁠 예정입니다! 떨어지는 은행잎이 반짝거리면서 너무 예뻐요~ 이곳은 특히나 오후 늦은 시간 4-5시에 빛이 황금빛으로 들어와서 좋고 산에 가려져서 빛이 일몰보다 빨리 사라지니 늦장 부리면 안되요! 이번주 다녀왔어요. 노란은행나무가 가을햇빛에 반짝반짝 빛나는게 아름다웠어요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,입곡문화공원,"함안군 산인면 입곡리에 있는 입곡 문화공원은 입곡군립공원 공설운동장 안 골짜기에 있다. 연못, 산책로, 무늬화단, 유리온실, 미로원, 박제 전시관 등 볼거리가 많다. 유리온실에는 먼나무, 녹나무, 굴거리나무, 하귤나무 등의 교목류를 비롯해 관음죽, 멀꿀, 중대 가리나무, 탐라산수국 등의 관목류와 아름다운 꽃들이 심겨 있다. 야생화 꽃밭에는 원추리, 상사화, 기린초, 쑥부쟁이, 꽃창포, 수선화 등이 식재되어 있어 사계절 내내 다양한 야생화를 볼 수 있다. 입곡 문화공원 입구에는 44종의 멸종 위기에 처한 동물의 모습을 전시해 놓은 박제 전시관도 있고 미로공원도 있어 가족, 친구, 연인과 함께 즐거운 시간을 보낼 수 있다. 근처에 문화재로 지정된 무진정도 가까이 있어 함께 둘러보기 좋다.",,함안군 문화관광 https://www.haman.go.kr,경상남도 함안군 산인면 입곡공원길 224-41,상시 개방,연중무휴,가능,무료,,있음,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,화왕산군립공원,"화왕산은 경남 창녕에 위치한 화산으로 정상부 둘레를 따라 화왕산성이 자리하고 있고, 북쪽 봉우리에서 서쪽으로 길게 이어지는 능선을 따라 창녕 목마산성이 펼쳐져 있다. 화왕산은 사계절 내내 아름다운 풍경을 자랑하는 산으로, 봄에는 수십만 평에 이르는 진달래 군락과 철쭉이 장관을 이루고, 여름에는 짙은 녹음과 시원한 계곡이 매력적이다. 가을에는 황금빛 억새가 광활한 억새초원 위로 일렁이며 장관을 이루고, 겨울에는 눈 덮인 설경이 아름다워 사시사철 많은 등산객과 관광객들이 찾는다. 더불어 역사 유적이 어우러진 화왕산은 가족 단위 여행객은 물론, 역사와 자연을 동시에 즐기려는 탐방객들에게도 추천할 만한 명소다.",,https://www.cng.go.kr/,경상남도 창녕군 창녕읍 옥천리,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,가능,무료,초봄인데도 넓은 억새평원이 맘을 편안하게 해주는 곳입니다. 산행코스도 둘레길처럼 어렵지않아 많은 사람들이 즐기기에 좋을꺼 같습니다. 진짜 멋진 억새의 향연! 올라가는 길은 힘들었지만 너무 절경에 만족했음😊 3등산로 올라가서 원점회귀 했는데 다른분들 1등산로가 뷰가 좋다네요~정상뷰 멋졌어요~초입에 관리가 안되는 느낌이들었고 화장실 새로 설치해 줬음 좋겠습니다. 날씨 좋은 날에 가면 풍경이 너무 좋아요. 봄에 진달래가 예쁘게 피어있고 중간에 절도 구경할 수 있어요. 3등산로로 올라가서 1등산로로 내려오면 편한코스 반대는 조금 힘든 코스. 일때문에 창녕에있을땨 몇번 가봤는데 조아요 주말에 가볼예정,장애인 전용 화장실 있음(매표소화장실),,,,,,,,장애인 전용 주차구역 있음(7대)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,명사해수욕장,"‘명사’라는 지명에서 알 수 있듯이 모래의 질이 좋고 물이 맑은 해수욕장이다. 아름다운 모래사장뿐만 아니라 해수욕장에 이르는 오솔길이 운치 있기로도 유명하다. 해변 규모는 길이 350m, 폭 30미m로 맑고 고운 모래가 완만한 경사를 이루며 유리알같이 빛난다. 주위에는 천년 노송이 우거져 있어 무더운 여름 피서지로 적당한 곳이다. 최근 해수욕장 일부에 댕해수욕장을 개장하여 반려견과 함께 해수욕을 할 수 있는 곳이다. 해안변 가까이에서 낚시를 즐기거나 홍포·여차의 다도해를 관광할 수 있다.",,거제관광문화 https://tour.geoje.go.kr/,경상남도 거제시 남부면 명사해수욕장길,상시 개방,연중무휴,가능,,,장애인 전용 화장실 있음(공중화장실),,,,해안가까지 무단차 연결구간 있음,,,,장애인 전용 주차구역 있음(명사초 근처 주차장)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,사천항공우주과학관,"사천항공우주과학관은 항공우주과학에 대한 무한한 꿈과 상상의 나래를 펼쳐 나가는 곳이다. 본 과학관은 항공 우주 전문 과학관으로서 상설전시실, 4D영상관, VR체험존, 기획 전시실, 야외 전시장 등을 갖추고 있으며 1,2층 전시실은 생각 발견, 신 재생에너지, 항공체험, 우주탐험, 우주를 향한 무한한 상상 등 5가지 테마로 구성된 전시 · 영상 · 체험시설과, 4차원 입체영상에 의자 진동, 바람, 향기 등 특수 효과를 온몸으로 느낄 수 있는 4D영상관을 통해 항공 우주에 대한 오감을 만족시키는 전문 과학관이다.",,https://www.sacheon.go.kr/00001.web,경상남도 사천시 사남면 공단1로 108,"[하절기(3~10월)]
- 09:00~18:00
- 매표 마감 17:00
[동절기(11월~2월)]
- 09:00~17:00
- 매표 마감 16:00","매주 월요일 (단, 공휴일과 겹치는 경우 그 공휴일 다음의 첫 번째 비공휴일) / 1월 1일 / 설·추석 당일",가능 (36대),,"가족들과 함께 다녀왔습니다. 전시관은 1층과 2층으로 나누어져 있었습니다. 종이비행기 날리기 체험, 항공 종사자 옷들을 입고 배경에서 사진도 찍고 비상탈출체험등 다양한 체험활동을 할수 있어서 아이들이 더욱 좋아했습니다. 가족단위로 오면 더욱 좋을것 같습니다. 가족여행왔어요. 아이들 체험하기 좋아요~ 우린 다 성인이였지만^^ 알찬정보도 많아요~ 야외전시장에도 전투기가 많아서 정말 볼거리가 가득합니다. 실내도 아주 깔끔하고 체험 위주 구성으로 아이들과도 가볼만한 곳입니다. 주차도 가능하고 찾아가는 길도 어렵지 않아요 사천 갔다가 우연하게 들렸습시다 하지만 가성비와 평소에 보기 힘든 비행기와 헬기, 실물 전시가 마음에 들었습니다 그리고 VR체험까지 ! 사천여행 중 우연히 들렀지만 최고의 하루를 만들어준 곳 추천합니다@ 사천여행중 초등아이들을 위해 들렀습니다. 무더위를 식힐수 있고, 1,2층에 걸쳐 종이비행기 날리기, 비행기 조립키트만들기,VR체험으로 2시간 정도 여유있게 돌수 있는 코스였습니다. 선선한 가을날씨에 다시 간다면 야외도 둘러보고 바로 옆 박물관도 같이 가 볼 수 있을것 같습니다. 몇일전 5세 딸아이 데리고 방문. 밖이 너~~~~무 더워서 피신?겸 갔었어요 저렴한 입장료에 유아는 무료입장~ㅎㅎ 신기하고 재미난게 많았어요 우리 아이는 아직 공주 좋아하는 아이라ㅋ 관심이 좀 덜했지만 우주에 관심많은 아이는 아주 좋아할것같아요 우리나라의 항공 역사가 살아숨쉬는 첨단항공우주과학관에서는 지금껏 과학관에서는 느껴보지 못한 재미를 느낄 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,삼가향교,"삼가향교는 조선 세종 때에 세웠다고 하며 임진왜란 때 불탄 것을 광해군 4년(1612)에 다시 지었다. 1826년 정우용이 대성전을 현재의 위치로 이건하였으며 이때 풍화루와 흥학당을 중수하였다. 대성전에는 5성, 송조 4현, 우리나라 18현의 위패가 봉안되어 있다. 전체적인 건물배치는 공부하는 곳인 명륜당이 앞에 있고 제사를 지내는 곳인 대성전이 뒤에 있는 전학후묘의 형태이다. 기록상에는 원래 동·서재와 사당인 동·서무가 있었던 것으로 보이나 향교가 교육의 기능을 잃어버리면서 철거된 것으로 보인다. 현재는 출입문이자 휴식공간이었던 풍화루, 명륜당, 사당 출입문인 내삼문, 대성전만 남아 일직선으로 되어 있다. 향교 동쪽 담장에는 책을 보관하는 전사청, 관리사, 사당, 재실 등의 건물이 있다.",,합천군청 문화관광 https://www.hc.go.kr,경상남도 합천군 삼가면 소오2길 18-5,상시 개방,연중무휴,가능,무료,,,경상남도 유형문화유산 삼가향교 (1983.08.06.지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,상상산책길,"상상산책길은 지심도가 바라보이는 곳에 있는 대나무 산책길이다. 호텔상상에서 조성한 산책로로 야간 조명이 되어 있어서 야간에도 산책할 수 있는 곳이다. 산책로는 짧은 200m 길로 대나무가 심어져 있는 산책로로 중간에 쉴 수 있는 벤치도 마련되어 있으며 산책로 끝에는 몽돌해안이 있어 바닷가를 돌아볼 수 있으며, 해안을 따라 거제 남파랑길 20코스가 연결되어 있어서 짧은 상상산책길이 아쉽다면 남파랑길을 계속 산책할 수 있다.
인근에 지심도, 장승포항, 지세포항이 있어 어촌 여행을 겸하여 관광할 수 있는 곳이다.",,,경상남도 거제시 일운면 소동리 산 1-4,07:00~22:00,연중무휴,가능,무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,스페이스미조,"스페이스 미조는 남해 미조항 어민들의 생활과 함께 했던 냉동창고를 리모델링한 복합문화공간이다. 1986년 지어진 이 건물은 얼음과 물고기를 저장하던 어항의 주요 시설이었으나 2002년 새 냉동창고가 지어짐에 따라 유휴건물로 방치되었다. 그 후 2022년 스페이스 미조 프로젝트의 일환으로 이 건물은 지역 문화를 품은 복합문화공간으로 재탄생하였다. 4층으로 이루어진 스페이스 미조는 지역 복합문화공간으로서 전시관, 공연장, 아티스트 레지던시, 카페, 레스토랑으로 구성되며 남해 미조의 문화 거점시설로 가동하면서 지역 문화 활성화를 위한 문화 프로그램을 운영하고 있다.",,,경상남도 남해군 미조로 254,11:00~20:00 (마지막 주문 19:00),매주 수요일,가능,공연 별로 상이함,,장애인 화장실 있음(1층),,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),,,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,마산현대미술관,"마산현대미술관은 문 닫은 학교를 리모델링한 새로운 재생개념의 문화공간으로 조성된 자연과 함께 문화예술을 즐길 수 있는 열린 문화공간이다. 전시장, 야외조각전시장, 세미나실, 아트북카페 등이 운영되고 있다.
정기적으로 전시회, 음악회 등의 행사를 개최하며 누구나 문화예술을 즐길 수 있다. 판화, 도예아카데미 등 체험프로그램과 국제적 레지던스프로그램도 함께 운영하고 있다.",,http://www.mac2004.or.kr,경상남도 창원시 마산합포구 진전면 팔의사로 361,"- 하절기 10:00~18:00
- 동절기 10:00~17:00","매주 월요일 / 설·추석 연휴
※ 임시휴관시 별도 공지",가능 (소형 20대),,,,,무료,"- 성인 3,000원
- 어린이 2,000원
※ 아트북카페 이용 시 무료",,,,,,,,,,,10인 이상 단체 예약 시 10% 할인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,도예체험 / 판화체험 / 전시연계프로그램 등
619,보현암,"보현암은 경남 고성군의 수태산에 있는 사찰로 13ｍ 높이로 우뚝 솟은 금동 약사여래 대불이 있는 곳으로 유명하다. 산 중턱에 있어 경치가 좋고, 사찰 뒤쪽으로는 바다도 보인다. 특히 가을에는 산을 물들인 알록달록한 단풍이 커다란 불상과 어우러져 장관을 이룬다.",,,경상남도 고성군 하일면 무선2길 1039,상시 개방,연중무휴,가능,무료,"고성 보현사 약사여래불을 보기 위해 3층을 가기 위해 계단으로 들어서는 순간부터 시원한 바람이 불어와서 너무 좋았어요. 약사여래불 앞에서 암투병중인 가족의 건강을 기원하고 시원한 바람을 맞으며 아름다운 경치를 구경하고 아래쪽 보현암으로 향했어요. 보현암 야외법당에 올라가는 길목에 아름다운 연못에 피어있는 아름다운 연꽃과 연못 입구에 여러종류의 아름다운 꽃들을 감상하는 시간도 좋았어요. 야외법...
더보기 경치랑 너무 조화롭습니다 꼭 한번 와 보시길~~ 문수암에서 보는 경치가 정말 멋져요",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,창녕박물관,"창녕박물관은 1996년 창녕지역 고분군에서 출토된 유물들을 전시할 목적으로 창녕유물전시관으로 처음 개관했다. 이후 1997년 1종 전문박물관인 창녕박물관으로 등록, 승격되었으며, 2018년 박물관 리모델링 사업을 통해 어린이박물관을 포함한 교육관을 신축한 후 지금의 모습으로 재개관하였다. 교동과 송현동 고분군의 바로 옆에 위치하며 비화가야시대 유적인 무덤과 그 내부에 부장되었던 유물들을 한자리에서 감상할 수 있다.
유물전시관일 때에는 복제품만을 전시했지만, 2011년 국가귀속문화재 보관·관리기관으로 선정된 뒤부터는 지역에서 출토된 유물들을 인수하여 직접 전시하고 있다.
2개의 전시실과 시청각실 등을 갖추고 있으며, 건물은 지상 1층, 지하 1층 규모이며, 1층은 제1전시실과 제2전시실로 되어 있다. 지하에는 시청각실이 마련되어 있어 창녕군 관내의 문화유적을 한눈에 알 수 있는 시청각 자료를 방영하고 있다.
가야와 신라시대의 유물 총 166종 276점 (토기류 85점, 마구류 42점, 장신구류 50점, 무구류 53점, 기타 46점)이 전시되어 있다. 전시관 중앙홀에는 가야고분의 축조 과정을 한눈에 볼 수 있는 모형관이 설치되어 있어, 가야시대 고분문화에 대한 이해를 돕고 있다.",,https://www.cng.go.kr/,경상남도 창녕군 창녕읍 창밀로 34,09:00~18:00 (입장 마감 17:00),매주 월요일 / 1월 1일 / 설·추석 연휴,가능,,"크지 않고 자그만한 박물관이네요, 바로 옆 고분군과 항께 둘려보세요",,,무료,무료,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함(자동문),,,,,,,,회차 당 100명,,,,,,,,,"부지 3,586㎡ / 연건축면적 1,234㎡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,성인 인문학 강좌 / 어린이 문화 교육 및 체험프로그램 / 특별전시 연계 교육 (전 연령)
621,요라파목장,"요라파목장은 넓게 펼쳐진 초지에 젖소를 방목하며 키우는 청정 목장이며, 목장에서 직접 짠 신선한 원유를 이용하여 치즈를 만들고, 이러한 자연치즈를 이용하여 피자를 만들어 볼 수 있는 체험장이다. 요라파목장에는 송아지 우유주기, 젖소 사료주기 등 다양한 낙농체험이 가능하고, 직접 생산한 우유로 만든 치즈와 요거트 등을 판매하고 있다. 사천시 농촌교육농장으로 지정된 곳이다.",,,경상남도 사천시 곤양면 고동포로 289,"- 평일 09:00~20:00
- 주말 08:00~20:00",매주 일요일,가능 (소형 40대 / 대형 10대),"체험비용 : 20,000~25,000원 (입장료 포함)
※ 변동 가능성 있으므로 전화 문의 바람",어린이 체험학습 목장이고 양들을 직접볼수잇고 체험할수 있어요 치즈만들기도잇고 와인갤러리도 있어요 예약필수 좋아요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,치즈 / 피자 만들기 / 낙농체험(송아지 우유주기) / 젖소 사료주기
