place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세
현충탑(광주),"조선시대 때 성거산이라 일컬었던 광주공원은 광주시내에서는 가장 가까운 곳에 있는 시민의 휴식처이다. 이곳에 나라를 지키기 위해 싸우다 숨진 사람들의 충성을 기리기 위하여 세운 현충탑이 있다. 1950년 한국전쟁 당시 나라를 구하기 위해 목숨을 바친 광주, 전남지역의 전몰 호국용사 15,867명(군인 10,745명, 경찰 5,122명)을 모셨으나, 위패부는 모두 없다. 탑신은 6 각형 기단과 25m 높이로 형상화하였으며, 6·25 호국 영령들의 희생정신을 되새길 수 있도록 벽면에는 6·25 전쟁의 개요와 역사적 평가, 당시의 전투상황이 새겨져 있다. 매년 현충일인 6월 6일 날 호국 영령들의 높으신 뜻을 기리기 위해 추념식을 거행하고 있다.",,,광주광역시 남구 중앙로107번길 15 (구동),상시 개방,연중무휴,가능,있음,,탑까지 경사로가 설치되어 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주 3·1 만세운동 기념비,"광주는 일제강점기 시절 광주학생운동을 시작으로 다양한 독립운동이 펼쳐진 고장이다. 이러한 고장에서 3·1 만세운동이 벌어진 것은 당연한 결과이다. 이러한 광주지역의 3·1 만세운동을 기념하고 당시의 넋을 기리기 위해 만들어진 것이 광주 3.1 만세운동 기념비이다. 넓이 4㎡ 길이 7m로 3·1 운동 때 여학생들이 태극기를 들고 만세를 부르고 있는 형상이다. 1995년 5월 10일에 건립한 이 기념비는 광주 수피아여고 후문 안에 자리 잡고 있다. 앞면에는 광주 3·1 만세운동 기념이라고 새겨져 있고, 뒷면은 1919년 3월 10일 광주 3·1 만세운동에 앞장섰기 때문에 옥고를 치른 수피아여고 학생들의 이름을 새겨 길이 기념하고자 했다. 기념비에는 박순애, 이태옥, 김양순, 윤혈녀, 김덕순, 조옥희, 이금봉, 하영자, 강화선, 이라혈, 최수향, 김만순, 홍순해 등 23명의 명단이 새겨져 있으며, 옆면은 추모시가 다음과 같이 새겨져 있다. 역사의 별이 되어라 천추에 이름 석자 누구나 남기는가, 기미년 3·1 운동 선두에 서서 구국의 일념으로 충성을 맹세하고 태극기 앞에 두고서 독립만세를 외쳤네. 일제의 총칼 앞에 나라가 침탈 당하자 자유 없는 속박에서 사느니보다 사슬을 끊기 위해 목숨 걸고 싸웠네. 모진 고문을 당하여도 이겨낸 고결한 애국 얼이 역사의 별이 되어 무궁토록 빛나네.",,https://tour.gwangju.go.kr/,광주광역시 남구 백서로 13 (양림동),상시 개방,연중무휴,가능 (수피아여고 주차장),,무료,,아이들 교육에 좋은 만세운동기념비입니다 광주 방문시 필수 코스예요 숙연해지는 곳입니다 가고싶어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양림동 선교사 묘지,"광주광역시 남구 양림동에 있는 호남신학대학교 구내 언덕에는 선교사 묘역이 있다. 이국적 느낌을 주는 다양한 형태의 묘비와 각진 봉분들이 자리 잡고 있는 묘역에는 광주와 전라남도 지역에서 활동하다 1909년부터 1967년 사이에 사망한 미국 남장로교 선교사들과 가족들이 묻혀 있다. 양림동 선교사 묘지는 광주에 최초로 기독교를 전파하고 개화의 새 물결과 구국 운동의 계기를 마련했던 23인의 선교사가 묻혀 있는 곳이다. 광주광역시 양림동은 전라남도 최초의 선교사로 광주에서 활동하던 배유지 목사와 클레멘트 오웬의 주된 선교지였다. 배유지 목사는 선교활동의 일환으로 수피아여학교를 설립하였고, 글레멘트 오웬은 간호사인 부인과 함께 선교 및 의료봉사 활동에 헌신하였다. 현재 광주광역시에는 배유지 목사를 기념하기 위한 선교기념비와 클레멘트 오웬과 그의 할아버지를 기념하기 위해 건립한 오웬 기념각 등의 문화재가 있다. 선교사들은 복음과 의료, 교육, 아동과 여성을 직능별로 맡아서 지역 교회와 학교, 병원을 세우고 서로 유기적으로 연결된 선교 활동을 하였다. 이를 통해서 광주 지역에 기독교 복음을 전파하고, 서구 근대 문화를 소개하고, 지역 인재를 양성하였다.",,https://tour.gwangju.go.kr/,광주광역시 남구 제중로 77 (양림동),상시 개방,연중무휴,불가능,있음,,,부부동반으로 광주광역시 여행 중 방문한 곳입니다. 잘 꾸며진 묘지와 역사의 기록들 잘 보았습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직공원(광주),사직공원의 터는 원래 사직단이 있던 곳이다. 사직단이란 삼국시대부터 나라의 안녕과 풍년을 기원하여 땅의 신과 곡식의 신에게 제사를 올리는 곳이다. 1894년 제사가 폐지되고 1960년대 말에 사직 동물원이 들어서면서 사직단은 헐리고 말았다. 그 뒤 사직단의 본래의 모습을 되찾아야 한다는 여론이 조성되자 1991년 동물원을 우치공원으로 옮기고 사직단을 복원하여 1994년 4월 100년 만에 사직제가 부활했다. 사직공원은 각종 수목 또는 화초들의 조경이 잘 조성되어 있으며 특히 매년 4월 15일을 전후해서 벚꽃이 만발한다. 광주시는 이 무렵이면 밤에 전등을 가설하여 시민들이 밤에도 벚꽃을 즐길 수 있도록 했다. 지금은 시민들이 가장 즐겨 찾는 휴식처로 자리매김하게 되었다. 사직공원의 전경을 내려다볼 수 있는 전망타워도 무료로 운영하고 있다.,,https://www.gwangju.go.kr/,광주광역시 남구 사직길 49 (사동),"[공원]
- 상시 개방
[전망타워]
- 09:00~22:00
- 입장 마감 21:50",연중무휴,불가능,장애인 화장실 있음,무료,출입구까지 턱이 없어 휠체어 접근 가능함_무장애 편의시설,오전에는 운동코스 낮에는 삭책코스 밤에는 야경보기 너무 좋아요 사직공원은 빛의 숲이라 야간에 데이트 코스로 딱입니다 사진찍을만한 곳도 넘쳐나요 부부동반으로 광주광역시 여행 중 방문한 곳입니다. 전망대에서 바라보는 도심의 풍광이 좋았습니다. 최근에 야경 조명을 설치해서 빛의 숲으로 야경도 멋진 곳으로 바뀌어서 야간 구경도 멋졌어요 걸으며 구간구간 다른 빛의 모습들을 볼 수 있었어요 다만 주차공간이 협소하니 공원 밑에 있는 공용주차장에 주차하고 공원까지 걸어가시는 것을 추천드려요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양송천묘역,"조선시대 정철의 스승 송천 양응정의 묘역으로 현재 제주 양 씨 문중에서 관리하고 있다. 묘역에는 1581년(선조 14) 유림들이 세운 묘비와 석물이 있는데 정교하고 고풍스럽다. 또 이곳에는 양응정의 아들이며 진주성 전투에서 순절한 충민공 양산숙의 묘와 양응정의 손자인 한림학사 양만용의 묘가 있다. 조선 조 명종선조 때의 문장가이자 문신인 송천 양응정의 선비정신을 기리기 위해 그 묘역을 기념물로 지정하였으며, 산 아래에 제각이 있고 묘 앞에 민병승이 찬한 신도비가 있으며 묘제일은 음력 10월 10일이다. 양송천묘역은 조선 중기의 분묘로 묘비·망주석·문인석 등 각종 석물이 잘 남아 있다.",,https://www.heritage.go.kr/,광주광역시 광산구 동호동 32-2번지,상시 개방,연중무휴,불가능,없음,무료,,,,,,,,,,,,,광주광역시 기념물 양송천묘역 (1978.09.22. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
양림동 호랑가시나무길,"양림동은 1899년 남 장로교의 선교사 배유지, 오웬 두 사람이 목포에서 광주로 이주하여 전도를 시작했던 지역이다. 그때부터 자라고 있는 호랑가시나무는 현재 철책으로 둘러싸여 보호되고 있다. 양림동 호랑가시나무길에는 옛 선교사 사택과 아트 폴리곤, 호랑가시나무 창작소 등 다양한 문화공간과 관광지가 위치해 있다. 호랑가시나무는 전남 남해안과 제주 서해안에 주로 자생하는 상록활엽수 교목이다. 변산반도가 북쪽 한계선이며 중국에도 분포하나 특히 광주, 전남의 나무라고 할 수 있다. 잎은 두꺼운 가죽질과 광택이 있으며 잎끝에 가시 모양의 톱니가 다섯 개 있다. 꽃은 여름철에 흰빛으로 잎겨드랑이에 모여서 가을에 핵과가 붉게 익는데, 겨울철 눈 속에서도 붉은빛을 띠어 관상수로도 제격이다. 양림동의 호랑가시나무는 높이가 6m 정도이며 근원부의 간주가 115로 이 수종에서는 좀처럼 보기 힘든 거목이다. 수관의 너비는 남북 7m, 동서 5m이며 가슴 높이에서 두 갈래로 갈라져 있다.",,http://tour.gwangju.go.kr,광주광역시 남구 양림동 225-25(호랑가시나무아트폴리곤),상시 개방,연중무휴,불가능,,무료,,"양림동 전체에 오래되누한옥 저택과 근사한 미술관 그리고 찻집 식당이 고르게 있어요. 하루 반나절 걸어 다니며 구경하디 좋았어요. 부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 선교사 묘지, 사택등이 함께 있는 이야기 많고 아름다운 곳입니다. 도시에서 만날 수 있는 고즈넉한 공간 고요하고 사람이 없는 곳이라 좋았어요 한가로이 걸을수있는곳이예요 그림 같은 곳. 한적한 광주도 좋아요",,,,,,,,,,,광주광역시 기념물 양림동호랑가시나무 (1989.03.20. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
호가정,"호가정은 조선 중·명종대의 문신 설강 유사()(1502~1571)가 만년에 지은 정자이다. 호가정이라는 이름은 송나라 소강절이 말한 호가지의()에 담긴 뜻을 취하여 지었다. 이 정자는 1558년(명종 13) 처음 세웠으나, 임진왜란과 정유재란을 겪으면서 불타 없어져, 1871년(고종 8년)에 다시 세웠다. 그 후 1932년과 1956년 중수하였다. 정자는 정·측면이 다 같이 3칸인 골기와 팔작지붕의 건물로, 당초에는 중앙에 거실을 두었으나 중수할 때 이를 없애고 전부 우물마루로 고쳤다. 사방좌우 모서리에는 1칸씩의 낮은 난간을 두었다. 사방중앙칸의 가운데는 댓돌을 두어 출입에 편리하도록 하였다. 호가정이 위치한 노평산 기슭은 앞에 극락강과 황룡강이 합류하여 경관이 빼어난 곳이다. 이곳에는 호가정 현판을 비롯하여 설강의 호가정기와 노사 기정진의 호가정 중건기, 후손 유보한의 호가정 중수기, 호가정원운, 근 차설강정운, 근 차판상운등과 오겸, 이안눌, 김성원 등이 누정제영()을 새긴 편액이 걸려다.",,"광산구 문화관광 https://www.gwangsan.go.kr/
국가유산청 https://www.heritage.go.kr/",광주광역시 광산구 본덕동,상시 개방,연중무휴,가능,,무료,,,,,,,,,,,,,광주광역시 문화유산자료 호가정 (1990.11.15. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
양씨삼강문,"양씨삼강문은 광산구 박호동 박뫼마을 입구에 있으며 임진왜란 때 진주성 싸움에서 왜적과 싸우다 순절한 양산숙과 가족 6명의 충·효·열·행을 기리기 위해 1635년 건립된 정려각이다. 정려는 충신, 효자, 효부, 열녀 등을 기리기 위해 표창하는 일을 말한다. 박뫼마을은 양산숙이 태어나 자란 곳이다. 양산숙은 형인 양산룡과 함께 나주에서 의병을 일으켜 김천일 휘하에 참여하여 여러 전공을 세우다가 2차 진주성 전투에서 순절하였다. 이후 왜군이 전라도 지역으로 침입하자, 양산룡은 어머니와 아우, 누이와 피난을 가다가 현재 전라남도 무안군 몽탄면 지역인 삼양포에서 왜적을 만나 바다에 몸을 던져 순절하였다. 양산숙의 부인 광산이씨는 현재의 전라남도 무안군의 승달산에서 왜적을 만나 저항하다가 자결하였다. 양씨삼강문에서는 임진왜란 때 광주 지역의 모습과 충, 효, 열을 강조한 조선 후기 사회 모습을 살펴볼 수 있다.",,https://www.heritage.go.kr,광주광역시 광산구 박호동 산131-5,상시 개방,연중무휴,불가능,,무료,,기냥 한번 스쳐가는 정도의 역사적인 장소이니 나라에 대한 애국심 한번 되새겨보는 정도 딱 그정도입니다.,,,,,,,,,,,광주광역시 기념물 양씨삼강문 (1985.02.25. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
용아생가,"이곳은 우리나라 현대 문학의 개척자 중 한 사람으로 초창기 시단을 빛낸 시인 용아 박용철(19041938) 선생의 생가이다. 선생은 이곳에서 새로운 문명을 소개하고 자주독립 정신을 일깨워 주기도 하였다. 용아의 생가는 1970년대 새마을 사업으로 초가지붕을 시멘트 기와와 슬레이트 등으로 개량하였으나 1995년 문화재 복원 사업을 실시, 다시 초가지붕으로 복원하여 관리하고 있다. 본채와 사랑채, 행랑채, 사당, 서재 등이 남아 있다. 본채는 정면 5칸, 측면 2칸으로 높다란 막돌 기단 위에 세웠다. 왼쪽은 부엌이며, 중앙 2칸은 방인데, 4개로 나누어 열리는 문을 갖고 있다. 나머지 2칸은 2개로 열리는 정자 살문이다. 사랑채도 5칸인데 오른쪽부터 부엌, 방, 마루의 차례로 되어 있다. 사당은 정면 3칸 , 측면 1칸의 맞배지붕이다. 행랑채는 4칸으로 사랑채로 들어가는 대문이 있다. 이 집은 용아의 고조부가 지었다고 전해지나 19세기 후반에 지은 것으로 추정된다.",,https://tour.gwangju.go.kr/home/tour/,광주광역시 광산구 소촌로46번길 24 (소촌동),10:00~17:00,연중무휴,불가능,,무료,,,,,,,,,,,,,광주광역시 기념물 용아생가 (1986.02.07. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
용진정사,"일제강점기의 용진정사는 한말의 도학자 후석 오준선(18511931)이 일본이 한국을 병탄하자 망국의 한을 달래면서 용진산에 강당을 짓고 후진 양성에 힘쓴 곳으로써 한말 호남 의병활동의 본거지이기도 하였다. 정사는 학문을 가르치거나 정신을 수련하기 위해 마련한 집을 뜻한다. 용진정사는 용진산 남쪽의 산록에 자리 잡고 있다. 이곳은 원래 용진사가 있던 곳으로 삼봉 정도전, 우암 송시열 등이 다녀갔던 곳으로 전해진다. 절이 허물어진 뒤 청안 이 씨들이 그 터를 가지고 있었으나, 후석이 정사를 짓는다는 말을 전해 듣고 옛 절터의 상대와 중대를 희사함으로써 정사를 지을 수 있었다. 후석이 별세한 뒤 문인들이 정사 동쪽에 3칸의 용진영당을 세우고 1924년 석지 채용신이 그린 초상화를 모셨다. 영당의 좌우벽에는 큰아들 북파 오헌수와 둘째 아들 도호 오동수의 영정이 함께 걸려있다.",,https://tour.gwangju.go.kr/,광주광역시 광산구 본량동서로 180-48 (왕동),10:00~17:00,연중무휴,"가능
요금 (무료)",없음,,,,,,,,,,,,,,광주광역시 문화유산자료 용진정사 (1985.02.25. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
뒹굴동굴,"뒹굴동굴은 일제강점기에 만들어진 방공호 지하시설이다. 폭 약 2미터에 길이 30미터 정도로 무기고와 화약고로 사용되었다고한다. 광주 도심에 거주하는 일본인들을 미국의 공습으로부터 대피시키기 위해 1940년대 광주 사직공원 밑에 방공호를 건설하였다. 일본인 거주 지역에 가깝고 양림산의 지반이 단단하여 안정된 대피가 가능했기 때문에 일본은 방공호를 건설하면서 당초에는 4곳의 입구를 두고 가운데 광장을 만들 계획이었으나 단단한 화강암 지반으로 인하여 공사 진척이 느려져 완공되지 못한 채 전쟁이 종료되었다. 현재는 일제 강점기 잔재물로서 근대 역사 문화 유적지로 운영 중이다. 근처에는 양림동역사문화마을, 통기타 라이브 카페거리등이 있다.",,https://tour.gwangju.go.kr,광주광역시 남구 천변좌로 410 (사동),10:00~18:00,매주 월요일,가능,,,,부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 사직공원 입구와 양림동공영주차장 사이에 있습니다. 작은 굴 이지만 구경 잘 했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충장사,"원효사로 올라가는 도로를 따라 배재에 이르면 왼편에 잘 가꾸어진 묘소와 함께 충장사의 우람한 건물이 바라다 보인다. 이 충장사는 무등산이 낳은 충장공 김덕령 장군을 모신 사우로 1975년에 세워졌다. 경내에는 김덕령의 영정과 교지가 봉안되어 있는 사우 충장사, 동재와 서재, 은륜비각과 해설비, 유물관, 충용문, 익호문 등이 세워져 있다. 유물관에는 중요민속자료로 지정된 김덕령 장군 의복과 장군의 묘에서 출토된 관곽, 친필 등이 전시되어 있다. 사당 뒤쪽 언덕에는 김덕령의 묘와 묘비가 있으며 가족묘도 조성되어 있다. 충장사로 향하는 길은 광주 사람들에게 드라이브 코스로 사랑받는 길이다. 봄이면 노란 개나리가 길섶을 수놓고, 여름이면 신록이 우거져 터널을 이루며, 가을이면 빨간 단풍이 숲을 물들이고, 겨울이면 나무마다 눈꽃이 피어 설원에 온 듯 장관을 이룬다. 이처럼 아름다운 풍경 때문에 광주 사람들이 즐겨 찾는 길이다.",,https://tour.gwangju.go.kr,광주광역시 북구 송강로 13,"- 하절기 09:00~18:00
- 동절기 09:00~17:00",연중무휴,가능,있음,,,,,,,,,,,,충용문 / 은륜비각과 해설비 / 익호문 / 김덕령의 묘와 묘비 / 가족묘 등,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주 우치공원 동물원,"광주 우치공원 내에 위치한 동물원이다. 국내 멸종 위기 동물인 반달가슴곰, 원앙, 수달 등을 보호·연구해 나가고 있으며, 이를 바탕으로 다양한 교육 프로그램을 운영하여 시민에게 다양한 정보를 제공한다. 2015년 신원숭이사, 해양동물사, 재규어사, 파충류사, 소맹수 및 무플론사를 리모델링하여 동물들을 위한 쾌적한 환경을 마련하였다. 입장요금은 무료이며, 가족과 함께 방문하기 좋은 나들이 명소이다.",,https://www.gwangju.go.kr/uchipark/,광주광역시 북구 우치로 677,09:00~18:00 (입장 마감 17:00),연중무휴,"가능 (1,172대)
요금 (5시간 이하 1,000원 / 이후 1시간당 400원 / 1일 최대 2,500원)
※ 소형차 기준 요금",장애인 전용 화장실 있음,"무료
※ 입장권 없이 동물원 관람 가능",출입구까지 경사로가 설치되어 있음,다양한 동물을 여유 있게 볼 수 있어요 광주 우치공원 동물원에서 동물들도 보고 사진도 많이 찍었어요 가족과 함께 방문하기 좋은곳인것같아요 많은 추억 쌓았어요 시댁이 광주여서 가까운 동물원이 어디있을까 검색해서 갔다왔어요. 아이가 코끼리도 보고 너무 좋아했어요유모차 대여도 되요 즐겁게 관람했어요 우리 아이 최애 관광지 코끼리는 봐도 봐도 좋습니다 아이들과 같이 가기 좋아요 동물구경하기 잘되어있고 놀이공원도좋아요,,,,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,,대여가능,,,,,,,,,,,,,,,,,,,,,,
고씨삼강문,"고씨삼강문은 조선시대 고경명과 고경명의 동생인 고경형, 고경명의 아들인 고종후와 고인후, 딸인 영광유생 노상룡의 부인, 고경명의 조카 고거후의 부인인 광산정씨, 고경명의 손자 고부금 총 7명의 충, 효, 열을 기리는 정려문이다. 정려문은 효자, 효부, 열녀, 충신을 기리기 위해 지은 건물이나 문을 말한다. 현존 건물은 1844년에 세운 것으로 사방에 홍살문을 설치하여 내부를 차단하고 앞 뒤 이열로 정려현판을 걸었다. 정면 네칸, 측면 한칸의 맞배지붕으로 지붕은 부연이 없는 홑처마로 처리했다. 건물 밖에는 담장을 돌리고 외삼문을 세웠으며 삼강문 옆에는 고씨문중의 제각인 추원각이 있다. 장흥고씨 삼강문은 충렬공 고경명의 태생지인 압촌동 마을입구에 있다. 정석7간 측면 1간의 골기와 8작지붕으로서 임진왜란 후 왜병이 철수한 선조28년(1595)에 고경명일의 충절을 기리기 위해 선조가 명하여 세웠다. 충렬공 제봉 고경명(15331592) 선생은 압촌동에서 태어나 여러 관직을 거쳐 1591년 동래부사를 끝으로 고향으로 돌아왔다. 선생은 임진왜란이 일어나자, 의병을 모집하여 금산에서 왜병과 싸우다 두 아들과 함께 전사하였다.",,https://www.heritage.go.kr/,광주광역시 남구 압촌길 66 (압촌동),상시 개방,연중무휴,불가능,없음,,,,,,,,,,,,,,광주광역시 기념물 고씨삼강문 (1985.02.25. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
양림역사문화마을,"100여 년 전 광주 최초로 서양 근대 문물을 받아들인 통로이자 희생과 나눔의 공동체 역사를 가지고 있는 광주역사의 시작점이며, 문화자원 중심지가 조성되어 있다. 양림동에서는 근대문화유산을 탐방할 수 있다. 양림역사문화마을은 서양식 근대 건축물과 한옥이 어우러진 역사와 문화의 공간이다. 광주의 의료와 교육을 발전시킨 우일선 선교사의 사택, 조선 상류층 가옥의 풍채가 전 해지는 이장우 가옥, 민주화의 어머니이자 어려운 이웃들을 위해 헌신하신 조아라 여사를 기리는 조 아라기념관, 농촌을 살리기 위해 애쓴 농촌지도자 어비슨의 기념관, 선교사로 광주에서 활동하다 순 교한 오웬을 기리는 오웬기념각, 정율성 업적과 음악을 감상할 수 있는 정율성 거리, 주민들과 예술 가들이 폐품을 모아 예술작품으로 꾸며낸 펭귄마을 등 근대와 현대의 다양한 매력이 공존한다.",,https://visityangnim.kr/,광주광역시 남구 천변좌로446번길 7 (양림동),상시 개방,연중무휴,가능,"장애인 화장실 있음(빛고을 공예촌, 양림동행정복지센터)",,출입구까지 턱이 없어 휠체어 접근 가능함,마을 자체가 역사가 살아 있고 예술가들이 모여 있어 좋은 에너지 많이 받고 옵니다 도심속에서 색다른 경험 할 수 있는 양림역사문화마을 입니다 아이들과 함께 둘러보기 좋았어요 서양식 근대 건축물과 한옥이 어우러진 양림역사문화마을은 아이들에게도 저에게도 좋은 역사공부의 장이었습니다. 여행과 지식충전 일거양득의 알찬 여행지입니다. 양림동의 역사를 골목 곳곳에서 볼 수 있어요 또 광주지역 미술가들의 미술관들도 볼 수 있어 좋았답니다 양림 역사마을 궁금해요,,,,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,어비슨기념관 / 정율성 음악거리 / 조아라기념관 / 펭귄마을 등,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913송정역시장,"1913년부터 광주 송정역과 함께 명맥을 같이한 송정역 매일시장은 100년 역사를 간직한 유서 깊은 전통시장이다. 한때 생활에 필요한 식재료와 물건을 찾는 손님들로 북적거렸던 이곳도 1990년대 이후 우후죽순으로 생겨난 대형 마트에 밀려 여느 전통시장처럼 서서히 쇠퇴의 수순을 밟아 왔다. 이에 송정역 시장은 대형마트와의 대립이 아닌 다름을 인정하고 전통시장의 특색을 강화하는 변화를 모색하여 지켜야 할 유산으로 시간을 선택했다. 새로 증축된 KTX 송정역처럼 건너편 골목 송정역전 매일시장은 새 단장을 했다. 가게마다 예쁜 글씨 간판이 내걸렸고, 동네 호떡, 꼬치샵, 계란밥, 어묵, 고로케, 홍삼요거트 등 시장하면 떠오르는 음식들이 눈과 코를 자극하고 있다. 두부마을 옆 국수공장에서는 천 원짜리 잔치국수도 맛볼 수 있고, 전통적인 전라도 사투리를 이용해 만든 달력이나 공책 등도 눈길을 끌고 있다.",,오메광주 광주관광 https://tour.gwangju.go.kr/,광주광역시 광산구 송정로8번길 13,"- 월요일~목요일 11:00~22:00
- 금요일~일요일 11:00~23:00","매월 둘째, 넷째 월요일",가능 (공영주차장 약 48대),,,출입구까지 턱이 없어 휠체어 접근 가능함(좁거나 입구에 턱이 있는 구간있음),"1913송정역시장에서 힐링하다 왔습니다. 잔치국수가 정말 맛있었어요 다양한 음식거리가 있어 좋았고 걷기에도 좋았습니다. 기차시간 기다리면서 군것질 및 시간때우기 좋아요 초입에 가면 영명국밥집이 있는데 해장에 좋습니다 행사일정이나 장날 맞춰서 가면 볼거리 먹을거리 장볼거리 정말 많습니다. 광주송정역이 바로 옆이라 기차시간 기다리면서 구경해도 좋고 기차여행 하면서 한번 들려도 좋아요 그린상점 부루,다미,무냥이,새로를 만날 수 있는 곳입니다 광주 여러곳이 그려진 엽서도 많고 광주 여행 후 기차타기전에 꼭 들러보세요 부부동반으로 광주 여행 중 1913송정역시장을 한바퀴 둘러 보았다. 우리가 방문한 시간이 낮 이여서 대부분의 상점들이 문을 닫고 있어 그냥 시장만 한 바퀴 돌아보고 왔다. 밤에 가면 낭만적일 그라 생각만 하면서. 송정역 인근에 있는 시장으로 규모는 작기는 하지만 먹거리, 카페, 술집등이 위치하여 있어 기차시간 기다리면서 시간 보내긴 좋은 곳입니다 송정역에서 내려 길을건너면 1913송정역시장 간판이 바로 보여요. ktx역 근처라.. 누구나 쉽게 찾을수있고 .. 마트와는 다른 느낌으로, 볼거리,먹거리들이 오밀조밀 모여있어서 눈과 입이 즐거워요.",,,,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,청과류 / 한과 / 퓨전 음식 / 제과점 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4·19 민주혁명역사관,"4·19 혁명 정신 계승을 위해 광주고등학교에 지어진 역사 전시관이다. 2019년 3월 20일 개관했으며, 역사관 내부엔 당시의 분위기를 느낄 수 있는 생생한 사진들과 4·19 혁명 전개 과정들이 상세히 전시돼 있고, 학생들이 직접 참여할 수 있는 체험실도 조성되어 있다. 혁명에 참여한 인물들과 함께 사진을 찍을 수 있는 포토존, 당시의 함성 소리를 들을 수 있는 코너와 함성 구호를 외칠 수 있는 함성 체험실, 4·19 인물들을 알아볼 수 있는 퀴즈코너와 애국 학도 선서 체험 코너 등이 있다.",,오매광주 광주관광 https://tour.gwangju.go.kr,광주광역시 동구 중앙로 302 광주고등학교,10:00~18:00,매주 주말 / 법정 공휴일,불가능,,,,모든 국민이 잊지않고 되세겨보는 곳입니다 아이들 과함께 방문해보세요 우리의 잘못된역사를 바로잡고 생각해볼수있습니다,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무등산수박마을,"광주 무등산수박마을은 광주 북구 석곡동에 위치하고 있으며 금곡마을과 충효마을로 구성되어 있다. 산세가 유순하고 가파르지 않아 푸근한 느낌을 갖게 하는 무등산 산자락에 아담하게 자리 잡은 곳이 바로 마을이다. 그렇기 때문에 야생화나 자연림 등을 만날 수 있다. 또한 마을 입구엔 400년 이상 된 왕버드나무가 세 그루 서있다. 왕버드나무는 희귀한 모양새를 지닌 거목으로 그 형태가 교묘하게 조화를 이루고 있을 뿐 아니라 이 마을의 오랜 역사와 전통을 말해주고 있다. 무등산 수박 광주를 대표하는 무등산 수박은 재배조건이 까다로워 강한 광선, 높은 온도, 긴 일조시간 등이 받쳐주지 않으면 길러내기 어렵다. 광주의 북구 일대는 이러한 절대적인 재배조건을 갖춘 곳이다. 이런 천혜의 조건 속에서 자란 무등산 수박은 특수한 향기와 맛이 별미로 특히 청록빛깔에 줄무늬가 없고 씨는 머리 부분의 눈만 검어 다른 수박과는 구별된다. 옛날 임금에게 진상되던 수박으로 일명 푸랭이 수박이라고도 불린다.",,,광주광역시 북구 송강로 236-3 (금곡동),09:00~18:00,매주 주말,가능,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
