place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
영양 주실마을,"* 조지훈의 주실마을
영양군 일월면 주곡리에 속하는 주실 마을은 북쪽으로 일월산이 있고, 서쪽에는 청기면, 동쪽은 수비면, 남쪽은 영양읍과 맞닿아 있다. 조지훈이 태어난 주실 마을은 전통마을이면서도 실학자들과의 교류와 개화 개혁으로 이어진 진취적인 문화를 간직한 매우 유서 깊은 마을이기도 하다. 주실 마을에는 조지훈 시인의 생가인 호은종택(壺隱宗宅 경상북도 기념물) 이 마을 한복판에 널찍이 자리 잡고 있고, 옥천종택(玉川宗宅:경상북도 민속자료), 월록서당 등 숱한 문화자원들이 지금도 그대로 남아 있다.

* 조지훈 생가
시인이며 국문학자인 조지훈(1920∼1968) 선생이 태어난 곳이다. 조지훈은 경상북도 영양 출신으로 본명은 동탁(東卓)이다. 선생은 박목월·박두진과 공동으로 간행한 청록 집의 시편들에서 주로 민족사의 맥락과 고전미 세계에 대한 찬양과 선(禪) 세계를 노래하였는데, 유교 도덕주의의 격조 높은 자연 인식을 보인다는 점에서 시문학 사적 의의가 있다고 평가받고 있다. 가옥은 몸체와 관리사로 나뉘어 있으며 몸체는 앞면 7칸·옆면 7칸 규모에 ㅁ자형 평면을 갖추고 있다. 지붕은 옆면에서 볼 때 여덟 팔(八) 자 모양의 팔작지붕으로 꾸몄고, 전형적인 영남 북부지방 양반가의 풍모를 지니고 있다. 대문과 중문에는 태극기를 조각하여 채색한 것을 끼워두었고 집 주위는 고풍스러운 담을 둘렀다. 이 집은 이 지방 주택의 전형적인 양식으로 조선 중기 인조(재위 1623∼1649) 때에 조정형이 지었으며 한국전쟁 당시 일부 불탄 것을 1963년 복구하였다. 이곳은 조지훈 선생 외에 한말의 의병장이었던 조승기 선생과 선생의 조부인 조인석 선생 등 나라를 위해 큰일을 한 분들이 태어난 곳이기도 하다.

* 주곡동 옥천종택
한양 조 씨 옥천 조덕린 선생의 옛집으로 살림채인 정침과 글 읽는 별당인 초당, 가묘인 사당으로 구성된 17세기말 양반 주택의 대표적인 예이다. 살림채는 안동지방을 중심으로 분포되어 있는 ㅁ자 집의 평면구성을 하고 있다. 앞면 5칸의 가운데에 대문을 달고 왼쪽에 안사랑방을 두고 있다. 오른쪽에는 마구간을 고친 온돌방이 있고 부엌·고방이 있다. 살림채의 몸채는 양옆에 꺾여서 위치하는 부분보다 더 높은 곳에 자리하고 있으며, 전면에는 안마당을 향하여 개방된 6칸 대청이 있다. 대청의 오른쪽부터 도장방·안방이 접해 있고, 안방을 마루 쪽으로 1칸 더 내어 2칸으로 꾸몄다. 경상북도에 분포되어 있는 ㅁ자집 중에 대청과 안방의 윗머리에 도장방이 놓여있는 경우는 가끔 있지만 이곳처럼 도장방의 바닥이 온돌이 아닌 마루로 깔려있는 예는 흔하지 않다. 초당은 조선 숙종 21년(1695)에 지은 것으로 아이들에게 글을 가르치거나 노인이 머무는 곳이다. 이 지역의 전형적인 평면구성을 보이며 있으며, 정조 14년(1790)에 지은 건물로 가운데 칸이 좀 넓다. 안채의 오른편 뒤쪽에 배치되어 있으며 담장을 두르고 있다. 안동지방의 전형적인 평면구성을 보이고 있으나 안방이 동쪽으로 오고 사랑방이 서쪽으로 배치된 점이 다르다. 이러한 형식은 18세기부터 안방과 부엌이 서쪽으로 배치되는 평면구성으로 통일된다.

* 월록서당
후학들을 교육하고 양성하기 위해 세운 서당이다. 월하 조운도(1718∼1796) 선생이 의견을 내고 한양 조 씨·야성 정 씨·함양 오 씨가 주축이 되어 조선 영조 49년(1773)에 지었다고 한다. 앞면 4칸·옆면 2칸 규모를 가진 한 일자형 건물로 전망이 좋고 한적하여 공부하기 좋은 곳이다. 가운데 2칸은 마루를 만들어 대청으로 꾸몄고 양쪽은 방을 만들어 놓았는데 오른쪽은 ‘극복재(克復齋)’, 왼쪽에는 ‘존성재(存省齋)’라는 현판이 걸려 있다. 경치 좋은 곳에 자리 잡고 있는 조선 후기 건축양식을 잘 간직한 건물이다.",,,경상북도 영양군 일월면 주실길 55,상시 개방,연중무휴,,,맛있는 산너물밥을 먹을수 있어요,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영양 두들마을,"두들마을은 ‘언덕 위에 있는 마을’이라는 뜻이다. 1640년 석계 이시명 선생이 병자호란을 피해서 들어와 개척한 이후 그의 후손인 재령 이 씨들이 집성촌을 이루며 살아왔다. 조선시대 1899년에는 이곳에 국립 병원격인 광제원이 있었다 하여 ‘원두들, 원리’라 부르기도 한다. 마을에는 석계 선생이 살았던 석계고택과 석계 선생이 학생들을 가르쳤던 석천서당을 포함하여 전통가옥 30여 채를 비롯하여 한글 최초의 조리서 「음식디미방」을 쓴 정부인 장 씨를 기리는 안동 장 씨 유적비, 이문열이 세운 광산문학연구소 등이 있다. 마을 앞을 흐르는 화매천을 둘러친 절벽 바위에는 석계 선생의 넷째 아들인 이숭일이 새겨 놓은 동대, 서대, 낙기대, 세심대 등 유묵도 뚜렷하게 보인다. 1994년 정부로부터 문화마을로 지정되었다.",,,경상북도 영양군 석보면 두들마을길 62,상시 개방,연중무휴,가능,,두들마을에 고택들이 고즈넉하니 좋아요,무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉화 북지리 마애여래좌상,"봉화 북지리 마애여래좌상은 자연 암벽을 파서 불상이 들어앉을 거대한 방모양의 공간을 만들고, 그 안에 높이 4.3m의 마애불을 매우 도드라지게 새긴 것이다. 넓고 큼직한 얼굴은 양감이 풍부하며 전면에 미소를 머금고 있어서 박진감 있는 모습을 보여주고 있다. 어깨는 다소 움츠린 듯하지만 체구는 당당한 편이며, 양어깨에 걸쳐 입은 옷은 가슴에서 U자형의 굵직한 주름을 이루면서 양팔을 거쳐 길게 늘어져 불상이 앉아 있는 대좌(臺座)까지 덮고 있다. 손 모양은 오른손을 가슴에 들고 왼손은 무릎에 내리고 있는 모습으로 큼직하게 표현되어 불상의 장중한 멋을 더해주고 있다. 불상 뒤편의 광배(光背)는 머리 광배와 몸 광배로 구분하였으며, 곳곳에 작은 부처를 표현하였고, 머리 광배의 중심에는 정교한 연꽃무늬를 새기고 있다. 불상 뒤편의 광배(光背)는 머리광배와 몸광배로 구분하였으며, 곳곳에 작은 부처를 표현하였고, 머리광배의 중심에는 정교한 연꽃무늬를 새기고 있다. 불상을 만든 시기는 얼굴이나 신체에 표현된 부드러운 모습 등을 고려할 때 7세기 후반으로 추정되며, 영주 가흥동 마애여래삼존상 및 여래좌상(보물)과 함께 이 시기 영주·봉화 일대 불상 양식을 대표하는 작품으로 신라 불교조각사에 거대한 발자취를 남기고 있다.",,https://www.bonghwa.go.kr/,경상북도 봉화군 물야면 문수로 449-66,상시 개방,연중무휴,"가능 (소형 15대 / 대형 8대)
요금 (무료)",국보 봉화 북지리 마애여래좌상 (1980.09.16. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문장대오토캠핑장,"문장대오토캠핑장은 경북 상주시 화북면에 자리하고 있다. 상주시청을 기점으로 41㎞ 거리로 도착까지 소요되는 시간은 자동차로 50분 안팎이다. 고즈넉한 시골길을 달리면 도착하는데 청량감 가득한 숲 속에 자리한 덕분에 자연친화적인 캠핑을 만끽할 수 있다. 캠핑장에는 자동차 야영장 28면, 카라반 3대를 마련했다. 자동차 야영장의 바닥은 마사토와 데크로 나뉜다. 전기 사용 시 전기요, 장판, 전등 이외 전기히터나 그릴, 난로, 밥솥 등의 전열기구는 사용할 수 없다. 과도한 전기 사용이 시설 전체에 피해를 줄 수 있기 때문이다. 카라반 객실 내부에는 침대, 개수대, 화장실, 샤워실, 취사도구, 에어컨 등을 비치했다. 캠핑장 가까이 법주사, 속리산국립공원, 장각폭포 등 돌아볼 곳도 많다.",,http://www.mjdcamp.kr/,경상북도 상주시 화북면 문장로 1506-16,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,"네이버 각 구역에 개수대도 있고 화장실도 깨끗 합니다. 산책길로 걸어가면 옆 시내로 연결이 되고 강옆을 걸을수 있어 좋은 산책이 됩니다. 산책길 옆에 선착순 데크,일반영지도 있어 강가옆 캠핑도 가능합니다. 평일에 조용하고 편의시설도 잘 되어있고 관리도 잘되어 만족스럽습니다.",,있음,,,"[성수기]
- 오토캠핑장 25,000원~30,000원
- 카라반 4인용 70,000원~90,000원
- 카라반 6인용 110,000원~130,000원
[비수기]
- 오토캠핑장 15,000원~20,000원
- 카라반 4인용 50,000원~70,000원
- 카라반 6인용 90,000원~110,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉화산사,"봉화산사는 사찰이지만 홍도라지 조청, 양배추 조청, 민들레 조청, 당귀 조청, 칠 조청 등을 만들어 온라인으로 판매하기도 한다. 수익금은 산골아이들의 장학금으로 지원된다. 약 10,000㎡ 규모의 연꽃밭을 비롯해 치유관, 명상카페, 소나무 치유숲, 산책로 등 다양한 시설을 갖추고 있다. 산책로 중간에는 쉬어갈 수 있는 정자도 마련되어 있다.",,http://cafe.daum.net/bongwhasansa/,경상북도 봉화군 춘양면 남산편1길 18-88,09:00~18:00,연중무휴,가능,,주말에 봉화산사가서 절하고 주변 구경하고 왔어요 절에 가면 맘이 편안해지고 넘 좋네요,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문경히든벨리오토캠핑장,"문경히든벨리오토캠핑장은 경북 문경시 가은읍에 자리 잡고 있다. 문경시청에서 40분 거리다. 용추계곡과 선유동계곡에서 흘러내린 물이 작은 계곡을 형성한 공간에 위치하고 있어 물놀이와 캠핑을 겸해 찾는 곳이다. 각종 부대시설의 외부와 내부가 깔끔하게 관리되고 있다. 이곳은 일반 야영장 35면을 갖췄으며 사이트는 잔디 6면, 자갈 27면, 데크 2면으로 이뤄졌다. 개인 트레일러와 카라반 동반 입장이 가능하다. 텐트, 릴선, 난방기구 등 캠핑 장비도 대여해 준다. 평일과 주말 가리지 않고 연중 운영한다. 캠핑장 인근에 국립 대야산 자연휴양림, 용추계곡, 선유동계곡 등이 있다.",,https://cafe.naver.com/mgsaejae,경상북도 문경시 가은읍 죽문길 271,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,,,있음,,,"50,000원~100,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문경수예리오토캠핑장,"문경수예리오토캠핑장은 경북 문경시 가은읍에 자리 잡고 있다. 문경시청을 기점으로 15㎞가량 떨어졌으며 자동차를 타고 당교로, 무운로, 작약로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 30분 안팎이다. 고즈넉한 시골 마을을 달리면 도착하는 이곳은 시원한 물줄기가 쏟아지는 자그마한 폭포가 인상적이다. 이 때문에 폭포 근처 사이트는 캠퍼 사이에서 명당으로 손꼽힌다. 캠핑장은 파쇄석으로 이뤄진 자동차 야영장 44면을 갖췄다. 사이트 크기는 가로 9m 세로 9m로 모두 동일하다. 개인 트레일러뿐만 아니라 개인 카라반 동반 입장이 가능하다. 매점을 겸한 관리소에서는 릴선을 빌려준다. 주말에만 운영하며 매년 12월부터 이듬해 2월까지 휴장에 들어간다. 캠핑장 인근에 수예리 녹색농촌 체험마을이 위치해 연계 관광이 손쉽다. 가은버스터미널 방면으로 나가면 여러 음식점도 이용할 수 있다.",,https://www.instagram.com/suyeri_camping/#,경상북도 문경시 가은읍 작약로 576,"[캠핑]
- 입실 13:00
- 퇴실 12:00
[펜션]
- 입실 14:00
- 퇴실 11:00",연중무휴,,,,,있음,,,"- 펜션 250,000원
- 패밀리존 150,000원
- 오토캠핑 50,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대성글램핑,"대성글램핑은 경북 칠곡군 북삼읍에 자리하고 있다. 이곳은 한국 최초의 도립공원인 금오산 인근에 위치해 있어 등산과 캠핑을 겸하고자 하는 이들이 많이 찾는다. 캠핑장에는 글램핑 9개 동이 마련되어 있다. 깔끔함이 돋보이는 글램핑 객실 내부에는 침대와 테이블, 의자, 냉장고 등이 비치되어 있으며 외부 전용 데크에는 테이블과 취사도구, 개수대가 있어 바비큐를 해먹기 좋다. 또한 반려동물은 소형견에 한해 동반 입장이 가능하다.",,http://대성글램핑.com/,경상북도 칠곡군 북삼읍 금오동천로 120-8,"- 입실 15:00
- 퇴실 11:00",연중무휴,,,,,있음,,,"- 미국형 카라반 159,000원~209,000원
- 유럽형 카라반 139,000원~169,000원
- 글램핑 109,000원~159,000원
- 대형 글램핑 139,000원~169,000원
- 펜션 169,000원~239,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대가야캠프타운,"대가야캠프타운은 경북 구령군 운수면에 자리했다. 고령군청을 기점으로 10㎞가량 떨어졌다. 자동차를 타고 대가야로, 가야로, 운용로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 20분 안팎이다. 캠핑장에 발을 들이면 산으로 둘러싸인 모습에 마치 요새에 들어온 듯한 착각에 빠진다. 캠핑장은 6개 구역에 걸쳐 38면으로 이뤄졌다. 바닥 형태는 파쇄석이며 사이트 크기는 가로 6m 세로 8m이다. 개인 카라반과 트레일러 동반 입장이 가능하지만 기종에 따라 진입할 수 없는 구역이 있으므로 사전확인은 필수다. 화장실과 샤워장은 남녀를 구분해 2개소가 있다. 개수대는 4개소로 어느 사이트에 머물든 접근하는 데 어려움이 없다. 물놀이장, 동물 먹이 주기 체험시설 등이 있다. 향후 과일 따기 체험도 진행할 예정이다. 캠핑장은 매주 화요일과 수요일 문을 열지 않는다. 단, 여름 성수기에는 휴무 없이 개장한다.",,http://camp-town.co.kr/,경상북도 고령군 운수면 물한1길 78-7,"- 입실 15:00
- 퇴실 12:00",연중무휴,,,,,있음,,,"- 사이트 40,000원~50,000원
- 카라반 170,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘양목송이 정보화마을,"춘양목송이 정보화마을은 농담 삼아 강원남도라고도 부르는 경북의 최북단에 있는 마을이다. 산으로 둘러싸인 마을로 4월에도 눈을 볼 수 있는 마을이다. 춘양목과 송이로 유명하고, 운곡천과 두내약수터 등이 있는 깨끗하고 고즈넉한 산골 마을이다. 골골이 흐르는 맑은 샘물과 산에서 불어오는 시원한 바람, 소박한 사람들의 정겨운 웃음과 넉넉한 인심, 맑은 공기가 있는 천혜의 청정지역이다.
마을의 주 특산물은 가을철 솔향기 가득한 송이와 사과, 블루베리, 표고버섯, 호두, 잡곡, 고랭지 배추가 있으며, 특용작물로는 천궁, 황기 등 고랭지 약초가 있다. 지대가 높고, 일조시간이 긴 고랭지 지역 특성 때문에 더 맛있고, 품질 좋은 농산물이 지어진다.
마을 체험 프로그램으로는 춘양목 솔숲 체험, 춘양목 한옥레고체험, 춘양목 나무공예체험, 블루베리 따기 체험 등이 있다. 이 밖에도 마을 내 펜션에서 숙박이 가능하다. 숙박 비용에는 숙소뿐만 아니라 숲길 탐방과 바리스타 체험 비용이 포함되어 있다.",,http://cs.invil.org,경상북도 봉화군 춘양면 골마길 3,09:00~18:00,매주 주말,가능,,,,있음,전 연령,숙소 / 체험실,,,,,,"- 춘양목 솔숲체험 3,000원
- 춘양목한옥레고체험 50,000원
- 춘양목 나무공예체험 2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,춘양목 솔숲체험 / 춘양목한옥레고체험 / 춘양목 나무공예체험
보리사(경주),"경주 남산 자락에 자리한 보리사는 남북국시대 통일신라 시기에 창건됐으며 남산에서 가장 규모가 큰 사찰이다. 신라 헌강왕과 정강왕의 능이 보리사 동남쪽에 위치한다는 내용이 등장할 정도로 유서 깊다.
현존하는 건물로는 대웅전과 산신각, 선원, 종각, 요사채 등이 있고 유물로는 통일신라 때 제작된 경주 남산 미륵곡 석조여래좌상과 보리사마애석불이 있다. 경주 남산 미륵곡 석조여래좌상은 남산에서 가장 잘생긴 부처님이라는 별명이 붙을 정도로 얼굴의 윤곽이 뚜렷하고 정교하게 조각되어 있고 전체적인 보존 상태가 좋다. 또, 보리사에서 산길을 따라 35m쯤 오르면 바위에 새긴 마애석불이 있다. 조각이 거칠고 아랫부분이 생략되어 공중에 떠 있는 듯하다.
보리사는 경북천년숲정원과 통일전, 서출지 등의 명소와 가까워 함께 둘러보기 좋다.",,https://www.gyeongju.go.kr,경상북도 경주시 갯마을길 41-30 (배반동),상시 개방,연중무휴,"가능
요금 (무료)",,,,있음,,대웅전 / 산신각 / 종각 / 요사 / 종무서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주 정혜사지 십삼층석탑,"경주 정혜사터에 세워져 있는 통일신라시대 특수한 형태의 석조 불탑이다. 흙으로 쌓은 1단의 기단 위에 13층의 탑신을 올린 모습으로 통일신라시대에서는 그 비슷한 예를 찾아볼 수 없는 독특한 모습이다.
1층 탑몸돌이 거대한데 비해 2층부터는 몸돌과 지붕돌 모두가 급격히 작아져서 2층 이상은 마치 1층탑 위에 덧붙여진 머리 장식처럼 보인다. 큰 규모로 만들어진 1층 몸돌은 네 모서리에 사각형의 돌기둥을 세웠으며, 그 안에 다시 보조 기둥을 붙여 세워 문을 만들어 놓았다. 이렇듯 문을 마련해 놓은 것은 열린 공간을 추구하고자 한 의지의 표현으로 보고 있다. 지붕돌은 밑면의 받침을 조각이 아닌 별개의 다른 돌로 만들어 놓았고, 직선을 그리던 처마는 네 귀퉁이가 들려 있다. 꼭대기에는 머리장식의 받침돌인 노반만이 남아있다. 9세기 통일신라시대에 세워졌을 것으로 추측되는 이 탑은 13층이라는 보기 드문 층수에, 기단부 역시 일반적인 양식에서 벗어나 당시의 석탑 연구에 귀중한 자료로 평가되고 있다.",,http://www.gyeongju.go.kr/tour,경상북도 경주시 안강읍 옥산리 1655,상시 개방,연중무휴,,국보 경주 정혜사지 십삼층석탑 (1962.12.20. 지정),다시 한번 꼭 방문하고 싶습니다. 주차하고 옥산서원 방문 후 산길따라 걷다 독락당 계정을 보고 계곡을 건너가 독락당을 보고 다시 주차한 곳으로 가서 정혜사지 13층석탑을 봤지만 독락당에서 석탑이 가깝고 주차할 곳이 좁아 석탑은 걸어가시는 것을 추천합니다.,무료,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주 성동시장,"300여 개의 점포와 30여 명의 노점상들이 있다. 지난 1971년 개설 이래 지역의 대표적 재래시장으로 자리 잡았다. 날로 침체 상태로 접어드는 재래시장 환경개선 사업으로 경쟁력을 높여 지역 경제 활성화에 기여하고자 시가 사업비 16억여 원을 투자해 지난해 10월에 착공에 들어간 성동시장 현대화 사업은 시장 입구 조형물 설치, 뒤 상가 및 먹자골목 284m 아케이드 설치, 하수도 정비 600m, 전기소방시설, 바닥정비, 와이드 칼라 250점을 게시해 새롭게 단장했다. 특히, 시는 이번 성동시장 환경개선 사업을 신라 천년고도 이자 국제적인 문화·관광도시에 어울리는 재래시장으로 조성하고자 지역에 산재한 소중한 문화유산 250여 점을 소재로 와이드 칼라 사진에 담아 아케이드 벽면에 게시하여 경주를 찾아오는 관광객들에게 새로운 볼거리를 제공하는 또 하나의 명물로 부상함으로써 재래시장 활성화가 기대되고 있다.",,http://gyeongju.go.kr/tour,경상북도 경주시 동문로24번길 12 (성동동),"07:00~20:00
※ 점포별로 상이함",점포별로 상이함,가능,,"경주 방문해서 성동시장에 우엉김밥이 유명하다해서 먹어봤는데 우엉이 달달 짭쪼름하니 맛있었어요. 성동시장 방문하시면 우엉김밥 꼭 드셔보세요^^ 뷔페도 맛있고 분식집 호박죽도 맛있어요! 고물가시대에도 든든한 한 끼, 완전가능입니다! 성동시장 보배김밥 너무 맛있어요 자꾸 생각납니당ㅎㅎ",,장애인 화장실 있음,,,,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(공영주차장)_무장애 편의시설,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,,,,청과류 / 생선류 / 식료품류 / 의류 / 잡화류 외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉화 서동리 동·서 삼층석탑,"춘양중학교 안에 동·서로 마주 서있는 2기의 탑으로 쌍탑형식을 띤다. 같은 규모를 갖고 있으며 양식과 기법이 동일한 신라식 일반형 석탑이다. 탑은 2단의 기단 위에 3층의 탑신을 올린 모습으로 각부의 양식으로 보아 통일신라시대 9세기의 것으로 추정한다. 2기의 석탑은 각각 동탑 3.9m 서탑 3.97m의 작은 탑으로, 대작은 아니지만 전체적으로 아름다운 비례와 정제된 조형미를 보여주는 작품이다.
기단부가 땅 속에 파묻혀 있고 탑이 몹시 기울어져 있어 1962년 10월에 해체 ·복원하였는데, 이 때 서탑에서는 사리함을 넣었던 공간이 발견되었고 동탑에서는 사리병과 함께 99개의 작은 토탑[土塔]이 발견되었다.
석탑 앞 석불 1구 외에는 근처에 절터로 추정할 만한 유적이 없으나, 신라의 옛 사찰인 남화사의 옛터로 알려져 있다. 신라 문무왕 16년(676)에 원효대사가 이곳에서 서북쪽으로 6km 떨어진 곳에 현재의 각화사를 창건하면서 이 절은 폐사되었다고 한다.",,https://www.bonghwa.go.kr,경상북도 봉화군 춘양면 서원촌길 8-14,08:00~18:00,연중무휴,가능,보물 봉화 서동리 동·서 삼층석탑 (1963.01.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운암사(문경),"운암사는 대한 불교조계종 제8교구 본사 직지사의 말사로, 경북 문경시 불정동 재악산 정상 부근에 있다. 678년(신라 문무왕 17) 의상이 창건하였다고 전한다. 1592년(조선 선조 25) 임진왜란 때 불에 타 폐허가 된 것을 1658년(효종 9) 영준이 복원하였다. 이후 1666년(현종 6) 해특이 극락전을 중건하였으며, 1785년(정조 9) 인월이 중창하고, 1972년부터 4년간 대대적인 불사를 진행하여 오늘에 이르고 있다. 현재 건물로는 극락전과 산신각, 삼성각, 안양문, 요사채 등이 있다. 이 중 극락전은 정면 3칸, 측면 2칸의 맞배지붕 건물로 내부에는 아미타삼존불이 모셔져 있다. 유물로는 높이 81㎝의 정월당 부도와 높이 107㎝의 정봉당 부도가 전한다. 모두 석종형으로 조선 후기 작품이다.
마을 초입에서 1.3㎞, 먼 거리는 아니지만 재악산을 조금은 가파롭게 올라 거의 산 정상 가까이에 위치한 운암사에 들어서면 약수물을 마셔야 한다. 재악산이 약수산이라고도 불릴 만큼 이곳의 물은 효험있고 맛있기로 소문나 있기 때문이다.
또한 운암사 초입, 불정(佛井)이라는 마을의 이름 역시 좋은 물 때문에 생겨났다. 불정동에 들어서면 마을의 보호수인 수령 300년 된 느티나무 앞에 마을 지명 유래비가 서있다. 옛날 이 마을에 살던 거신이라는 사람의 집 근처 조그마한 암자에서 수도를 하던 스님이 있었는데, 어느 날 암자의 우물물이 마르자 이상하게 여겨 근처를 살펴보다가 맑고 깨끗한 물이 솟아나는 샘을 발견하고 샘 안을 들여다보니 돌부처가 한가운데 앉아있는지라 돌부처를 암자로 옮겨 봉안하고 그 후부터 이 샘을 부처샘이라고 불렀다고 한다.",,,경상북도 문경시 불정길 149-123 (불정동),상시 개방,연중무휴,가능,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석천계곡,"태백산(1,567m)에서 발원한 물이 응방산과 옥적봉을 지나 유곡리에 이르러 발달한 계곡이다. 나지막한 산세 때문에 골이 깊지 않고, 폭이 넓으며 계곡물 또한 깊지 않아 어린이를 동반한 피서지로 적합하다.
계곡에는 조선 중기 문신인 충재 권벌이 1526년(중종 21)에 지은 청암정이 있고 권벌의 종손인 청암 권동보가 유명한 봉화 중곰솔(춘양목)로 지은 석천정사가 있다. 계곡 아래에는 충재 권벌의 유적이 있는 닭실마을이 있고, 이 유적을 중심으로 계곡을 포함한 일대가 봉화 청암정과 석천계곡(명승 제60호)으로 지정되어 있다.
마을 이름이 닭실인 것은 동쪽의 옥적봉이 수탉을 닮고, 서쪽의 백운령이 암탉을 닮았기 때문이라고 한다.
주변에 한국에서 가장 넓은 청옥산자연휴양림(구역 면적 1억 53만㎡)과 열목어의 남방한계선인 백천계곡, 청량산도립공원 등을 비롯하여 봉화 여기저기에 한수정, 도암정, 갈천정, 야옹정, 사덕정 등 100여 채의 정자가 있다.",,https://www.heritage.go.kr/,경상북도 봉화군 봉화읍 유곡리,상시 개방,연중무휴,가능,명승 봉화 청암정과 석천계곡 (2009.12.09. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보문숲머리먹거리촌,"경주시 보문동에 자리한 숲 머리 마을은 명활산이 병풍처럼 감싸고 옆으로는 드넓은 보문들이 펼쳐진 아름다운 자연마을이다. 진평왕릉과 보문 사지, 명활산성, 신라왕경 숲과 인접해 여행자들도 가볍게 들르기 좋다. 특히 명활산성에서 진평왕릉을 잇는 숲 머리 마을 뒤편 둑에는 ‘선덕여왕길’이란 이름이 붙었는데, 해마다 봄이면 겹벚꽃이 만발해 현지인들에게 숨은 봄꽃 명소로 사랑받는 곳이다. 핑크색 겹벚꽃이 만발한 길을 천천히 걷다 보면 중간중간 쉬어가기 좋은 의자와 포토존도 만날 수 있다. 둘레길에서 내려다보이는 한옥마을이 보문 숲 머리 먹거리촌이다. 푸짐한 상차림의 한정식을 비롯해 숯불갈비와 매운탕, 오리구이, 순두부, 막국수 등 다양한 먹거리가 모여 있어 든든한 한 끼를 즐기기 좋다.",,,경상북도 경주시 보문동 (보문동),상가별로 상이함,상가별로 상이함,가능,,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수협 활어직판장,"수협 활어직판장은 경북 경주시 감포읍에 자리 잡고 있다. 감포항과 연이어 있어 싱싱한 해산물을 구입할 수 있다. 직판장 1층에서는 활어와 대게 등 각종 해산물을 판매한다. 2층은 상차림 비용을 지급하면 1층에서 구입한 회를 먹을 수 있는 음식점이다. 직판장 인근에는 오류 고아라 해변, 전촌 솔밭 해변, 나정 고운 모래 해변 등이 있다.",,,경상북도 경주시 감포읍 감포항구길 91,점포별로 상이함,점포별로 상이함,가능,,,,,,,,,,,,,,,,,,,"활어, 대게 등 각종 해산물",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
