place,info,문의 및 안내,주소,이용시간,휴일,주차,입장료,review,홈페이지,이용요금,화장실,이용가능시설,시설이용료,체험가능 연령,판매 품목,입점브랜드,주차 요금,지정현황,접근로,출입통로,보조견 동반,규모,주차요금,영업시간,대표메뉴,취급메뉴,부대시설,주요시설,이용 시기,휠체어,체험,할인 정보,장애인 주차 안내,엘리베이터,유모차,점자 블록,점자 홍보물,보유장비,대여안내,코스안내,안내 요원,수유실,지체장애 기타 상세,수용인원,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,바비큐장여부,세미나실 여부,객실,뷰티시설여부,노래방 여부,사우나실 여부,대중 교통,관람석,오디오 가이드,매표소,강습안내,수화 안내,시각장애 기타상세,자전거 대여 여부,휘트니스 센터 여부,공용 샤워실 여부,공용 PC실 여부,스포츠 시설 여부,개장기간,영유아가족 기타상세
백약이오름,"백약이오름은 서귀포시 표선면에 위치한 오름으로, 예로부터 약초가 많이 자생하고 있다고 하여 백약이() 오름이라 불리고 있다. 둥글넓적한 분화구(굼부리) 형태를 띠고 있으며, 안에는 층층이꽃, 향유, 쑥, 방아풀, 꿀풀, 쇠무릎 등 약초가 자생하고 있다. 성읍목장 안을 지나 길을 따라 들어오면 목부들의 쉼터인 독립 가옥에 이르게 되는데, 그 집 너머의 오름이 백약이오름이다. 안쪽에 위치한 방목 소들의 음수대 옆으로 30분 정도 오르면 산정부에 도달할 수 있으며, 원형 경기장을 연상케 하는 움푹 파인 굼부리가 눈앞에 나타난다. 정상에서는 트랙모양의 산정부를 따라 주변의 다양한 오름들을 조망할 수 있는데 동쪽에 좌보미와 그 앞에 암설류의 언덕들, 동북쪽으로 동거미오름 그 옆으로 이어진 문석이오름, 그 뒤편에서 위용을 자랑하는 높은 오름, 북쪽으로 넓게 패인 굼부리인 아부오름, 서쪽에 민오름, 비치미, 남서쪽에 개오름, 남쪽에 멀리 보이는 영주산 등을 감상할 수 있다.",,제주특별자치도 서귀포시 표선면 성읍리 산1,상시 개방,연중무휴,,무료,"요즘 제주스냅촬영지로 핫하다는 그곳 이번 추석 연휴에 다녀왔어요 진짜 제주풍경아름답구요, 오름이 너무 경사지지않아서 등산 초보자들에게도 좋은 스팟이었어요",https://www.visitjeju.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거린사슴,"거린사슴은 기생화산으로 분화구는 서쪽으로 벌어진 말굽형의 형태이다. 한라산 중턱에 있는 오름 중에 사슴과 관련된 이름으로 지어진 오름 중의 하나이며 실제로 사슴이 살았다고 해서 거린사슴이라 불리고 있으며, 거리다는 갈라지다의 옛말로 오름이 두 개의 봉우리로 갈리어져 있음을 말한다. 도로가 오름을 관통하여 지나며 오름의 기슭에는 휴게소 겸 전망대가 만들어져 있다. 이 전망대는 탁 트인 풍경과 서귀포 시내를 한눈에 내려다볼 수 있다. 오름의 전사면 둘레에는 많은 나무가 자라 무성한 숲을 이루며, 동쪽에 갯거리오름이 있고 서귀포 자연휴양림이 위치한다. 거린사슴은 오름 등반, 서귀포 시내 조망, 피톤치드 가득한 숲길 산책까지 일석삼조를 얻을 수 있는 관광지이다.",,제주특별자치도 서귀포시 1100로 823,상시 개방,연중무휴,가능,무료,오름 여기 올라가봤는데 정상에서 바라본 뷰 너무 예뻤고요 생각보다 많이 높지 않아서 개인적으로 더 인상 깊어요 거린사슴오름 추천드립니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동거문오름,"제주시 구좌읍에 있는 동거문오름은 거미오름, 동검은이오름, 동거문이오름으로도 불린다. 조천에도 검은 오름이 있어 동을 붙였으며, 오름이 검은색을 띠는 것을 보고 검은이오름이라는 이름이 붙여졌다는 설과 오름 사면이 사방으로 뻗어나가는 모습이 거미집 같다고 하여 거미오름이라 한다는 설이 있다. 일반적인 오름들처럼 둥글고 매끄러운 모습이 아니라 능선이 끊어질 듯 이어지며, 멀리서 보면 여러 개의 오름인 듯 보이는 모양을 하고 있다. 거미오름은 보는 방향에 따라 다채로운 모양을 보인다. 백약이오름에서 바라보면 다리를 세운 거미 모양이며, 반대 방향에서 보면 혹이 두 개 달린 낙타 모양을 하고 있다. 탐방 코스는 구좌 공설묘지 초입에서 높은 오름 앞을 지나는 방법, 백약이오름 입구에서 문석이오름 길을 따라가는 방법, 월랑지 옆 임도를 이용해 가는 방법으로 크게 3가지가 있다. 파란 하늘과 진초록의 들판, 멀리 보이는 우도와 성산일출봉, 푸른 바다가 어우러져 절경을 볼 수 있으며 가까이 있는 백약이오름, 다랑쉬오름 등도 한눈에 보인다. 깔때기 모양의 원형 분화구 두 개와 삼태기 모양의 말굽형 분화구 하나로 총 3개의 분화구를 가지고 있는데, 겹쳐진 분화구와 그 안에 빼곡히 자란 풀과 나무들도 이국적이다.",,제주특별자치도 제주시 구좌읍 종달리 산70 (구좌읍),,,가능,,너무 멋지네요 이름이 특이히요,http://www.visitjeju.net/,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴애리자연생활공원,"휴애리는 수많은 꽃들과 한라산 풍경이 더해져 더욱 아름다움을 자랑하는 꽃 정원이다. 연중무휴이며, 매년 수차례 꽃 축제를 진행하고 있다. 휴애리의 꽃 축제는 유채, 매화, 수국, 핑크뮬리, 동백 등 계절마다 아름답게 피어나는 꽃을 전시하고 방문하시는 분들에게 꽃을 통한 감동과 추억을 드리고자 함에 주된 목적이 있다. 아이들과 함께 즐길 수 있는 동물체험 먹이 주기 체험, 흑돼지야 놀자 등과 같은 시즌 체험 등 사랑하는 가족, 연인, 친구들과 아름다운 추억을 만들 수 있다.",,제주특별자치도 서귀포시 남원읍 신례동로 256,"[하절기(3월~9월)]
09:00~19:00 (입장 마감 17:30)
[동절기(10월~2월)]
09:00~18:00 (입장 마감 16:30)",연중무휴,가능,"[개인]
- 성인 13,000원
- 청소년 11,000원
- 소인 10,000원
[단체(20명 이상)]
- 성인 9,000원
- 청소년 8,000원
- 소인 7,000원
※ 자세한 사항은 홈페이지 참조",다른곳이 수국이 피기전에 여기는 다른곳보다 일찍 수국이 펴서구경잘했구요 귀염둥이 흑돼지도구경잘했어요 쑈도한다던데 시간텀이길어서 구경못한것이 아쉬웠는데 그래도 사진찍을 스팟이 많아서 한시간이상 구경잘한것같아요 수국이 만발해서 인생샷 찍기 좋은 곳이네요 한라산 풍경을 한눈에 볼수 있는곳 동백이 이쁘게 꾸며져있어요. 그러나 입장료가 조금 비싼감이 있습니다. 봄이되면 뉴스에 꼭 등장하는 제주 유채꽃밭 올해는 폭싹속았수다의 유채꽃밭 장면까지 더해 너무 가고싶었는데 소원 풀이 했어요 저멀리 성산일출봉 보이는 노란 유채꽃에 눈이 환해지고 마음도 발랄해지는 기분이었어요 우울한 겨울을 보내고 선물같은 하루였답니다. 제주 유채꽃밭은 처음 보았고 유채와 매화길이 참 좋았고 수국 정원도 넓어서 수국 계절에도 참 좋겠어요 네이버 예약으로 할인도 받고 유채 뒷배경으로 한라산 설산도 너무 예뻤습니다 유채꽃밭이 생각했던것보다 훨씬 넓고 너무 예뻤습니다. 동백꽃은 져서 아쉬웠지만 산책로가 잘되어있어서 걸으며 자연속에서 힐링하기 좋았습니다. 주차하기 편하고 편의시설도 잘 되어있어요. 유채꽃과 함께 뒤로 보이는 한라산이 예술이에요. 뷰가 아름다워서 추천드려요. 요번에 놀러가서 처음으로 갔다왔어요아직 동백꽃도 남아있고 유채꽃도 있어서 잘 보고 왔어요 평일에 가서 한산해서 잘 돌아다니다가 왔어요,http://www.hueree.com,,장애인 화장실 있음,,,전 연령,,,,,출입구까지 평지로 되어 있으나 흙구간 있음,,,,무료,,,,,,,대여가능(매표소 옆),,,장애인 주차장 있음(1대)_무장애 편의시설,,"대여가능(매표소 옆,18개월 미만)",,,,,,,수유실 있음,지팡이 대여 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주해녀항일운동기념탑,"제주해녀항일운동기념탑은 제주해녀항일운동의 흔적과 저항 정신을 기리고 있는 곳이다. 제주해녀항일운동은 1932년 1월 제주시 구좌읍과 성산읍, 우도면 일대에서 일제의 식민지 수탈 정책과 민족적 차별에 항거한 국내 최대 규모의 항일운동이다. 이 운동은 여성들이 주도한 유일한 여성항일운동으로 그 의의가 매우 크다고 할 수 있다. 제주해녀항일운동기념탑은 당시 항일운동에 참여했던 해녀들의 2차 집결지인 이곳에 해녀 항일 운동 정신을 기리고자 조성하였다. 선열들의 자주독립 정신을 바탕으로 후세들에게 올바른 역사의식과 애국, 애향정신 함양을 위한 교육장으로 활용되고 있다.",,제주특별자치도 제주시 구좌읍 해녀박물관길 26,,,가능,,제주해녀 공부를 하는 해녀박물관에 위치한 기념탑인데 아이들과 역사공부 할 수 있고 주변 산책도 좋아요. 바로 근처에 세화바다가 있고 5일장도 열려요,http://www.jeju.go.kr,,장애인 화장실 있음,,,,,,,,출입구까지 경사로가 설치되어 있음,,,,,,,,,,,,,,장애인 주차장 있음(5개)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서귀다원,"서귀다원은 원래 감귤농원으로 운영되었으나, 2005년 차밭으로 새롭게 바꿔 운영되고 있다. 개인이 운영하고 있는 조용한 다원으로 한라산 해발 250m에서 제주 녹차를 재배하고 있으며, 다른 다원보다 비교적 사람이 적어 여유롭게 둘러볼 수 있다. 나무 가로수길, 잎이 무성한 동백나무, 현무암 조각, 차밭이 어우러져 있으며, 한라산과 녹차밭이 한눈에 보이는 절경을 한적하게 구경할 수 있다. 서귀다원은 매년 5월경 말차 수확을 위해 차광막을 덮어놓아 원활한 관람이 어려운 시기가 있으니, 방문 전 문의하는 것을 추천한다.",,제주특별자치도 서귀포시 516로 717 (상효동),09:00~17:00,매주 화요일,"가눙
요금 (무료)","5,000원 (녹차 1잔 제공)",,https://www.visitjeju.net/kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한담해변,"한담해변은 제주 북서부에 위치하여 애월에서 곽지까지 해안을 따라 이어진다. 제주시가 2009년 숨은 비경 31로 선정했으며, 맑고 투명한 바다로 유명하다. 애월 앞바다의 장관을 편안하고 친숙하게 접할 수 있다. 해안의 모양을 따라 구불구불하게 이어지는 산책로는 1.2km에 이르며, 바다의 주변 경관과 현무암이 조화를 이루고 있다. 바다가 가까이 있어 제주의 바다를 제대로 느끼며 산책의 여유로움을 느낄 수 있다. 봄에는 유채꽃으로 채워진 산책로를 만날 수 있으며, 여름에는 초록빛이 가득한 산책로를 걸을 수 있다.",,제주특별자치도 제주시 애월읍 애월로1길 26-4,,,가능,,"해안선따라 펼쳐지는 풍경 너무 멋지고, 이어지는 산책로도 고즈넉한 분위기와 어울립니다. 제주도에서 너무 좋아하는 곳이에요 바다색이 너무 예뻐요 사진이 너무 이쁘네요 가보고싶어요","비짓제주 https://www.visitjeju.net/kr
제주시청 https://www.jejusi.go.kr/index.ac",,,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,휠체어 이동 가능한 산책로 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평대해변,"평대해변은 동쪽의 명소인 월정리해변과 세화해변 사이에 자리하고 있으며, 제주올레 20코스가 지나는 곳이다. 구좌읍 평대리는 당근 생산지로 전국 최고인 곳이지만, 뱅듸라는 옛 이름을 간직한 시골마을이다. 해변이라기엔 작은 편이여서 덜 알려진 바다이다. 바닥에 모래까지 투명하게 비칠 정도로 깨끗다. 바다 빛깔은 옆동네인 세화나 월정에서 보던 것만큼 여전히 아름답다. 아담한 해변은 아이들과 물놀이, 모래놀이를 하기에도 좋고, 한적한 해변은 나만 알고 싶은 제주바다로 손색이 없다. (출처 제주 문화관광 홈페이지)",,제주특별자치도 제주시 구좌읍 평대리 1994-20,상시 개방,연중무휴,가능,무료,조용하고 힐링 될듯,www.visitjeju.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성판악,"성판악은 한라산 국립공원의 성판악 등산로 주변에 위치하는 오름으로 한라산 동쪽 산록에서 가장 규모가 큰 단성화산이다. 단성화산은 일회의 분화 활동을 통해 형성되는 소형 화산체로서 제주에서는 오름으로 불린다. 성판악이라는 명칭은 산 중턱에 암벽이 널 모양으로 둘려 있는 것이 성벽처럼 보여 성널오름 또는 한자어로 성판악이라고 하게 됐다. 성판악은 전체가 삼림으로 덮여있으며 주변으로 성널계곡 등 크고 깊은 계곡이 발달해 있다. 제주시와 서귀포시를 잇는 5·16 도로의 중간 지점 가장 높은 곳에 성판악 휴게소가 있는데, 이곳은 한라산으로 오르는 등산로 중이 하나로 성판악이 시작되는 곳이다. 한라산 동쪽 코스인 성판악탐방로는 관음사탐방로와 더불어 한라산 정상인 백록담을 오를 수 있는 탐방로이며 한라산탐방로 중 가장 긴 코스이다. 정상까지 대체로 완만한 경사를 이루지만 왕복 9시간 정도 소요되기 때문에 체력 안배에 신경을 써야 한다. 성판악탐방로는 한라산탐방로 예약시스템에서 사전예약을 해야 탐방이 가능하다.",,제주특별자치도 제주시 조천읍 516로 1865,"[하절기(4월~9월)] 05:00~12:30
[동절기(10월~3월) 05:00~11:30
※ 자세한 사항은 전화문의 요망",연중무휴,가능,무료,"주차는 거의 불가능 겨울에 주기적으로 찾는 한라산에 오랜만에 다녀왔습니다. 사람들도 많고 추위도 상당해서 조금 힘들었지만 역시 한라산은 겨울이 최고네요. 조만간 또 찾아갈 계획입니다 아 제주여행에서 반은 한라산등반이라 생각해요 힘들어도 오르다보면 행복해지더라구요 내려와서 산방산 탄산온천으로가 찜질까지 하면 극락이에요 가족들과 다녀왔는데, 공기도 좋고 넘무 좋았습니다 제주도여행간곳중에 제일좋앗아요 성판악 코스가 초반은 쉬워서 좋았어요.. 초반만.. 올해1월 마지막 한라산등반이다 생각하고 갔는데 강풍으로 진달래쉼터까지밖에 못갔네요 내년에 다시 도전해보렵니다 정상에서 보는 그 풍광은 정말 멋져요 이번엔 성판악 코스로 올라갔다 내려왔어요 다음달엔 관음사코스로 올라가려구요 백록담 꼭 보고 오세요 성판악에서 백록담까지 산행을 했던 죤 추억이 많아서 19년 가을에 다시 성판악에 가고자 합니다",https://www.jeju.go.kr/hallasan/,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연북정,"조천읍 조천리 바닷가에서 위치한 조선시대의 정자이다. 제주도 유형문화재로 지정되어 있다. 연북정은 객사()로, 원래 조천성() 밖에 있었다고 하나 창건 연대는 미상이며, 1590년(선조 23)에 이옥절제사()가 성을 동 북쪽으로 물려 쌓고 그 위에 옮겨 세워 쌍벽정()이라 하였다고 한다. 교수() 곽기수()의 중창기에 의하면, 조천관은 바다 어귀에 있는데, 육지로 나가는 사람들이 바람을 관측하는 곳이다. 조천()이라 이름을 지은 것도 이 때문이다. 절제사 이옥이 부임한 다음해 경인년 ()에 막부()의 제공()과 협의하고 아전과 주민에게, 조천에 관을 두게 된 것은 실로 도적들이 다니는 길목의 요충이며, 왕명을 받은 사신들이 왕래하는 곳이기 때문인데,이같이 성이 좁고 건물이 노후해서야 되겠는가, 어찌 농사를 짓는 틈틈이 개축하여 웅장하고 화려하게 하여야 하지 않겠는가. 하니, 모두가 옳다고 하였다. 마침내 여러 재주 있는 역군들을 동원하여 10월에 착공하고 12월에 마쳤다. 성은 동북쪽으로 물려서 쌓고 그 위에 망루를 안치하여 쌍벽()이라 하였다. 쌍벽()은 청산녹수()에 접하여 있다는 뜻에서 붙인 이름이라고도 한다. 그 후 선조 32년(1599)에는 성윤문()목사가 그 건물을 중수하고 임금을 사모한다는 뜻으로 연북정()이라 개칭하였다. 지금의 건물은 1973년에 보수한 것인데, 보수 당시 용() ·가경이십오년경진이월십오일진시입주상량() · 호()라 한 명문()이 발견된 것으로 보아, 연북정은 가경() 25년, 즉 순조 20년(1820) 마지막으로 보수된 듯하다. 이 정자가 세워져 있는 조천포구는 화북포와 함께 관원이나 도민들이 본토를 왕래하는 관문()이었을 뿐만 아니라 순풍을 기다리며 머무는 휴식처이기도 하였다. 일제강점기에는 이 정자가 경찰관 주재소로 사용되기도 하였다.",,제주특별자치도 제주시 조천읍 조천리 2690,상시 개방,연중무휴,가능,무료,,"비짓제주 http://www.visitjeju.net
국가유산청 http://www.cha.go.kr",,,,,,,,,제주특별자치도 유형문화유산 연북정(1971.08.26. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금오름,"서부 중산간 지역의 대표적인 오름 중의 하나이다. 산정부에 대형의 원형 분화구와 산정화구호()를 갖는 신기()의 기생화산체이며, 남북으로 2개의 봉우리가 동서의 낮은 안부로 이어지며 원형의 분화구 (깊이 52m)를 이루고 있다. 분화구내의 산정화구호 (일명 )는 예전에는 풍부한 수량을 갖고 있었으나 현재는 화구 바닥이 드러나 있다. 검, 감, 곰, 금 등은 어원상 신()이란 뜻인 곰(고어)과 상통하며, 동일한 뜻을 지닌 곰(계어)로서 고조선시대부터 쓰여 온 말이라고 한다. 즉 금오름은 이란 뜻의 어원을 가진 호칭으로 해석되며, 옛날부터 신성시 되어 온 오름임을 알 수 있다. 해송, 삼나무, 찔레, 보리수, 윤노리나무 등 원형 분화구와 산정화구호이다. 표고 427.5m, 비고 178m, 둘레 2,861m, 면적 613,966㎡, 저경 1,008m",,제주특별자치도 제주시 한림읍 금악리 산1-1,상시 개방,연중무휴,가능,무료,금오름 오르기도 그리 어렵지 않은데 막상 도착하몀 너무 아름다워요 꼭 가 보기를 추천해요 친구들과 입대 전 여행으로 방문했던 장소입니다 특히 노을 질 때 풍경이 너무 멋있었습니다 딱 기분 좋을 정도의 힘듬 그래서 더 오르길 잘했다는 생각이 드는 너무나 아름다운 금오름입니다. 제주는 갈 때마다 새로운데 금오름은 또다른 제주의 매력이었습니다. 계절마다 느껴지는 모습이 다를 것 같아 다음 금오름이 기대됩니다. 경사가 좀 있지만 시간은 그렇게 많이 걸리지않아 누구나 쉽게 오를수 있습니다. 길도 포장되어 걷기에 좋습니다. 분화구의 고여있는 물속에는 맹꽁이들이 살고 있는데 소리가 정겹네요. 해가 지는 시간에 최고의 풍경이 그려질듯 합니다. 경사는 있지만 길이 좋아서 어렵지 않았습니다 패러글라딩 하시는 분들 진짜 많더라구요 저는 걸어 올라가서 구경하고 내려왔는데 뭔가 신비롭고 아름다웠습니다 정상 분화구가 정말 멋있었습니다 아스팔트가 깔아져있어 오르기 쉬웠어요 오름에 물이 고여있는게 정말 예뻤어요. 제주에 다양한 오름이 있지만 금오름만의 독특한 매력이 있는것 같아요. 오르는 것도 엄청 힘들지 않아서 추천드리네요,https://www.visitjeju.net/kr,,,,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서귀포 용왕난드르마을,"바다로 뻗어 나간 들, 용왕이 나온 들이라는 의미를 모아 용왕난드르마을이라 하는 이곳은 안덕계곡에서 아래쪽으로 내려오면 보이는 평온하고 따스한 마을이다. 마을을 품고 있는 군산은 동해 용왕 아들이 스승님 은혜에 보답하기 위해 만들었다고 전해오고 있다. 또한 해안가를 따라 걸어도 좋고, 아기자기한 마을 길을 따라 다녀도 좋은 곳이다. 박수기정을 옆으로 포구가 있는데 빨간 등대의 소녀상은 보는 사람마다 제주의 등대 중 손에 꼽을 만한 등대라고 하는 곳이다.",,제주특별자치도 서귀포시 안덕면 대평감산로 8,상시개방,연중무휴,,,,,,있음,"숙박시설, 음식점 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유민미술관,"유민미술관은 2017년 6월 9일 개관한 국내 유일 아르누보 유리공예 미술관으로, 휘닉스 제주 섭지코지 내에 위치해 있다. 노출 콘크리트로 기하학적 선과 주변 자연을 살리며 만든 건축물이며, 세계적인 건축가 안도 타다오가 설계한 건축물인 지니어스로사이에 새롭게 조성되었으며, 미술관 전시 설계는 덴마크 건축가인 요한 칼슨(Johan Carlsson)이 맡았다. 한류의 매력을 만나는 여행 정보 영화 마녀2 마녀 프로젝트를 만든 백총괄의 신비로운 저택은 휘닉스 제주의 글라스 하우스와 유민 아르누보 뮤지엄이다. 글라스 하우스의 민트레스토랑은 어느 자리에서든 넓게 펼쳐진 바다를 볼 수 있으며 유민 아르누보 뮤지엄은 프랑스 아르누보 유리공예뿐만 아니라 공간 자체가 아름다워 인기가 많다. 건물이 위치한 섭지코지와 함께 둘러보기를 추천한다.",,제주특별자치도 서귀포시 성산읍 고성리 21,09:00~18:00 (매표 마감 17:00),"매월 첫째 주 화요일
※ 국경일, 명절일 경우 정상 운영",,,아름다운 제주의 돌 바람 물을 노출콘크리트 건축물과 함께 자연스럽게 어우러진 안도타다오의 작품입니다. 내부에는 아르누보양식의 유리 공예 작품들이 전시되어있습니다. 유리공예 작품들 원없이 보고 왔어요 색다른 체험여행으로 추천합니다 솔직히 제주도에서 미술관 하면 이곳이 최고 설계부터 넘 아름답고 입장관이 결코 아깝지 않아요 너무 예쁜 곳입니다. 주변 경관과도 잘 어울리구요. 건축에 대한 새로운 시각이 생길거에요.,https://phoenixhnr.co.kr/,"- 성인 15,000원
- 청소년, 어린이 12,000원",,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,전시해설자 있음(1일 4회)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개오리오름,"개오리오름은 제주시 조랑말 목장 동쪽의 방송중계탑이 설치되어 있는 오름이다. 크고 작은 세 개의 봉우리로 이루어진 다양한 형태를 갖고 있는 복합형 화산체이며, 개오리오름은 주봉인 송신탑이 서 있는 곳의 오름을 말한다. 족은개오리는 북쪽에 서향으로 벌어진 말굽형 화구를 갖는 것이고, 가운데에 샛개오리라 부르는 원추형의 작은 오름이 있다. 전체적으로 두 개의 말굽형 화구를 갖는 복합형이다. 전사면이 낙엽수, 상록수 등이 울창하게 우거진 자연림을 이루고, 일부에 삼나무, 소나무가 있다. 겨울 한동안은 잎이 다 떨어진 회갈색 사면에 층층으로 늘어선 삼나무 대열이 이채롭다. 산 모양이 개오리(가오리)처럼 생겼다는 이름으로 가오리오름, 개워리오름, 개월오름으로 불리기도 한다.",,제주특별자치도 제주시 봉개동,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,연중무휴,불가능,무료,,https://www.visitjeju.net/,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양금석가옥,"제주특별자치도의 민속문화재로 지정된 양금석가옥은 제주 전통가옥의 면모와 종가의 위상이 공간에 잘 투영된 전통가옥이다. 양금석가옥은 제주도에서 전통이 유지되는 몇 안 되는 가옥 중 하나로, 좁은 골목길을 따라 들어가면 600평의 넓은 대지에 세커리(세 칸 집)의 가옥이 위치한다. 외부인이 범접하지 못하도록 집 둘레에 돌담을 둘렀고, 집 앞쪽에는 제주도의 상징인 밀감밭이 펼쳐져 있다. 안거리(안채), 모거리(모서리), 밖거리(바깥채)는 밀감밭을 향해 자 형태로 배치되어 있다. 안거리 앞쪽에는 동백나무가 집 주변을 에워싸고 있다. 일반적으로 쑥대낭(삼나무)을 집 주변에 두르는 관행과 달라 매우 특별한 풍광을 자아낸다. 벼농사가 발달하지 않아 지붕은 억새를 이용해 얹는데, 거센 바람이 지붕이 날아가지 못하도록 띠를 꼬아 만든 엉으로 망을 만들어 지붕 전체를 덮고, 처마 아래에 긴 대나무에 엉을 일정 간격으로 고정해 둔다. 엉 덕에 바람이 불어도 억새가 날리지 않는다. 1930년대 초반에 지은 제주도의 양 씨 종가댁으로 부모 세대가 거주하는 안거리(상방, 큰방, 정지, 물팡)와 그 맞은편에는 혼인한 자녀가 분가해 거주하는 밖거리(상방, 정지)가 각기 일자로 놓여 있고, 안거리와 밖거리가 일자로 위치한 사이에 모거리가 위치한다. 모거리는 창고로 곡물을 찧고 보관하는 방앗간의 기능을 겸하는 공간으로, 일반 가정에서는 확인되지 않는 부농 가옥의 건축 구조물이다. 이곳에는 여러 개의 항아리가 놓여 있는데, 화산지대인 제주도는 물이 잘 빠지는 현무암으로 식수가 늘 부족하여, 물을 길어다가 물광 앞의 항아리에 담아 두어야 한다. 제주도의 물항아리의 수는 그 집의 경제력과 무관하지 않다. 모거리 오른쪽에는 화장실과 돼지사육을 겸한 돗통시가 위치해 제주도만의 다양한 공간구성을 엿볼 수 있다. 사람이 거주하고 있어 무단출입 시 사생활 침해 등 불편이 따를 수 있으니 참고하여 관람 전에 입주민에게 양해를 구하는 것이 좋다.",,제주특별자치도 서귀포시 남원읍 신례로298번길 3-6,"상시 개방
※ 관람 전 입주민의 동의 요함",연중무휴,불가능,,,http://www.grandculture.net,,,,,,,,,제주특별자치도 민속문화유산 양금석가옥(1978.11.14 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
